budget_million,runtime_min,genre,critic_score,lead_actor_popularity,is_hit
106.3,99,comedy,86.2,57.5,0
26.6,100,horror,97.2,44.4,0
215.6,168,action,9.0,36.2,1
176.1,142,horror,37.6,78.3,0
276.9,87,comedy,59.1,17.7,1
206.5,172,comedy,63.4,32.5,1
42.6,144,drama,74.2,52.2,0
26.0,137,action,41.2,8.2,0
288.6,86,comedy,34.2,2.1,1
219.1,82,drama,98.0,27.1,1
44.3,138,comedy,69.9,79.4,0
251.6,131,drama,41.0,64.9,1
28.4,161,action,37.7,29.4,0
19.2,175,horror,62.1,61.1,0
109.5,117,scifi,12.9,37.2,0
248.3,112,scifi,64.2,6.2,1
95.9,109,comedy,44.6,70.4,0
111.5,101,comedy,68.2,9.9,0
69.6,177,drama,70.6,65.9,0
92.1,155,action,4.7,10.9,0
88.7,146,action,34.4,15.6,0
264.6,103,drama,99.4,47.2,1
89.1,93,scifi,13.8,12.1,0
43.3,144,action,43.4,61.3,0
39.0,168,comedy,80.0,33.7,0
35.0,145,drama,63.3,41.6,0
9.4,152,action,77.1,9.3,0
66.6,165,comedy,87.2,96.5,1
93.5,131,action,53.3,89.1,1
33.6,112,horror,8.5,49.4,0
188.8,164,action,60.4,93.9,1
72.8,88,drama,57.4,25.3,0
141.8,119,action,63.5,88.1,1
173.1,114,horror,85.0,33.7,1
263.9,167,comedy,4.9,78.4,0
174.1,104,scifi,84.4,38.6,1
145.2,141,drama,42.9,1.6,0
72.9,86,drama,30.1,53.6,1
222.9,150,drama,85.9,14.9,1
40.7,123,comedy,24.9,35.9,0
104.2,87,horror,71.7,25.6,0
122.9,116,drama,0.2,49.9,0
240.2,157,horror,73.2,71.7,1
275.9,173,drama,85.2,74.3,1
160.3,145,action,7.9,25.3,0
44.2,159,action,6.0,80.9,0
105.3,176,action,67.5,26.5,0
148.3,131,scifi,27.8,78.4,0
291.8,113,comedy,87.1,51.5,1
28.8,84,drama,23.9,34.5,0
277.0,155,drama,69.2,89.3,1
213.1,118,action,21.1,21.2,0
147.2,102,action,83.9,8.9,0
275.6,92,action,54.6,5.0,1
294.2,131,horror,65.6,8.6,1
255.2,162,scifi,38.9,47.5,1
102.1,157,horror,83.4,35.2,0
239.8,133,horror,80.5,5.7,1
240.1,133,horror,87.8,63.4,0
226.2,165,horror,46.5,14.4,0
221.0,130,drama,54.7,42.9,1
289.2,149,comedy,26.1,14.2,0
91.8,171,scifi,75.3,56.9,1
212.7,143,drama,24.2,25.8,1
254.9,110,horror,25.0,41.9,1
112.8,82,drama,59.0,90.0,0
79.6,114,action,15.6,97.0,0
228.3,111,drama,16.9,88.4,1
101.5,177,comedy,40.6,81.6,1
99.9,125,comedy,12.4,39.7,0
189.0,126,action,9.5,75.3,1
57.0,82,drama,8.1,14.0,0
73.7,151,comedy,67.3,89.8,1
129.1,143,drama,87.9,24.4,1
217.6,179,comedy,58.6,80.2,1
140.6,118,scifi,10.0,47.5,0
192.9,123,action,2.9,93.5,1
202.7,90,comedy,68.7,26.2,0
140.0,173,action,23.5,38.4,0
172.0,83,comedy,33.5,76.5,1
174.0,84,horror,72.3,20.1,0
179.3,165,drama,39.9,30.6,1
42.7,107,action,87.3,96.6,1
247.6,162,comedy,97.3,7.8,1
265.9,84,action,84.3,65.2,1
1.6,134,action,1.0,44.9,0
212.2,106,comedy,85.6,32.7,1
290.2,115,comedy,90.3,87.3,1
203.7,138,comedy,50.3,17.1,1
288.0,153,drama,89.7,85.2,1
172.5,148,horror,2.5,43.2,0
142.3,175,drama,74.7,78.9,1
23.3,174,comedy,4.1,44.4,0
2.7,83,action,3.2,60.0,0
139.3,149,drama,36.7,87.3,1
260.7,174,drama,92.4,1.3,1
224.5,150,action,50.0,65.5,1
198.2,112,scifi,65.6,18.6,1
12.8,127,drama,52.2,55.9,0
13.3,99,drama,99.5,89.2,0
224.9,102,scifi,54.3,14.8,1
81.0,75,drama,30.5,13.6,0
59.9,143,comedy,14.2,46.7,0
136.7,177,comedy,79.9,8.8,0
209.9,86,action,80.4,45.8,1
277.6,179,comedy,98.2,29.3,1
288.6,160,scifi,98.9,85.6,1
163.3,175,scifi,90.9,17.4,0
143.7,144,action,70.8,12.0,0
173.5,116,scifi,72.6,87.0,1
96.0,170,drama,56.4,87.3,0
171.7,85,drama,41.0,86.7,0
117.4,104,comedy,33.5,77.5,0
189.7,105,comedy,6.1,74.2,1
273.7,103,horror,81.9,45.5,1
279.7,108,drama,58.1,25.5,1
100.5,97,scifi,98.8,59.0,1
288.7,165,comedy,59.2,40.7,1
59.7,106,drama,27.0,48.2,0
52.7,119,action,44.5,65.3,1
107.6,120,comedy,28.1,80.6,0
89.4,87,drama,81.9,31.9,0
171.9,78,action,59.0,44.0,1
237.0,89,drama,55.4,13.5,0
252.6,120,scifi,65.7,19.1,1
152.3,166,drama,30.0,10.3,0
259.2,136,comedy,91.1,60.7,1
110.7,135,comedy,93.4,94.6,1
60.0,126,horror,33.9,52.5,0
291.5,156,drama,45.1,87.4,1
38.6,81,comedy,26.0,92.3,0
71.3,126,drama,54.7,8.6,0
232.0,96,horror,79.1,26.9,0
41.7,85,comedy,59.9,99.5,0
8.9,170,horror,16.3,93.8,0
184.2,160,horror,93.2,29.7,1
221.3,146,comedy,64.0,21.7,1
97.9,176,drama,27.9,42.5,0
60.0,134,comedy,9.1,44.8,0
172.7,155,action,59.0,80.4,1
298.3,78,horror,54.1,78.9,1
279.9,140,comedy,91.1,6.4,1
261.9,137,scifi,61.6,18.3,1
228.5,156,scifi,37.0,69.8,1
5.8,107,comedy,1.0,63.9,0
186.2,103,action,23.6,33.8,1
112.4,145,action,99.6,57.7,1
147.9,150,action,82.3,77.1,1
9.1,89,drama,59.3,42.9,0
293.8,128,action,64.3,46.2,1
35.0,163,action,77.6,0.2,1
139.9,175,drama,4.6,92.0,0
44.9,86,scifi,53.6,2.9,0
55.0,157,action,85.8,2.3,0
299.1,134,comedy,88.1,46.5,1
158.4,84,scifi,77.6,44.6,1
287.8,155,scifi,27.0,56.6,0
162.1,176,comedy,97.8,36.8,1
11.1,134,horror,45.8,11.1,0
119.2,90,action,2.1,47.8,0
154.4,129,action,29.8,72.3,0
46.1,139,drama,32.8,42.5,0
222.1,177,scifi,21.8,25.6,1
252.8,77,drama,83.2,64.2,0
87.3,148,horror,96.2,12.3,0
270.8,157,comedy,83.7,3.0,1
114.2,166,drama,79.9,57.8,0
288.4,113,comedy,57.9,33.9,1
77.6,159,horror,23.3,25.4,0
6.0,84,action,41.1,60.8,0
234.8,134,scifi,57.9,91.7,1
162.7,93,horror,45.0,7.1,0
4.8,156,drama,9.4,30.1,0
234.2,138,drama,24.5,76.4,1
289.2,151,drama,85.3,56.2,1
152.0,155,horror,68.8,55.8,1
106.4,141,scifi,25.1,73.1,1
121.8,143,comedy,2.7,91.7,0
8.3,137,comedy,71.8,62.0,0
120.2,115,drama,4.6,43.6,0
20.8,154,action,51.9,11.9,0
92.6,91,action,39.7,26.1,0
163.5,95,comedy,80.2,54.1,1
203.9,158,horror,87.0,88.7,0
227.9,139,action,92.6,65.3,1
298.9,130,drama,58.9,21.1,1
87.9,135,drama,37.6,55.4,0
258.7,105,action,12.2,16.0,0
201.0,115,drama,45.6,95.8,1
142.5,77,comedy,26.8,29.3,0
297.4,157,comedy,75.8,66.6,1
138.9,137,drama,96.5,97.2,1
179.8,129,comedy,17.6,78.1,1
166.0,179,scifi,49.0,69.3,0
53.0,95,horror,43.2,34.5,0
268.6,86,comedy,22.8,90.3,1
84.2,158,comedy,47.4,60.1,1
136.8,87,action,79.3,52.4,1
181.2,143,comedy,72.6,18.1,1
126.9,80,comedy,23.5,16.4,0
203.3,116,action,73.2,92.6,1
150.7,111,horror,77.5,40.1,0
294.3,115,action,20.6,91.8,1
194.6,142,drama,97.1,55.8,1
267.5,78,action,49.4,32.2,1
86.4,157,drama,14.2,88.6,0
246.2,117,drama,97.2,12.7,1
7.3,127,comedy,52.1,22.8,0
20.8,160,drama,71.6,67.3,0
72.4,86,action,49.2,76.6,1
224.0,95,action,22.7,76.3,0
164.7,161,action,62.2,55.8,0
15.1,94,action,19.3,70.3,0
237.6,148,drama,68.7,13.9,0
75.2,136,comedy,58.6,75.8,1
224.6,141,horror,55.8,33.6,1
57.4,159,scifi,55.6,37.9,0
49.7,170,horror,75.0,54.5,0
145.3,145,scifi,96.1,67.7,1
218.5,164,action,73.5,71.1,0
206.0,145,scifi,30.6,59.5,0
71.2,115,horror,57.2,5.9,1
54.0,140,comedy,82.2,93.0,1
276.6,82,comedy,49.8,33.8,0
212.7,131,horror,58.1,42.9,1
176.9,168,comedy,9.2,15.0,0
164.3,139,comedy,72.2,8.3,0
132.7,124,action,57.0,62.6,1
38.2,153,horror,46.8,79.2,0
58.6,108,action,51.7,40.5,1
230.7,100,comedy,2.9,73.5,0
262.2,107,horror,65.7,73.4,1
128.1,152,action,14.9,79.4,1
5.1,82,comedy,14.0,13.0,0
89.7,161,comedy,10.6,30.6,0
118.1,75,horror,35.1,69.1,1
82.0,125,horror,49.8,70.5,0
238.5,159,drama,26.9,21.6,0
138.7,104,comedy,38.0,70.9,0
292.7,142,comedy,6.2,14.0,0
1.8,85,horror,51.5,50.8,0
286.2,120,drama,86.9,25.9,1
262.1,145,action,54.3,85.9,1
21.5,177,horror,12.7,44.4,0
277.3,178,action,48.8,42.8,1
210.4,85,drama,69.9,23.9,0
127.3,126,action,20.2,93.5,0
253.5,133,comedy,75.7,59.4,1
103.4,82,action,33.6,62.8,1
137.0,171,drama,18.8,36.6,0
161.9,118,drama,58.3,7.2,0
23.3,178,comedy,6.6,33.7,0
10.9,149,comedy,6.8,14.8,0
15.2,99,comedy,55.5,84.1,0
63.6,138,comedy,94.3,99.0,1
206.7,131,action,88.5,88.0,1
121.2,121,action,49.4,70.1,0
52.7,124,drama,84.2,37.8,0
81.5,139,drama,7.8,48.5,0
110.1,107,scifi,50.4,38.9,1
146.2,139,comedy,66.0,70.9,0
131.7,95,comedy,75.0,41.6,1
152.6,178,scifi,23.1,24.0,0
190.3,92,comedy,67.7,71.2,1
94.3,96,drama,14.5,65.4,0
17.2,84,scifi,28.3,58.9,1
78.7,172,comedy,50.5,63.5,0
130.6,107,comedy,23.1,37.4,1
9.5,108,drama,23.9,73.9,0
177.4,130,action,29.2,5.1,1
251.0,157,action,44.9,27.5,1
64.7,124,horror,69.0,97.3,1
201.5,162,comedy,43.8,96.6,1
84.4,111,drama,76.4,3.9,0
46.8,79,scifi,57.9,84.5,0
11.3,115,action,40.5,59.6,0
92.6,126,horror,64.9,83.2,1
161.1,136,action,26.5,28.8,1
169.9,121,comedy,27.2,18.9,0
47.9,80,action,36.2,53.7,0
300.0,84,horror,14.6,22.6,1
149.2,106,action,4.1,33.2,0
110.9,87,action,54.5,67.3,1
89.6,171,comedy,6.1,28.0,0
148.8,75,drama,7.5,40.3,0
196.7,118,action,45.8,67.5,1
136.7,179,scifi,2.9,52.3,0
34.5,108,action,59.5,93.5,1
24.6,161,comedy,47.0,80.4,0
192.2,140,scifi,31.9,9.0,0
22.4,99,horror,23.8,2.1,0
140.7,149,action,30.6,36.3,0
291.8,143,horror,66.8,46.0,1
68.5,169,comedy,29.1,18.1,0
254.9,179,action,3.8,90.4,1
146.1,178,horror,89.3,17.6,1
174.5,163,comedy,31.5,19.3,1
177.4,169,action,86.4,88.8,1
240.5,119,scifi,2.6,96.0,1
274.5,82,drama,18.8,82.3,1
252.1,167,action,71.3,36.9,1
294.8,174,action,52.8,43.2,1
244.3,134,action,21.4,49.1,1
174.0,148,comedy,78.7,83.7,1
260.3,76,action,63.7,15.5,1
276.2,103,comedy,63.0,96.8,1
134.7,121,comedy,53.8,44.6,0
125.4,76,action,22.2,96.0,0
298.3,135,drama,79.4,38.3,1
96.0,91,action,21.1,47.7,0
272.3,169,horror,88.3,91.1,1
115.5,148,action,84.5,82.7,1
14.4,144,comedy,73.7,69.0,0
62.9,148,scifi,74.4,2.4,0
80.2,170,comedy,47.4,97.8,1
189.5,163,action,95.8,42.0,0
50.2,132,action,81.9,86.9,0
124.4,172,horror,45.2,74.9,1
76.7,96,comedy,1.6,31.7,0
24.0,146,action,21.0,48.7,0
205.2,80,action,77.0,83.3,1
138.3,175,action,24.7,50.6,0
160.8,103,comedy,35.1,61.8,1
150.8,121,horror,45.2,61.2,1
70.8,109,comedy,86.9,58.3,1
14.6,76,drama,97.6,34.5,0
78.6,146,comedy,86.3,33.2,1
92.1,145,horror,1.4,69.7,0
246.6,93,horror,95.5,53.7,1
267.9,83,drama,45.4,66.9,1
159.0,145,comedy,66.1,68.5,1
278.4,120,comedy,21.4,71.6,0
83.6,91,scifi,89.1,8.7,1
105.6,161,action,33.9,38.3,1
46.9,126,comedy,2.5,19.1,0
86.3,122,action,40.5,88.3,1
266.8,119,action,50.7,53.5,1
176.3,173,drama,35.3,49.1,0
76.0,171,horror,83.5,7.2,0
218.2,167,horror,40.4,73.3,1
68.3,89,comedy,2.8,90.2,0
58.9,109,drama,39.5,85.2,0
118.5,146,action,75.3,90.6,1
56.6,148,comedy,89.7,95.0,1
77.0,110,scifi,21.2,74.8,0
111.3,117,horror,20.7,12.5,0
181.6,138,action,98.4,54.1,1
254.3,123,action,24.2,61.0,1
237.2,167,action,73.5,48.7,1
1.2,165,horror,68.1,78.2,0
8.7,175,action,57.1,16.6,0
22.4,107,drama,69.6,15.4,0
259.3,176,action,75.1,5.7,1
221.5,101,scifi,31.1,55.9,1
219.3,139,horror,72.5,59.1,1
237.0,148,comedy,96.1,17.2,1
295.9,102,comedy,55.9,44.7,1
163.5,137,drama,59.7,42.7,1
97.7,97,comedy,77.1,23.5,1
177.1,116,scifi,64.8,67.1,1
84.1,129,horror,53.5,62.5,0
201.2,93,action,54.5,28.2,0
56.3,78,action,62.8,79.6,0
240.8,98,scifi,29.0,75.7,1
80.9,139,horror,41.5,88.4,0
95.6,89,scifi,96.4,85.9,1
110.2,111,drama,3.0,76.2,0
72.6,107,drama,26.4,66.8,0
290.3,143,drama,39.3,57.4,0
42.6,127,horror,29.7,66.4,0
151.2,82,comedy,60.6,79.2,1
185.8,125,horror,22.1,94.5,1
264.1,112,comedy,21.8,70.0,1
108.7,163,comedy,9.9,82.9,1
103.9,108,comedy,9.5,58.5,0
30.4,104,comedy,86.9,52.2,1
295.8,140,scifi,3.2,24.5,1
232.1,121,action,17.1,52.1,1
213.6,110,comedy,87.5,55.8,1
92.2,116,comedy,39.0,83.8,0
139.1,137,horror,92.1,34.8,1
152.8,96,action,68.3,96.7,1
45.7,151,comedy,54.4,45.9,0
249.3,148,horror,53.1,37.7,1
131.3,140,action,73.2,17.9,0
121.6,78,scifi,54.6,86.1,1
74.5,111,drama,97.3,80.1,1
186.3,133,comedy,81.1,5.3,1
73.5,89,comedy,65.1,62.1,0
279.6,170,action,66.3,76.8,1
144.4,98,scifi,24.6,20.1,0
6.1,161,comedy,76.8,54.2,0
127.9,119,comedy,20.3,8.1,0
138.2,90,comedy,40.2,41.0,0
228.1,174,horror,10.6,99.4,0
219.8,86,comedy,22.1,90.8,1
38.4,163,drama,26.9,9.0,0
264.2,121,horror,68.0,17.4,1
280.2,179,horror,37.9,66.8,1
101.9,139,action,88.3,35.8,0
228.3,145,drama,91.8,48.3,1
5.6,152,drama,68.7,47.4,0
17.4,133,comedy,25.6,22.1,0
61.5,171,drama,74.0,76.5,1
158.0,85,drama,56.4,32.7,0
54.4,158,action,41.1,7.5,0
149.6,172,action,9.8,31.1,1
268.4,91,comedy,49.0,58.9,1
81.5,113,scifi,2.0,71.1,0
66.8,104,action,54.9,96.9,1
179.8,143,horror,20.3,44.4,0
236.6,141,drama,71.0,15.8,1
145.0,116,action,41.5,73.4,1
228.5,159,drama,24.1,42.7,0
248.2,151,action,11.6,90.2,0
123.5,107,drama,82.1,40.9,1
164.2,75,comedy,28.1,51.3,0
289.2,115,comedy,47.6,90.0,1
238.5,149,scifi,4.7,30.1,0
23.3,171,comedy,46.8,65.4,0
96.8,118,action,94.9,84.4,0
6.1,107,action,60.5,51.4,0
24.4,99,action,33.2,21.1,0
295.5,161,scifi,49.5,31.8,1
131.3,76,comedy,31.0,79.9,0
267.4,87,action,3.1,47.0,1
270.6,158,comedy,59.1,28.7,1
210.5,161,horror,5.8,85.6,1
79.8,174,horror,43.4,68.6,0
233.8,93,scifi,27.4,28.8,1
212.4,176,comedy,19.7,29.9,1
140.0,124,horror,76.4,75.5,0
124.8,145,scifi,73.3,35.9,1
97.9,159,comedy,20.2,52.4,0
245.2,125,action,54.0,34.3,1
68.2,144,comedy,56.0,36.6,0
57.6,130,drama,83.6,62.9,0
55.2,96,drama,49.9,65.3,0
294.2,105,drama,63.2,12.4,1
104.9,162,scifi,4.9,1.5,0
230.4,140,action,89.1,81.4,1
238.9,179,scifi,4.6,82.0,1
27.3,179,horror,86.8,20.4,0
43.4,77,horror,76.2,72.4,1
68.9,145,drama,20.5,63.8,0
88.3,171,drama,44.9,77.1,0
291.9,172,action,71.1,45.2,1
91.8,146,action,43.1,46.3,1
133.3,80,scifi,98.7,47.6,0
9.3,91,comedy,78.4,65.1,1
54.3,140,scifi,61.1,82.6,1
136.7,91,action,6.7,54.5,0
79.2,103,comedy,62.8,50.7,1
244.2,100,horror,94.2,25.0,1
249.2,163,drama,23.6,78.0,1
236.4,140,horror,99.7,95.8,1
280.8,143,horror,17.4,76.8,1
278.4,126,drama,48.2,23.5,1
272.7,83,action,25.1,63.1,1
231.9,150,scifi,7.1,21.2,1
90.7,82,scifi,95.6,11.2,1
29.9,126,drama,79.3,41.4,1
228.6,146,scifi,89.9,50.1,1
107.4,165,action,36.4,32.8,0
88.5,120,comedy,8.4,84.1,1
195.9,123,comedy,41.1,18.2,1
40.0,95,horror,56.5,97.7,0
241.6,163,comedy,58.4,75.3,0
266.2,98,comedy,31.5,8.4,1
62.1,80,horror,12.0,73.9,0
169.8,89,comedy,43.0,30.9,1
242.4,134,comedy,81.7,88.0,1
220.4,110,action,8.7,91.1,1
225.9,123,action,29.7,8.7,1
218.4,175,action,52.2,96.2,1
256.9,101,comedy,55.4,24.1,1
26.2,171,drama,77.5,76.0,0
208.0,173,drama,83.0,4.9,1
105.7,160,drama,1.2,27.7,0
97.8,104,horror,8.8,76.8,0
214.4,141,drama,55.5,77.4,0
260.2,113,action,23.5,66.3,1
196.2,174,horror,8.5,66.6,1
271.0,93,comedy,10.5,86.0,0
142.3,107,drama,11.1,87.7,0
167.3,89,scifi,44.4,62.9,1
7.1,172,horror,64.8,52.9,0
2.7,161,scifi,93.5,78.1,0
163.1,177,scifi,79.0,23.8,0
194.8,167,horror,21.0,56.4,1
104.4,97,comedy,56.2,89.9,1
160.5,89,comedy,92.6,31.6,0
161.4,155,scifi,23.9,75.6,1
248.8,166,drama,4.3,73.4,1
61.1,124,horror,2.6,20.4,0
243.4,75,drama,25.7,62.8,1
248.7,87,scifi,46.8,38.3,1
35.5,113,comedy,18.8,27.5,0
98.7,129,action,24.0,57.6,1
127.3,175,horror,52.7,34.5,0
257.8,176,scifi,57.0,3.7,1
122.2,88,comedy,70.2,31.0,1
228.2,110,horror,18.8,63.9,0
289.7,80,drama,73.6,15.0,1
281.0,152,comedy,84.0,36.2,0
273.1,119,comedy,54.9,21.7,1
201.3,144,drama,0.1,84.0,0
149.7,172,horror,39.1,91.4,1
150.8,155,horror,19.4,90.5,0
112.0,91,action,17.4,4.3,0
233.8,91,horror,30.7,33.9,0
97.7,76,horror,26.8,63.6,1
258.2,117,drama,70.8,1.3,1
211.9,136,comedy,92.0,3.5,1
119.0,100,comedy,90.7,52.7,1
109.5,135,drama,63.1,76.9,1
28.0,100,drama,8.8,60.0,0
254.5,126,horror,45.5,63.0,1
256.6,126,horror,35.9,33.9,1
20.4,144,action,82.3,22.3,0
209.0,178,drama,77.2,84.5,1
57.1,105,action,34.4,46.7,0
131.1,117,horror,12.8,82.1,0
118.3,142,comedy,29.5,61.6,1
41.7,96,drama,71.5,41.9,0
217.3,85,drama,58.7,5.4,0
56.0,121,scifi,74.5,45.4,0
268.6,154,drama,57.9,32.4,1
283.5,158,scifi,91.0,99.7,1
86.3,139,scifi,13.7,78.0,0
205.3,179,drama,9.9,16.1,0
54.4,114,action,94.8,63.8,1
23.3,107,comedy,81.9,52.5,0
108.4,123,comedy,62.7,6.3,0
127.0,101,scifi,68.9,9.0,1
267.5,134,scifi,12.5,19.8,1
263.0,167,drama,82.1,84.8,1
67.2,147,drama,69.3,59.0,0
276.9,136,drama,89.9,64.7,1
68.7,131,drama,20.0,8.1,0
286.2,101,comedy,36.1,92.6,1
16.3,152,comedy,70.6,93.7,1
281.5,157,drama,15.0,45.0,0
283.5,161,horror,2.8,21.7,0
129.4,82,comedy,64.1,39.1,1
20.3,168,comedy,20.0,57.7,0
