customer_id,age,annual_income,spending_score,visit_frequency
120,40,67746.51,24,8
121,59,49825.58,93,5
122,40,78925.43,10,8
123,49,29193.75,33,6
124,28,46425.01,79,15
125,18,26119.7,88,5
126,26,78651.41,31,11
127,19,55493.54,19,12
128,32,99981.13,20,3
129,29,62760.85,5,8
130,45,63020.19,14,14
131,58,34928.21,13,15
132,48,33970.71,9,7
133,49,46013.34,45,5
134,56,70215.13,72,4
135,46,36161.69,37,12
136,31,15000.0,16,9
137,18,69034.53,49,2
138,42,70041.8,81,7
139,25,37991.45,13,9
140,39,61632.1,54,15
141,30,73445.88,7,5
142,26,74269.68,5,10
143,60,26352.33,7,7
144,64,54798.51,48,3
145,23,40119.01,47,7
146,33,70386.22,28,9
147,53,55117.11,81,7
148,50,32303.43,56,9
149,45,55198.67,93,5
150,50,63717.21,92,1
151,34,26127.65,92,13
152,54,29492.13,58,13
153,63,41252.3,36,3
154,57,47736.96,95,12
155,21,43078.82,56,10
156,62,20868.59,67,7
157,37,25470.57,78,7
158,33,52247.95,76,3
159,64,60151.59,84,12
160,49,37327.85,82,11
161,58,55866.77,97,14
162,32,86025.26,35,10
163,34,49339.09,73,12
164,32,45328.3,55,8
165,52,40740.76,1,10
166,55,61483.55,36,10
167,53,57314.09,37,7
168,53,57783.4,83,5
169,45,46846.58,39,8
170,52,60743.9,83,10
171,23,60865.38,31,8
172,23,51116.99,61,9
173,54,74066.95,30,5
174,63,26391.83,57,10
175,20,66375.03,6,7
176,47,51676.42,27,5
177,49,68756.85,60,18
178,39,87502.36,39,6
179,33,54964.62,92,6
180,60,50792.91,25,8
181,62,53844.68,17,4
182,23,78673.27,66,7
183,62,81520.93,90,1
184,32,57355.0,12,4
185,24,65873.93,23,10
186,24,86247.19,20,10
187,38,64112.71,38,11
188,33,28202.0,69,8
189,59,40304.16,86,12
190,54,46215.21,51,7
191,58,61750.85,70,3
192,25,44912.98,62,10
193,37,79446.69,42,10
194,53,46551.46,7,12
195,19,82734.29,8,9
196,46,43441.54,39,6
197,24,78897.96,50,11
198,33,58496.46,99,7
199,22,80376.68,59,13
200,57,89963.9,47,10
201,41,86329.68,60,5
202,19,73863.53,78,8
203,37,42213.3,54,9
204,29,41127.62,29,8
205,44,15000.0,78,8
206,41,81725.06,86,7
207,52,78117.26,13,16
208,36,73861.02,36,6
209,61,35652.14,45,6
210,36,104797.89,24,9
211,37,43933.73,87,6
212,64,71327.27,3,13
213,64,27163.38,15,5
214,43,45091.43,5,11
215,24,77854.46,97,4
216,49,74387.04,38,8
217,51,36808.62,70,5
218,39,54560.74,90,10
219,25,76042.67,83,12
220,27,23286.67,22,7
221,34,69738.13,91,9
222,22,28421.41,42,7
223,50,67249.54,56,8
224,53,51344.96,87,8
225,64,73463.46,79,7
226,51,46649.09,95,6
227,64,49472.5,38,8
228,64,49326.47,76,8
229,64,38463.1,12,6
230,29,50428.09,33,5
231,44,37171.8,80,5
232,36,45184.81,63,5
233,58,67345.54,68,4
234,35,49352.11,21,6
235,27,74278.82,68,11
236,44,67737.55,61,5
237,36,69893.9,39,5
238,20,34717.12,56,11
239,63,62478.14,89,15
240,55,80822.07,81,8
241,51,71284.0,96,3
242,52,77021.67,41,7
243,45,82265.61,43,3
244,22,28037.19,42,6
245,42,65288.3,71,9
246,51,64907.18,36,10
247,55,51599.74,73,7
248,33,31627.16,89,13
249,52,57695.3,36,10
250,38,52223.35,90,9
251,34,90007.94,69,9
252,27,78537.71,20,7
253,47,47749.51,42,12
254,50,36208.77,86,14
255,62,39913.76,69,5
256,45,54167.93,24,13
257,64,42124.39,13,6
258,19,90482.44,70,8
259,31,33777.81,83,7
260,25,53533.09,51,4
261,44,57763.71,37,7
262,52,62618.18,94,8
263,40,38618.19,47,9
264,24,51201.46,19,4
265,34,58504.96,61,9
266,39,61158.65,9,9
267,24,44884.6,56,7
268,49,49868.46,85,8
269,34,59283.99,55,12
270,25,89617.02,30,13
271,40,33893.35,63,6
272,41,67931.95,27,10
273,51,83774.97,61,6
274,37,30624.16,40,4
275,22,81510.19,82,8
276,24,80881.52,31,10
277,59,56944.97,38,6
278,55,73077.78,68,5
279,50,82414.48,47,5
280,21,53326.75,60,4
281,18,60181.66,37,8
282,56,37017.21,93,7
283,52,43861.58,74,7
284,33,57531.25,78,13
285,62,54719.84,86,5
286,34,85211.28,92,7
287,50,52472.4,88,9
288,28,34842.53,74,6
289,32,72350.55,70,7
290,58,72988.18,12,8
291,60,63641.5,82,6
292,64,54122.4,5,7
293,58,42489.83,96,5
294,26,45032.0,5,6
295,59,83801.53,12,10
296,47,70571.29,28,10
297,37,58465.18,44,5
298,20,64110.98,38,11
299,18,50460.69,96,7
300,36,40105.47,25,6
