athlete_id,sport,age,training_hours_per_week,resting_heart_rate,vo2_max,performance_score
74,swimming,23,14.9,58,42.4,57.7
75,swimming,31,15.1,80,38.5,57.5
76,weightlifting,29,18.8,87,33.7,40.7
77,cycling,29,13.5,57,33.9,48.9
78,swimming,29,11.2,84,40.5,44.0
79,sprint,26,16.4,88,42.4,59.9
80,weightlifting,36,8.2,81,37.4,54.7
81,swimming,16,18.9,88,33.2,34.6
82,weightlifting,35,21.9,85,45.8,45.2
83,swimming,27,20.3,63,53.3,74.7
84,weightlifting,20,14.7,82,32.4,32.1
85,sprint,18,24.9,56,31.9,62.4
86,sprint,33,10.5,64,40.0,52.7
87,weightlifting,30,6.9,80,34.0,38.6
88,cycling,16,18.7,51,56.9,42.1
89,swimming,37,25.4,64,33.1,54.2
90,sprint,19,18.2,50,44.6,65.9
91,weightlifting,37,21.9,51,39.8,41.1
92,cycling,26,24.5,79,26.0,34.4
93,cycling,24,24.7,53,53.8,39.9
94,swimming,17,24.9,75,46.0,64.8
95,weightlifting,20,27.5,81,34.2,51.7
96,swimming,33,9.6,89,36.4,60.2
97,weightlifting,17,15.6,60,35.6,49.8
98,weightlifting,28,10.9,75,36.1,49.5
99,cycling,20,7.9,84,30.8,48.6
100,cycling,23,22.3,63,31.9,46.1
101,swimming,16,10.3,88,35.2,47.2
102,weightlifting,24,16.4,46,33.1,45.0
103,sprint,27,24.6,54,51.7,63.1
104,swimming,21,19.9,81,47.8,49.5
105,weightlifting,34,26.1,79,41.9,35.5
106,cycling,21,14.6,62,44.2,39.7
107,swimming,18,23.8,61,36.0,46.9
108,cycling,29,15.9,72,37.6,60.4
109,cycling,30,15.0,86,45.1,43.3
110,weightlifting,17,9.1,85,45.6,62.2
111,swimming,24,29.8,64,25.9,61.2
112,weightlifting,23,15.2,68,29.1,35.6
113,weightlifting,18,15.3,72,40.0,27.9
114,weightlifting,29,28.8,53,38.4,27.5
115,sprint,30,25.1,67,52.9,50.7
116,swimming,18,5.7,45,43.7,59.2
117,cycling,24,13.9,53,41.7,40.1
118,sprint,25,15.0,77,46.5,57.4
119,swimming,23,21.3,50,44.8,69.5
120,weightlifting,25,10.6,81,34.8,24.3
121,sprint,31,7.7,81,49.9,73.6
122,sprint,30,19.6,58,45.8,64.6
123,cycling,24,23.8,49,44.5,59.2
124,cycling,32,29.5,82,37.5,47.7
125,swimming,19,19.2,65,44.0,52.5
126,weightlifting,20,20.0,71,33.9,42.1
127,weightlifting,24,11.5,65,35.5,50.1
128,cycling,37,21.9,61,39.8,54.6
129,weightlifting,19,22.9,57,30.5,18.0
130,sprint,34,19.9,51,51.2,53.4
131,cycling,28,18.8,86,45.3,54.4
132,cycling,25,27.4,80,34.4,57.6
133,sprint,25,28.0,62,34.3,59.9
134,swimming,17,19.1,81,43.5,61.0
135,sprint,16,23.6,53,38.7,58.2
136,swimming,17,9.8,64,42.4,74.9
137,cycling,36,10.5,76,30.5,29.3
138,swimming,31,6.0,49,38.5,65.4
139,swimming,29,7.5,69,41.9,47.2
140,weightlifting,36,24.4,81,35.3,48.2
141,swimming,23,15.2,58,44.2,52.6
142,weightlifting,18,26.1,47,30.1,62.1
143,swimming,31,21.3,47,41.4,32.2
144,cycling,33,11.0,66,32.6,22.6
145,weightlifting,37,17.8,74,48.5,41.3
146,sprint,33,22.7,83,35.5,58.7
147,sprint,16,5.7,63,30.4,64.9
148,sprint,22,19.7,47,34.8,62.5
149,cycling,32,8.3,78,48.4,60.6
150,sprint,35,15.8,82,49.1,38.8
151,cycling,26,23.5,64,40.4,58.8
152,swimming,24,22.0,45,36.7,52.8
153,sprint,22,19.5,65,40.5,60.8
154,cycling,26,13.5,51,27.8,54.8
155,sprint,37,19.1,71,46.8,59.7
156,cycling,16,19.7,58,45.1,44.0
157,cycling,23,5.0,88,34.8,42.3
158,cycling,34,8.3,45,34.9,58.5
159,sprint,32,19.9,66,52.0,46.7
160,weightlifting,21,11.3,78,39.3,59.4
161,cycling,32,21.0,78,32.3,43.1
162,cycling,20,5.3,81,50.4,56.0
163,swimming,29,19.9,50,38.6,52.4
164,sprint,29,5.8,75,35.1,50.1
165,weightlifting,33,12.7,83,42.2,48.3
166,sprint,25,29.0,47,54.5,44.7
167,cycling,35,15.9,64,45.4,54.6
168,cycling,25,15.0,74,42.9,46.8
169,sprint,17,29.9,89,42.7,66.5
170,cycling,22,8.7,60,51.7,49.6
171,cycling,25,28.5,46,37.7,40.6
172,sprint,21,27.9,56,54.4,63.2
173,sprint,20,5.3,51,36.5,40.2
174,swimming,23,19.7,86,40.5,70.4
175,swimming,22,15.4,57,41.7,56.0
176,cycling,29,6.0,53,31.9,59.0
177,sprint,24,11.2,74,39.4,55.5
178,sprint,33,10.8,49,39.0,55.5
179,sprint,27,23.7,67,46.3,81.5
180,sprint,17,8.0,86,41.9,62.3
181,sprint,25,22.8,75,39.3,44.2
182,swimming,29,25.0,79,41.8,43.0
183,swimming,34,7.2,50,44.5,49.2
184,cycling,18,9.7,52,26.8,48.4
185,cycling,17,7.7,46,36.5,59.1
186,cycling,27,9.6,55,42.2,42.0
187,weightlifting,17,9.7,84,59.1,56.1
188,cycling,21,19.7,45,44.5,50.9
189,sprint,37,21.8,51,48.7,62.0
190,swimming,16,15.7,82,36.1,37.0
191,cycling,37,22.0,73,47.6,62.0
192,swimming,34,11.3,45,43.3,52.6
193,sprint,33,16.8,51,40.4,43.7
194,sprint,29,22.3,66,49.8,51.3
195,weightlifting,18,13.8,64,36.4,57.6
196,swimming,23,24.8,75,31.6,44.6
197,cycling,21,13.9,50,50.2,49.5
198,weightlifting,26,12.4,51,35.3,40.9
199,sprint,25,15.3,68,40.0,58.6
200,cycling,30,16.9,85,42.3,52.0
201,swimming,16,26.9,80,35.2,60.5
202,swimming,17,20.3,75,37.6,47.2
203,sprint,27,29.2,53,46.7,56.3
204,sprint,28,27.4,55,53.6,61.0
205,cycling,30,25.1,73,31.9,47.8
206,cycling,28,27.7,70,35.9,45.3
207,weightlifting,21,22.6,53,45.7,64.2
208,weightlifting,33,27.3,48,39.8,56.7
209,swimming,29,13.1,81,43.3,53.5
210,cycling,30,29.3,80,46.5,53.6
211,cycling,35,15.2,50,29.3,62.6
212,cycling,16,17.8,50,37.9,45.9
213,sprint,34,12.2,63,33.5,52.8
214,swimming,20,25.3,77,34.3,44.0
215,swimming,17,10.8,61,46.1,45.2
216,cycling,17,27.3,83,39.7,57.2
217,cycling,28,27.4,67,42.9,71.2
218,cycling,36,25.5,74,33.0,31.0
219,sprint,23,20.5,46,44.9,57.1
220,weightlifting,36,22.2,83,39.8,55.1
221,sprint,30,10.0,68,42.5,58.6
222,sprint,30,19.2,88,51.9,72.6
223,sprint,23,25.7,65,39.7,84.4
224,sprint,33,15.7,77,44.1,57.2
225,sprint,29,28.1,78,30.7,52.7
226,sprint,29,14.9,89,43.5,45.9
227,weightlifting,20,23.2,66,37.8,33.0
228,cycling,21,17.1,66,44.9,44.3
229,sprint,19,29.2,67,47.0,71.5
230,cycling,30,23.3,66,40.0,52.9
231,swimming,30,25.6,62,41.6,41.9
232,sprint,20,20.3,71,41.4,49.3
233,swimming,18,25.7,53,47.9,58.0
234,cycling,34,10.8,63,40.3,43.4
235,cycling,16,7.7,82,33.3,59.2
236,cycling,23,25.9,56,38.2,44.4
237,cycling,18,17.5,49,39.7,55.6
238,cycling,28,20.3,73,48.7,62.6
239,sprint,35,22.1,59,42.7,59.9
240,sprint,34,17.3,89,47.8,67.5
241,weightlifting,28,23.1,54,36.2,29.3
242,swimming,20,24.5,77,42.5,71.2
243,sprint,22,10.5,57,38.0,57.7
244,weightlifting,27,9.1,70,34.8,42.7
245,sprint,36,12.4,74,40.9,54.5
246,weightlifting,29,5.1,52,33.7,38.8
247,swimming,24,29.1,59,34.6,71.3
248,sprint,29,26.9,62,38.1,66.5
249,weightlifting,31,28.3,80,38.9,54.9
250,swimming,34,7.4,87,31.2,58.2
251,swimming,19,18.2,53,36.0,44.7
252,swimming,21,15.5,74,41.7,49.3
253,cycling,36,10.3,82,45.9,54.2
254,weightlifting,22,11.7,53,44.8,63.9
255,sprint,22,15.8,50,37.1,54.5
256,sprint,26,11.9,81,45.3,75.6
257,weightlifting,35,10.8,73,43.1,47.3
258,sprint,24,27.1,67,45.2,50.7
259,swimming,28,19.7,66,37.0,53.4
260,cycling,20,25.1,56,34.9,64.5
261,weightlifting,34,27.6,74,38.5,35.3
262,sprint,19,23.9,57,51.9,62.5
263,swimming,27,11.7,75,40.2,50.2
264,cycling,37,18.4,68,37.8,34.8
265,weightlifting,22,29.0,72,30.3,60.2
266,sprint,30,17.7,46,43.3,68.8
267,cycling,25,5.8,70,41.4,58.3
268,sprint,20,14.9,79,44.2,76.4
269,cycling,35,19.6,71,40.9,40.0
270,swimming,16,12.7,62,41.5,56.6
271,weightlifting,19,24.5,75,33.2,41.4
272,swimming,24,18.1,57,43.0,48.7
273,swimming,25,18.0,72,45.2,51.8
274,swimming,16,12.6,63,37.3,40.9
275,cycling,20,24.1,73,30.1,53.2
276,weightlifting,26,6.7,64,31.3,51.6
277,cycling,21,6.0,78,37.6,44.4
278,weightlifting,36,25.2,49,34.0,33.1
279,weightlifting,36,29.3,46,41.2,55.6
280,swimming,21,20.8,84,51.7,54.4
281,cycling,19,21.2,64,36.6,42.9
282,swimming,23,25.9,54,39.2,60.3
283,cycling,29,9.4,61,49.3,47.8
284,sprint,31,13.9,71,44.1,53.8
285,swimming,22,12.3,64,45.1,61.7
286,sprint,26,13.5,77,45.9,70.3
287,sprint,34,28.5,71,45.3,70.6
288,weightlifting,37,17.8,48,42.3,47.7
289,swimming,35,9.0,67,51.8,57.3
290,swimming,17,21.9,83,36.9,60.3
291,weightlifting,18,17.3,56,28.3,48.8
292,swimming,24,27.3,76,41.4,46.1
293,swimming,32,17.9,46,46.3,60.0
294,cycling,31,17.5,83,41.1,65.5
295,cycling,37,29.7,82,45.1,58.1
296,cycling,24,24.2,51,39.4,55.7
297,swimming,34,10.2,54,36.5,59.7
298,weightlifting,31,9.1,48,36.9,53.6
299,swimming,17,15.3,66,58.3,49.8
300,weightlifting,19,13.5,83,38.6,46.2
301,sprint,29,14.8,74,26.1,58.1
302,swimming,27,22.5,45,49.2,50.8
303,weightlifting,27,10.9,57,33.8,43.1
304,weightlifting,28,28.8,53,32.0,64.7
305,swimming,31,28.2,75,56.3,60.2
306,cycling,35,28.8,53,32.0,48.9
307,weightlifting,20,14.2,68,40.7,50.4
308,swimming,35,20.8,59,40.7,58.8
309,swimming,35,12.1,65,48.4,62.2
310,sprint,30,11.6,57,42.2,72.5
311,sprint,21,15.5,68,36.1,65.8
312,sprint,36,19.0,78,59.8,66.4
313,sprint,36,14.8,80,46.5,74.1
314,swimming,20,27.0,46,48.4,60.3
315,weightlifting,35,23.0,48,43.8,38.8
316,cycling,28,13.4,50,42.8,52.9
317,swimming,29,9.7,64,47.4,54.7
318,cycling,19,27.3,68,40.7,42.0
319,cycling,28,27.8,59,37.6,50.1
320,swimming,19,27.3,86,40.8,59.2
321,sprint,31,10.5,79,42.1,55.5
322,weightlifting,30,28.2,46,38.4,52.5
323,swimming,29,21.4,45,50.6,53.9
324,swimming,28,27.6,74,41.5,46.4
325,weightlifting,33,12.0,76,35.5,47.7
326,cycling,24,13.3,74,37.0,54.3
327,swimming,27,17.8,60,28.4,68.8
328,sprint,17,22.2,78,33.9,44.8
329,cycling,27,19.2,77,38.8,55.9
330,weightlifting,31,16.8,51,31.2,42.3
331,sprint,24,23.3,69,43.6,72.2
332,sprint,36,9.7,52,52.3,57.6
333,swimming,18,15.5,53,40.5,67.5
334,weightlifting,37,17.3,57,27.6,57.7
335,cycling,21,12.9,76,43.2,31.2
336,weightlifting,24,11.3,81,52.2,42.9
337,swimming,25,29.4,60,39.6,44.4
338,sprint,16,20.9,48,42.4,63.1
339,cycling,24,5.1,70,39.2,51.1
340,sprint,29,24.7,57,40.1,62.5
341,cycling,32,24.6,65,54.9,64.1
342,swimming,32,29.9,88,40.1,64.2
343,sprint,23,29.0,78,44.4,62.0
344,cycling,30,10.9,74,43.1,46.7
345,weightlifting,17,9.2,65,35.0,50.7
346,swimming,19,25.5,50,37.2,57.1
347,sprint,19,15.6,84,44.9,59.6
348,sprint,32,20.7,64,52.4,58.3
349,swimming,26,10.3,54,37.0,63.0
350,sprint,35,18.8,84,45.1,59.1
351,sprint,29,16.1,85,35.1,39.5
352,cycling,30,15.3,67,49.9,48.7
353,sprint,24,6.4,88,35.8,59.1
354,swimming,37,10.0,82,50.7,32.5
355,cycling,36,12.1,45,31.4,55.4
356,sprint,30,25.5,51,45.7,71.5
357,swimming,20,26.0,83,45.6,58.2
358,weightlifting,23,18.9,68,51.5,54.3
359,swimming,29,22.8,83,54.4,59.5
360,cycling,37,22.8,67,37.5,54.2
361,sprint,37,20.1,87,35.6,47.7
362,sprint,35,24.7,61,33.5,53.9
363,weightlifting,21,7.3,73,46.9,57.3
364,cycling,25,27.1,83,38.9,65.7
365,swimming,37,12.1,58,38.9,48.5
366,swimming,34,15.6,61,38.8,64.8
367,sprint,28,29.3,61,32.7,63.6
368,sprint,33,17.0,85,36.8,71.6
369,weightlifting,19,23.2,52,30.7,47.2
370,sprint,28,17.4,51,41.5,49.6
371,cycling,18,26.7,55,35.1,35.2
372,weightlifting,31,10.5,75,24.0,38.8
373,sprint,28,21.4,67,40.2,78.2
374,weightlifting,34,5.3,70,37.4,39.3
375,weightlifting,34,21.9,66,33.6,55.1
376,sprint,29,14.3,58,33.6,43.2
377,weightlifting,21,13.3,86,41.6,52.0
378,weightlifting,21,8.6,56,48.6,39.5
379,weightlifting,21,24.7,68,38.7,51.2
380,sprint,16,8.6,56,33.8,62.7
381,swimming,32,8.8,74,37.5,58.7
382,cycling,36,18.5,86,38.2,43.7
383,sprint,29,29.9,52,49.7,78.7
384,sprint,17,25.5,53,38.4,60.6
385,swimming,23,21.1,81,47.6,48.2
386,weightlifting,30,14.2,49,32.8,40.6
387,weightlifting,32,8.2,50,29.7,26.8
388,sprint,36,14.3,48,49.7,61.7
389,weightlifting,18,9.5,87,40.8,41.7
390,cycling,22,24.2,62,31.8,41.7
391,weightlifting,35,22.4,81,28.1,49.1
392,weightlifting,37,9.7,63,40.1,47.6
393,swimming,30,20.8,53,54.3,65.6
394,cycling,22,18.3,87,43.0,55.5
395,swimming,16,11.5,72,31.5,71.3
396,swimming,30,9.7,76,31.6,78.1
397,sprint,22,28.7,88,42.7,55.0
398,sprint,31,25.0,67,46.4,67.2
399,sprint,35,18.7,85,44.1,66.7
400,sprint,19,8.2,69,35.0,62.0
401,swimming,25,28.8,87,44.1,46.5
402,cycling,30,27.6,85,40.6,45.8
403,cycling,28,7.9,65,37.9,37.8
404,sprint,22,17.0,80,35.3,54.8
405,sprint,20,5.6,55,29.6,50.3
406,swimming,31,24.6,63,48.4,65.1
407,cycling,20,17.1,54,46.0,73.4
408,swimming,18,20.7,49,43.4,44.0
409,swimming,20,9.6,52,36.9,61.3
410,cycling,31,15.2,47,41.6,27.6
411,sprint,17,20.1,83,44.3,55.9
412,cycling,25,16.7,56,41.1,50.4
413,sprint,19,18.0,46,50.1,64.8
414,sprint,24,19.5,61,48.0,71.1
415,sprint,22,28.0,65,44.3,72.3
416,weightlifting,17,20.6,86,46.1,50.9
417,weightlifting,36,25.1,58,35.7,47.8
418,swimming,31,21.6,80,48.5,50.9
419,weightlifting,35,10.4,80,44.6,34.7
420,weightlifting,37,14.7,70,47.7,41.6
421,sprint,26,26.3,85,35.7,63.1
422,sprint,33,27.3,48,52.1,63.2
423,sprint,26,27.7,74,45.7,34.4
424,sprint,25,24.5,83,46.5,59.5
425,swimming,23,27.8,67,43.8,53.0
426,weightlifting,19,6.6,77,31.8,59.5
427,cycling,37,28.2,64,32.4,47.9
428,swimming,30,17.9,84,51.5,44.5
429,weightlifting,37,14.4,78,42.3,58.4
430,cycling,25,13.9,67,43.1,44.6
431,swimming,33,26.7,62,40.2,49.9
432,cycling,19,15.9,53,53.8,56.7
433,swimming,16,16.3,77,45.0,64.2
434,weightlifting,35,27.1,61,39.5,27.4
435,cycling,37,17.5,70,41.7,50.1
436,sprint,31,13.0,87,46.6,54.9
437,sprint,23,20.8,48,40.3,50.4
438,swimming,17,16.6,48,44.7,64.6
439,sprint,33,15.9,79,31.8,47.4
440,weightlifting,16,14.1,68,34.9,47.2
441,sprint,29,10.4,74,35.9,61.3
442,cycling,18,24.7,72,45.7,79.0
443,sprint,16,24.8,63,36.9,50.9
444,swimming,21,17.2,73,34.7,57.8
445,swimming,24,27.6,59,34.8,54.9
446,sprint,26,18.3,89,30.3,41.2
447,sprint,37,10.9,85,24.8,56.8
448,swimming,27,17.6,57,38.2,72.6
449,weightlifting,21,28.6,53,41.4,47.6
450,cycling,16,12.5,48,32.5,28.5
451,weightlifting,26,29.9,53,35.4,42.0
452,weightlifting,33,28.9,89,39.8,34.6
453,weightlifting,21,13.8,56,47.5,50.8
454,swimming,31,29.2,68,42.6,60.6
455,swimming,26,10.7,69,35.2,46.8
456,weightlifting,37,22.1,66,48.9,47.2
457,cycling,28,12.5,82,43.0,38.9
458,sprint,28,11.7,53,50.2,75.8
459,swimming,33,21.8,60,34.8,61.5
460,cycling,33,18.1,75,34.3,84.3
461,swimming,26,8.7,49,43.2,45.6
462,sprint,30,18.3,58,41.8,60.3
463,swimming,26,10.9,68,32.8,53.4
464,cycling,29,10.3,53,31.6,55.7
465,cycling,17,14.0,46,36.0,64.9
466,sprint,30,10.0,84,38.5,62.6
467,weightlifting,17,28.3,66,52.9,61.9
468,sprint,17,6.7,49,38.1,63.8
469,sprint,37,17.6,64,39.0,69.9
470,weightlifting,34,16.8,51,42.9,34.7
471,cycling,30,20.1,79,39.4,49.1
472,weightlifting,35,16.9,67,32.7,46.2
473,swimming,16,27.4,85,50.9,66.2
474,cycling,18,14.4,88,41.4,43.4
475,weightlifting,30,6.0,53,30.7,51.3
476,cycling,34,19.6,55,39.0,44.7
477,cycling,33,13.2,50,35.3,35.3
478,swimming,18,24.2,85,36.6,52.8
479,cycling,31,7.5,79,46.3,47.9
480,cycling,19,15.9,66,39.5,47.9
481,weightlifting,25,8.7,73,40.3,54.1
482,cycling,29,18.9,85,33.7,46.6
483,swimming,21,23.1,65,45.0,52.5
484,cycling,27,25.9,76,22.2,50.5
485,cycling,30,10.3,79,34.3,50.0
486,sprint,26,14.6,70,49.5,61.3
487,swimming,34,28.9,78,43.8,41.7
488,cycling,32,29.9,63,35.5,53.6
489,swimming,37,21.5,56,39.9,43.4
490,sprint,32,23.0,79,39.1,59.9
491,cycling,37,16.6,45,45.7,72.3
492,weightlifting,28,18.4,56,42.2,36.9
493,cycling,34,5.5,45,35.2,47.6
494,sprint,17,18.6,86,34.8,67.3
495,sprint,28,10.4,66,49.1,60.7
496,sprint,30,6.5,85,44.1,73.4
497,swimming,33,15.0,58,31.9,52.5
498,swimming,37,24.5,61,43.9,66.3
499,swimming,29,14.2,46,60.1,47.9
500,weightlifting,25,11.1,87,35.6,36.9
501,sprint,21,24.0,67,46.0,64.9
502,sprint,35,25.5,65,37.6,57.1
503,cycling,18,12.6,66,38.6,47.2
504,sprint,34,6.2,65,45.3,64.8
505,swimming,27,25.5,58,37.9,44.6
506,sprint,37,14.7,53,45.6,58.6
507,weightlifting,34,12.2,87,32.7,41.1
508,weightlifting,21,21.8,64,39.5,41.9
509,swimming,16,18.4,72,35.7,60.2
510,sprint,28,26.9,71,47.6,58.3
511,swimming,21,26.4,65,40.7,88.3
512,swimming,23,13.4,56,47.2,67.1
513,swimming,20,16.4,55,41.9,43.6
514,weightlifting,37,14.6,59,40.6,40.0
515,weightlifting,36,27.3,53,36.4,43.7
516,cycling,30,12.6,62,42.0,44.7
517,weightlifting,16,8.5,69,32.2,51.3
518,cycling,37,10.9,62,30.8,46.6
519,sprint,19,17.4,65,36.2,49.9
520,swimming,31,8.2,49,55.3,50.2
521,sprint,32,22.9,45,49.2,62.0
522,sprint,35,14.0,46,42.2,64.5
523,sprint,34,5.2,66,38.9,40.7
524,sprint,28,29.4,89,43.0,63.7
525,swimming,36,17.8,73,43.6,40.7
526,cycling,35,28.7,52,30.2,60.5
527,swimming,16,16.6,45,36.4,50.7
528,sprint,30,21.0,57,38.6,45.2
529,sprint,17,19.2,45,42.5,87.0
530,cycling,24,10.4,66,37.6,22.2
531,sprint,30,6.1,49,36.1,66.4
532,sprint,33,29.3,63,36.4,68.2
533,weightlifting,17,20.1,80,32.2,47.7
534,weightlifting,17,6.0,76,42.8,33.9
535,sprint,29,10.4,78,41.7,56.4
536,swimming,28,5.5,51,51.2,44.3
537,weightlifting,27,24.8,66,43.8,51.4
538,swimming,22,6.9,70,34.4,29.6
539,cycling,16,26.9,89,23.7,60.1
540,cycling,16,28.3,63,35.9,44.9
541,swimming,35,17.9,64,46.2,65.7
542,cycling,29,22.3,56,32.0,51.3
543,sprint,34,29.4,80,48.2,64.4
544,weightlifting,25,18.9,75,38.2,29.4
545,sprint,33,20.3,89,28.7,57.1
546,sprint,21,29.0,82,43.4,60.4
547,cycling,34,29.3,58,39.2,54.8
548,sprint,23,11.1,88,39.0,69.8
549,weightlifting,29,10.2,81,42.1,36.7
550,cycling,29,29.1,71,38.9,47.7
551,sprint,29,9.5,72,50.3,62.1
552,sprint,33,7.3,86,40.2,57.9
553,weightlifting,20,24.1,55,44.3,37.5
554,sprint,26,7.9,67,47.9,62.2
555,weightlifting,29,10.2,89,40.6,42.2
556,cycling,19,17.9,56,39.1,35.8
557,cycling,36,12.9,76,37.2,37.3
558,cycling,19,9.8,64,43.2,39.6
559,weightlifting,33,26.6,68,23.8,57.1
560,swimming,19,7.0,66,44.1,58.6
561,swimming,21,19.5,59,50.8,54.6
562,swimming,26,24.0,73,42.3,61.4
563,cycling,18,13.9,61,43.9,43.0
564,sprint,35,11.6,71,42.4,63.6
565,swimming,36,26.7,66,38.3,67.1
566,sprint,26,7.3,52,40.5,56.8
567,weightlifting,35,17.9,46,42.6,32.5
568,cycling,32,15.9,83,40.8,51.5
569,swimming,19,23.9,46,41.0,41.6
570,sprint,21,12.6,74,39.8,66.1
571,weightlifting,25,14.8,49,28.8,66.0
572,swimming,35,5.8,79,37.2,65.0
573,weightlifting,30,14.2,49,46.7,54.2
574,cycling,27,8.7,71,32.3,49.5
575,swimming,28,29.6,63,41.4,40.5
576,swimming,37,21.1,65,36.2,51.4
577,swimming,25,24.0,70,45.8,55.9
578,weightlifting,27,6.7,59,42.5,26.3
579,sprint,34,22.1,67,38.2,70.8
580,cycling,27,23.6,76,33.1,40.8
581,weightlifting,23,6.4,82,47.7,46.3
582,swimming,34,23.6,83,45.6,58.0
583,weightlifting,21,10.7,58,43.1,64.4
584,weightlifting,24,11.4,78,40.4,41.0
585,weightlifting,28,26.5,58,40.7,43.8
586,cycling,28,29.7,87,38.7,40.9
587,weightlifting,24,24.6,87,47.0,44.7
588,swimming,32,26.8,58,30.9,43.3
589,swimming,21,18.5,84,33.5,46.2
590,swimming,30,6.5,82,42.6,72.6
591,sprint,22,5.2,74,53.4,68.1
592,sprint,29,18.4,64,43.6,53.3
593,sprint,28,19.8,57,36.2,41.2
594,swimming,22,5.8,62,47.7,57.9
595,sprint,16,19.8,72,48.9,54.1
596,sprint,35,18.8,49,34.0,50.7
597,cycling,20,6.0,58,29.2,63.3
598,swimming,16,28.2,49,38.2,68.9
599,sprint,31,23.4,81,28.9,64.5
600,cycling,37,13.7,75,42.6,31.6
601,weightlifting,30,21.1,46,43.2,44.7
602,cycling,32,13.7,53,33.7,55.8
603,weightlifting,21,19.4,70,38.7,41.1
604,swimming,34,25.6,73,51.6,51.1
605,cycling,20,11.9,58,24.2,56.4
606,sprint,18,25.4,47,41.4,66.8
607,sprint,30,10.9,64,40.9,61.8
608,swimming,20,22.3,81,42.1,47.2
609,swimming,22,7.0,49,39.0,65.6
610,swimming,24,24.3,63,30.0,61.2
611,sprint,37,25.5,50,38.2,43.8
612,cycling,35,22.0,54,50.6,63.5
613,sprint,19,13.7,46,42.9,62.4
614,swimming,33,10.0,58,42.9,53.7
615,sprint,25,23.9,76,32.2,71.0
616,cycling,28,8.3,81,43.1,48.9
617,swimming,31,14.7,71,49.1,42.3
618,sprint,23,10.0,48,39.3,66.0
619,sprint,26,25.1,46,46.2,52.9
620,sprint,23,19.3,69,44.5,55.1
