ram_gb,storage_gb,battery_mah,brand,camera_mp,price
12,128,3145,samsung,108,26232.19
4,64,5895,samsung,48,21891.7
16,256,4918,samsung,48,35179.97
8,128,4733,oneplus,108,30124.02
8,64,5290,xiaomi,108,26686.1
16,64,3805,oneplus,108,33353.49
12,128,3843,xiaomi,200,33824.49
8,512,3436,xiaomi,12,27437.09
6,128,5768,apple,48,56310.84
12,64,4647,xiaomi,200,32646.66
6,64,5257,samsung,108,26413.99
12,512,3093,xiaomi,64,32111.91
6,512,5967,samsung,64,32280.4
6,512,3499,apple,12,55670.19
4,128,4530,xiaomi,200,26156.63
16,256,5827,oneplus,48,37754.93
12,64,3819,samsung,48,26241.79
8,128,3303,samsung,64,24746.77
6,128,5194,samsung,108,25770.4
6,512,4856,xiaomi,64,29110.42
4,64,3510,samsung,12,17562.12
6,512,5583,apple,64,63371.31
6,256,5480,samsung,12,26501.55
4,128,4654,xiaomi,200,29576.5
8,128,3926,xiaomi,12,20620.02
12,256,4595,xiaomi,108,32234.23
4,512,4884,xiaomi,108,32350.92
6,64,3454,xiaomi,108,23292.57
4,64,4897,apple,12,46074.75
8,128,5778,oneplus,200,37023.85
12,128,3223,oneplus,108,30180.46
12,64,5464,xiaomi,200,32848.91
6,64,3521,apple,200,56784.38
6,128,5794,samsung,200,33169.19
6,128,5500,apple,108,54919.12
8,256,3814,oneplus,108,32099.05
12,128,5564,xiaomi,12,28311.15
8,512,3804,xiaomi,48,28619.58
4,512,5359,samsung,12,26568.52
6,512,4435,apple,12,54818.0
6,128,3321,oneplus,108,27063.46
16,256,3148,xiaomi,64,30442.89
4,128,3015,apple,48,48554.4
16,512,5047,samsung,12,38546.94
12,256,3658,xiaomi,12,27271.95
12,512,3539,samsung,12,31321.69
12,128,4786,xiaomi,108,29119.25
12,64,4693,samsung,200,32574.14
12,128,3547,samsung,12,25103.52
16,512,4292,apple,108,69242.96
16,256,4627,samsung,48,31249.75
12,128,5218,apple,200,64099.07
4,128,3907,oneplus,200,29686.11
12,256,3320,apple,200,66778.47
4,128,3887,oneplus,64,24905.68
12,64,4595,samsung,12,25348.21
12,128,5262,oneplus,64,33716.54
8,64,5461,xiaomi,200,30069.52
8,128,5912,xiaomi,200,33368.9
8,64,3626,xiaomi,12,16638.93
4,128,5289,samsung,64,25447.13
6,256,3987,apple,200,58652.68
16,64,5338,oneplus,200,38396.41
8,512,4051,xiaomi,48,26550.34
16,512,3470,apple,108,69100.6
6,64,4985,xiaomi,12,19422.12
6,256,4146,oneplus,48,25338.21
16,256,3065,oneplus,12,31199.74
12,512,5550,samsung,64,39430.37
16,256,3944,samsung,200,40638.36
8,256,4517,samsung,12,27437.38
12,64,3828,xiaomi,12,22269.24
4,256,3291,xiaomi,108,23117.48
12,512,3693,oneplus,108,37841.08
4,128,3019,xiaomi,108,20922.9
8,512,3288,samsung,48,30959.15
8,512,5043,apple,64,63774.34
8,512,3778,apple,64,59586.32
12,256,3841,oneplus,12,28170.02
12,256,3872,apple,48,57589.35
6,128,3457,samsung,48,22590.93
16,64,3651,samsung,200,35013.28
4,512,3530,xiaomi,12,26681.86
8,64,3480,samsung,108,25802.46
12,64,3037,oneplus,64,24806.26
6,64,5605,xiaomi,200,28767.4
8,128,4097,samsung,12,23565.52
4,256,3517,xiaomi,108,22478.66
8,64,5530,samsung,64,26708.61
12,128,3234,apple,200,61965.45
16,512,4640,oneplus,48,41571.83
4,128,5410,samsung,12,20391.48
12,128,5466,samsung,200,38008.78
8,64,4659,xiaomi,48,21685.83
12,128,5789,samsung,12,27829.99
16,128,3657,oneplus,64,29568.57
16,64,3390,samsung,12,28480.95
8,512,4102,samsung,48,31858.06
16,128,4857,xiaomi,48,30698.67
4,128,4702,xiaomi,12,19787.29
16,512,5330,apple,64,70006.07
12,512,5089,xiaomi,64,34831.36
12,256,4938,apple,12,58431.39
16,128,3036,oneplus,108,34705.11
6,512,5516,xiaomi,108,36734.19
4,128,5453,samsung,64,25088.63
6,64,3728,xiaomi,200,24292.34
4,128,5134,samsung,108,26877.78
12,256,3958,oneplus,48,32050.79
8,64,5818,samsung,48,23502.66
6,512,4183,apple,200,66546.97
16,256,5570,xiaomi,200,42021.04
16,256,4608,oneplus,200,45078.54
8,256,3580,apple,12,51266.1
16,256,3610,samsung,200,40919.35
16,256,3591,apple,200,68453.6
12,512,4152,xiaomi,108,37470.17
6,64,3280,oneplus,48,21264.96
6,128,5328,apple,12,52055.81
6,512,3015,xiaomi,48,26974.17
12,256,5175,samsung,64,31814.98
12,128,3843,xiaomi,48,28328.6
6,512,3743,apple,64,59512.8
4,64,3131,xiaomi,64,17302.23
4,256,3499,oneplus,64,26614.47
12,64,5352,samsung,48,28342.02
8,256,3525,samsung,12,23958.36
6,256,4095,xiaomi,108,25605.29
16,128,5189,samsung,48,33963.16
16,128,4434,apple,48,58082.76
8,64,3730,samsung,48,22556.44
4,64,3474,xiaomi,108,18942.9
16,128,5309,oneplus,48,32439.68
4,512,4011,apple,48,55774.15
4,64,3815,oneplus,12,18826.95
12,128,4200,samsung,108,28775.01
8,256,4447,samsung,48,25692.37
8,128,5935,xiaomi,108,29774.99
16,256,4742,apple,12,63381.26
8,64,5881,apple,108,54110.53
16,64,5299,oneplus,64,30276.43
6,512,3401,apple,108,61871.17
4,64,3513,samsung,200,28640.38
8,128,5805,xiaomi,64,26113.53
16,256,4929,xiaomi,200,41127.34
12,128,4421,oneplus,12,28258.75
8,64,3099,xiaomi,108,22929.98
12,64,5983,samsung,108,31656.13
6,128,5655,apple,108,57013.41
6,64,5341,xiaomi,12,20071.77
12,256,4835,samsung,200,37217.79
6,512,3248,samsung,108,29693.07
4,256,3196,samsung,48,22085.16
16,64,4588,oneplus,48,30058.49
16,256,3021,apple,200,68821.03
12,256,3474,samsung,64,31522.47
16,64,5120,xiaomi,108,32881.76
6,256,5997,samsung,108,29903.76
8,64,4472,samsung,12,20546.43
4,512,5859,apple,200,66765.01
12,64,5155,oneplus,64,28939.7
6,512,4835,apple,200,65783.13
4,512,4586,samsung,200,39318.25
16,64,4893,samsung,48,30852.81
6,64,4535,apple,108,53776.6
4,256,3838,oneplus,12,21827.92
8,256,5843,oneplus,48,31567.45
4,64,5315,samsung,200,26691.19
12,512,5866,xiaomi,200,41359.86
6,512,4848,xiaomi,64,29664.95
12,128,5037,oneplus,64,28883.2
6,512,5927,samsung,12,30791.29
6,256,3155,apple,48,53889.25
16,256,5631,apple,108,69858.94
4,512,3504,apple,108,60617.52
8,64,3931,xiaomi,12,19498.69
4,256,5072,oneplus,12,25149.46
4,512,5463,samsung,200,38502.67
4,512,3535,samsung,48,24087.21
16,256,3152,apple,200,66652.03
16,256,3497,samsung,64,32882.27
16,128,3764,apple,108,60905.56
8,256,3938,apple,200,61831.4
4,256,4543,xiaomi,48,19917.86
6,256,5301,apple,12,53358.8
12,256,5323,samsung,12,28499.32
12,256,4480,samsung,64,27921.56
6,256,5385,samsung,200,34754.52
12,512,5681,xiaomi,48,35374.81
16,512,4239,oneplus,12,34943.7
16,128,3080,oneplus,64,31187.86
6,256,3284,apple,108,53153.95
16,128,3884,oneplus,12,32114.67
12,64,5662,oneplus,108,36835.27
8,256,3625,oneplus,12,26863.6
16,128,3651,xiaomi,12,29533.6
6,64,3376,xiaomi,108,21130.73
6,64,4615,xiaomi,64,21856.15
12,256,4217,oneplus,108,36184.22
4,128,3316,xiaomi,12,16774.62
6,64,5707,oneplus,12,27472.58
4,128,4302,xiaomi,48,21979.39
8,256,5336,samsung,200,36698.03
8,128,5443,samsung,200,34360.45
16,64,4701,apple,48,57590.98
16,64,3315,apple,108,58010.31
4,256,4663,apple,200,61088.04
8,64,3672,xiaomi,48,19237.94
12,256,5545,xiaomi,108,36279.69
12,64,5046,samsung,12,27730.12
12,256,4019,xiaomi,64,28413.56
16,128,4296,apple,64,64201.88
6,256,4119,samsung,12,28055.8
12,256,5839,oneplus,12,29918.55
8,256,5154,samsung,200,36182.21
6,128,4955,xiaomi,12,17978.49
8,64,3201,oneplus,108,24287.43
4,512,5563,xiaomi,12,28531.57
8,256,3263,samsung,200,33633.9
6,256,3836,xiaomi,12,19708.5
16,128,3584,apple,64,57513.57
16,64,4966,xiaomi,12,27001.48
4,128,5226,oneplus,200,32486.48
4,512,3680,apple,200,66783.76
6,128,4186,xiaomi,64,20687.83
6,256,4415,apple,48,54729.67
6,512,4075,oneplus,12,29287.77
4,128,5891,apple,108,54307.57
8,64,4542,oneplus,108,27491.13
4,64,3446,apple,200,55500.73
4,64,5699,oneplus,64,21024.72
6,128,3883,samsung,48,23067.79
16,512,3571,apple,64,65237.84
8,256,3975,xiaomi,48,21835.57
6,256,5571,samsung,48,27466.07
6,256,3892,xiaomi,64,24295.83
16,256,3941,samsung,48,34050.02
12,512,5067,xiaomi,108,35870.8
12,64,3265,apple,48,53770.43
6,128,3810,apple,64,51952.34
16,128,4470,xiaomi,48,32072.52
6,64,3374,samsung,200,25531.81
12,64,3716,samsung,64,24773.37
4,256,4740,apple,200,59704.16
12,128,4309,samsung,64,29492.66
16,512,5940,apple,200,75628.19
16,256,5164,xiaomi,64,32825.73
6,128,5676,samsung,200,31567.37
16,256,5509,xiaomi,64,35178.84
12,512,3488,samsung,48,33520.1
8,512,5433,samsung,64,34358.55
6,64,3854,oneplus,108,27990.02
16,64,4975,xiaomi,48,29179.44
6,128,5907,xiaomi,64,25237.63
12,64,3977,apple,48,52805.76
6,64,3614,samsung,200,30386.72
12,64,4338,samsung,108,28438.78
16,128,5283,samsung,108,35715.74
8,256,4973,oneplus,108,29529.83
12,128,5107,xiaomi,64,27874.68
6,256,4815,samsung,108,30075.92
8,512,3617,oneplus,12,31521.42
6,128,4278,samsung,12,21273.83
6,512,3932,xiaomi,64,29586.56
6,64,3601,samsung,64,22707.68
12,256,5204,apple,48,60480.45
16,128,4059,apple,48,59496.84
4,256,4671,apple,48,50369.76
6,512,3415,samsung,108,31423.62
4,128,4542,oneplus,108,26477.34
8,128,3392,apple,108,54885.75
6,128,5886,oneplus,12,27267.18
4,256,4341,apple,48,55757.32
6,64,4900,xiaomi,12,19436.18
8,256,4786,samsung,200,32021.42
8,256,5370,xiaomi,64,27464.37
4,512,5957,xiaomi,200,36457.85
16,512,5816,samsung,108,44484.28
6,256,4436,xiaomi,64,25192.26
6,64,3820,apple,200,58246.23
6,256,4321,oneplus,64,27457.89
4,64,4853,xiaomi,12,15309.99
16,64,5400,samsung,48,32606.61
16,256,4642,oneplus,200,45363.3
4,512,3865,apple,64,56388.4
4,256,4617,xiaomi,108,23105.87
16,256,5337,xiaomi,12,31876.57
12,128,4366,samsung,64,30112.09
6,512,4726,samsung,48,27853.3
6,512,3937,xiaomi,12,25821.91
12,128,3817,xiaomi,108,28100.06
12,256,5472,oneplus,64,35719.6
12,256,3283,xiaomi,200,36373.07
12,128,3871,xiaomi,200,36128.27
8,256,3956,apple,108,55043.56
6,512,5352,samsung,12,32479.45
4,512,4892,oneplus,200,37567.14
8,512,5137,xiaomi,64,29714.94
12,512,5945,samsung,200,46700.1
8,128,5028,xiaomi,48,25095.38
16,128,3507,samsung,108,35014.82
4,64,3540,samsung,64,18547.97
16,512,3960,apple,12,64055.28
4,64,4205,samsung,200,28941.9
8,256,4226,oneplus,12,24379.88
6,64,5103,xiaomi,64,22135.84
12,512,3169,apple,200,66422.33
6,64,4418,xiaomi,64,20742.05
16,128,5568,samsung,48,34304.81
12,128,4451,samsung,12,28402.12
12,64,3481,oneplus,48,25843.91
16,512,5484,xiaomi,200,46431.96
6,512,4548,samsung,12,30830.26
16,256,4772,samsung,12,30637.63
4,256,3433,xiaomi,64,21021.47
8,256,3239,oneplus,48,27014.25
6,64,3766,xiaomi,12,18190.5
6,128,4117,oneplus,48,23058.69
8,512,4584,oneplus,12,30110.15
4,512,4005,oneplus,12,29122.19
8,256,3438,samsung,108,30742.18
12,64,5075,samsung,108,27249.66
6,64,5028,samsung,108,25170.6
8,512,3515,xiaomi,200,38044.78
4,128,3875,samsung,64,22614.69
8,512,3413,oneplus,200,37513.43
6,512,4667,apple,200,67450.6
4,64,4562,oneplus,12,21151.48
12,512,3038,oneplus,12,32685.81
4,64,4813,oneplus,200,30327.01
4,512,4302,oneplus,12,28195.52
8,128,3978,oneplus,12,20457.27
16,128,3670,oneplus,48,32493.01
6,256,5096,samsung,12,24975.27
12,256,5234,oneplus,200,41489.07
16,64,3911,apple,64,59093.5
6,256,3022,oneplus,12,27398.43
12,128,4022,apple,64,55922.61
12,512,4206,apple,12,64665.56
8,256,5520,oneplus,108,33097.54
16,512,3583,apple,108,68971.7
16,128,3374,samsung,64,30094.67
6,128,3291,xiaomi,200,28350.75
4,512,5535,xiaomi,64,31001.3
6,256,3268,apple,12,51919.56
6,64,4100,apple,108,54499.82
16,64,4641,apple,64,60416.36
16,128,4415,xiaomi,200,37126.91
12,512,3111,samsung,200,38342.24
4,512,3056,xiaomi,12,24033.41
8,512,3938,apple,12,58206.85
8,64,3062,apple,108,52528.38
16,256,3877,xiaomi,48,31710.25
6,256,3543,apple,64,52394.52
4,256,4045,oneplus,48,23796.71
8,64,3126,apple,64,49948.35
8,256,5795,samsung,64,31509.83
16,128,5299,samsung,64,33263.99
12,256,4859,samsung,200,38472.34
12,128,4220,xiaomi,200,32264.18
8,128,5371,samsung,64,26105.86
16,256,4539,samsung,12,32917.2
8,256,3060,samsung,200,35680.93
4,256,4500,samsung,48,23094.22
4,512,3026,xiaomi,12,22025.95
6,256,5338,apple,64,56906.09
12,64,4385,samsung,108,31391.82
4,64,3893,apple,64,50290.79
6,256,5823,xiaomi,64,27724.73
12,256,3428,oneplus,48,30859.63
12,512,4341,oneplus,12,35366.89
16,256,5737,oneplus,108,38757.87
4,128,3493,apple,12,45907.96
4,64,3589,samsung,64,19156.45
8,128,5558,oneplus,48,27740.07
6,512,3217,samsung,64,35176.47
6,256,4774,xiaomi,108,30002.24
8,64,5393,oneplus,48,25539.56
6,64,5949,xiaomi,48,21446.52
16,256,4532,apple,108,64954.46
12,64,3778,samsung,200,31366.54
4,512,4289,samsung,12,28215.35
6,512,5885,oneplus,64,36536.39
6,256,5379,samsung,200,36501.92
6,512,5699,xiaomi,108,34253.64
8,256,3552,samsung,48,26793.52
12,512,3765,samsung,64,35762.43
4,64,5665,oneplus,200,31617.95
16,512,3714,apple,12,63976.77
4,256,4564,xiaomi,12,20772.16
16,512,3779,samsung,108,40077.0
4,128,5423,oneplus,64,23079.45
8,512,4524,apple,12,57752.64
8,64,4713,samsung,48,24402.42
12,128,3999,samsung,64,28813.31
4,128,4042,xiaomi,108,24021.83
4,256,3930,apple,48,52818.19
12,64,4105,xiaomi,48,24391.92
4,64,5615,samsung,108,26940.14
8,512,5302,samsung,64,33890.95
16,256,4975,samsung,200,42670.47
8,256,3757,apple,108,58308.38
12,64,5502,oneplus,48,30040.82
16,256,5684,samsung,12,35259.93
6,256,5429,samsung,48,27016.32
4,512,4350,xiaomi,48,26700.36
8,128,3275,apple,48,49862.43
16,512,5557,xiaomi,48,39535.88
6,128,3842,xiaomi,64,20104.43
16,128,4200,samsung,108,34566.77
4,128,4690,oneplus,48,21974.79
4,256,5399,samsung,48,24845.66
12,256,4856,oneplus,48,30057.97
6,256,4886,samsung,12,25749.51
8,256,4363,oneplus,12,24567.79
8,256,3552,samsung,64,26428.72
4,256,5245,xiaomi,108,28558.0
8,128,5269,samsung,12,25265.79
12,512,3109,samsung,48,33122.59
12,512,5879,oneplus,200,45909.55
4,256,5341,xiaomi,64,22596.57
16,256,3458,apple,12,60310.35
8,64,3263,oneplus,200,28590.44
16,64,5878,samsung,48,33131.11
8,256,5138,xiaomi,12,25968.21
16,128,5465,apple,200,67456.41
16,512,4780,samsung,200,47168.61
16,64,4155,oneplus,64,29803.28
4,64,3267,apple,200,53128.48
6,512,4094,samsung,48,32189.76
4,512,5615,xiaomi,64,28971.57
4,512,5896,oneplus,64,35521.11
16,64,5675,apple,108,65936.32
8,64,4176,samsung,64,25171.69
8,512,3707,apple,48,60650.44
8,256,4627,samsung,108,29444.14
12,64,5719,oneplus,200,36539.88
8,128,3829,samsung,108,26376.16
6,512,3950,xiaomi,200,35547.76
16,128,3361,xiaomi,48,29983.36
12,256,4498,xiaomi,64,28982.78
4,64,3664,oneplus,64,21949.62
8,64,4940,samsung,64,23851.5
12,128,4308,samsung,12,26749.66
4,256,3985,oneplus,12,23025.37
8,128,3457,samsung,200,32620.72
4,256,4866,oneplus,48,29284.58
12,128,5358,xiaomi,200,36457.88
8,128,3493,samsung,64,19155.21
12,128,5177,samsung,200,35249.03
6,128,4537,oneplus,12,22048.47
6,512,5092,apple,64,59968.74
6,128,3411,apple,64,52517.62
6,512,5274,samsung,108,35290.92
16,256,5535,samsung,64,36334.86
8,512,3674,xiaomi,108,33332.14
12,64,4605,xiaomi,12,22207.98
12,64,5452,oneplus,200,39021.3
12,64,4755,xiaomi,108,28421.48
8,64,5514,apple,12,51663.56
4,256,4383,oneplus,108,27813.07
16,64,4606,xiaomi,64,30407.61
4,64,3349,oneplus,48,18691.04
4,64,4351,samsung,48,20607.48
16,512,4896,apple,64,67259.02
4,512,4433,oneplus,200,37835.25
8,512,5361,samsung,108,38197.91
6,512,5976,samsung,200,40597.52
12,256,4203,samsung,12,28933.34
12,512,3834,oneplus,48,34768.39
4,64,3703,samsung,200,26889.1
12,64,5219,apple,12,52966.73
12,256,5679,samsung,200,39917.1
12,512,5586,xiaomi,64,37240.32
4,512,5177,xiaomi,200,38091.64
8,64,4764,samsung,200,31784.51
16,64,5516,xiaomi,48,26901.55
4,256,4804,samsung,200,30118.04
12,512,5006,xiaomi,108,35400.72
4,256,3269,oneplus,108,28421.63
8,64,3360,xiaomi,48,23012.36
8,256,5515,samsung,64,31349.07
6,64,5070,samsung,200,31098.36
16,128,4621,oneplus,108,35440.97
12,64,5407,samsung,12,26926.21
12,128,5484,xiaomi,48,27048.96
4,128,5978,oneplus,200,35046.44
16,256,3978,samsung,200,40592.52
4,64,5642,samsung,200,30807.82
12,64,3544,oneplus,108,28711.55
6,64,3471,apple,64,48199.95
12,256,3658,apple,64,58686.04
4,64,3155,xiaomi,12,15734.32
4,64,5808,oneplus,64,24767.99
16,512,5977,samsung,12,41537.06
12,512,4871,samsung,108,36724.53
4,128,4872,apple,108,53564.86
6,256,5090,samsung,64,27182.8
6,128,4538,apple,200,55967.17
16,256,4178,xiaomi,48,30734.75
12,256,3094,xiaomi,108,28148.53
8,128,4213,xiaomi,12,21195.14
12,512,4649,oneplus,48,37577.85
16,128,3510,xiaomi,48,27817.07
12,64,5911,oneplus,12,28850.61
16,128,5946,oneplus,108,39276.05
6,512,5620,apple,108,65040.09
8,256,5070,oneplus,108,31844.63
4,512,4117,samsung,12,26167.08
12,256,3781,xiaomi,200,36532.85
16,64,3108,samsung,12,24253.38
6,128,4778,samsung,108,26354.87
4,64,5779,samsung,64,27430.62
12,512,3278,samsung,200,42313.8
16,256,3897,samsung,108,34626.74
6,256,5219,apple,12,54698.48
12,512,5072,xiaomi,48,34135.18
16,256,5478,apple,48,63648.06
4,64,4431,xiaomi,48,15897.01
4,128,3591,apple,108,51992.21
16,128,5048,samsung,64,36331.94
4,64,5889,apple,200,58947.27
4,512,5961,xiaomi,108,30885.09
4,64,4120,apple,48,47926.73
4,256,3984,xiaomi,200,29233.79
16,64,5495,samsung,108,31617.55
12,64,5654,xiaomi,200,34386.96
6,64,5106,samsung,108,23893.76
8,128,5394,oneplus,12,27209.82
12,128,4071,xiaomi,200,30398.35
12,256,3906,samsung,108,34195.53
8,64,4294,apple,108,56456.73
8,64,3108,xiaomi,200,28080.48
8,512,5091,oneplus,200,42583.79
4,64,3126,xiaomi,200,23994.38
16,256,4209,samsung,64,33486.07
8,128,5274,xiaomi,64,26257.08
16,128,3607,samsung,108,35603.53
12,128,3604,xiaomi,12,21756.68
8,512,5947,xiaomi,64,35905.86
4,256,3040,apple,200,57577.63
16,256,4774,samsung,64,33495.43
12,512,3400,apple,200,71165.27
4,256,4746,samsung,48,28756.39
12,128,5366,xiaomi,48,25853.8
6,512,4085,samsung,200,37666.24
12,256,5853,samsung,48,32630.26
6,256,3336,samsung,48,23012.28
12,512,3665,samsung,64,35164.87
16,128,3341,xiaomi,200,34529.93
6,512,3564,apple,64,58244.96
16,128,3976,samsung,200,35819.42
4,128,3457,apple,108,53103.61
12,128,3958,xiaomi,64,27741.5
4,512,5123,samsung,200,42356.54
4,64,5582,xiaomi,64,20810.97
6,256,4783,apple,48,50229.81
16,256,3220,xiaomi,12,29115.9
8,64,5505,xiaomi,48,21334.93
4,512,3141,samsung,108,30098.79
16,512,3866,xiaomi,12,31831.75
12,128,5674,samsung,64,31058.99
4,64,4790,xiaomi,12,19011.9
8,256,5752,oneplus,200,38486.07
12,256,3337,oneplus,108,32823.6
4,128,3460,samsung,200,28848.71
12,128,4990,oneplus,48,27816.68
12,256,5941,apple,108,63311.97
12,256,3583,xiaomi,200,36982.21
16,512,3901,xiaomi,64,34917.59
16,512,5718,samsung,64,41643.42
6,64,4046,oneplus,200,30311.87
16,128,5073,samsung,200,39555.14
6,256,3472,samsung,108,28770.35
4,128,4307,xiaomi,12,19222.69
4,128,4170,oneplus,108,25536.57
4,512,3760,samsung,48,29223.92
8,256,4020,samsung,64,26460.89
12,128,4741,apple,200,63767.05
6,512,4506,samsung,200,40720.52
12,512,3524,xiaomi,200,39117.85
4,64,5023,xiaomi,48,19283.23
4,64,5083,apple,200,56492.89
12,64,3966,samsung,48,25105.96
16,512,4671,apple,64,67833.12
16,256,5179,samsung,200,41154.52
4,512,5025,oneplus,200,37138.06
6,128,5269,xiaomi,64,24210.07
16,128,4564,xiaomi,108,35162.31
6,64,5107,xiaomi,48,21161.46
16,64,5056,oneplus,12,29562.67
4,256,4728,oneplus,200,30186.39
12,128,3059,samsung,48,26096.87
16,512,5217,samsung,48,40783.78
8,256,3080,samsung,200,32107.04
12,256,3725,apple,48,57266.92
12,256,4768,xiaomi,108,35096.13
4,256,3734,oneplus,64,26376.77
4,128,3313,xiaomi,64,16672.95
16,512,3395,oneplus,12,37175.64
8,128,4318,xiaomi,200,29853.97
12,128,4092,oneplus,48,27039.33
8,256,3491,xiaomi,200,29710.26
6,512,4350,xiaomi,64,29094.95
6,128,4372,oneplus,108,23997.08
4,128,3921,apple,48,49629.84
16,256,3114,samsung,200,41091.75
12,256,3737,xiaomi,64,30088.81
16,128,4763,samsung,64,29377.48
12,512,3149,xiaomi,64,30748.53
8,256,3187,samsung,200,35601.73
12,256,3587,xiaomi,64,29910.31
16,512,4548,apple,48,69780.79
8,64,5356,samsung,200,30916.0
8,64,3773,xiaomi,200,27956.8
16,128,5110,xiaomi,48,30974.11
16,512,5333,samsung,108,41075.58
12,256,5178,samsung,12,32001.54
6,512,3839,samsung,64,29738.1
8,64,5149,samsung,108,28857.64
4,64,3405,samsung,200,26893.35
16,128,4461,samsung,200,40477.89
4,512,4953,oneplus,200,39379.59
16,256,4743,apple,12,61297.44
12,256,4135,oneplus,64,30374.97
4,64,4636,samsung,108,22806.7
8,64,3961,apple,200,57706.6
12,256,4515,samsung,12,32050.53
6,64,3584,xiaomi,64,18584.88
12,512,5731,apple,200,69387.26
6,64,5059,oneplus,48,23200.15
16,128,4507,oneplus,64,34280.26
4,256,3259,oneplus,200,29057.57
6,512,5457,xiaomi,12,25436.8
12,128,4363,samsung,108,33927.74
16,128,5248,xiaomi,108,33697.15
8,64,5532,samsung,12,22728.07
12,512,3455,apple,48,63679.12
16,512,5216,apple,64,69341.68
12,512,4889,samsung,12,33666.96
8,256,3490,samsung,108,27902.86
8,128,3192,oneplus,48,22196.17
4,512,5266,oneplus,48,32443.57
8,256,5073,apple,108,59549.36
16,128,4193,apple,64,57689.48
8,256,4394,xiaomi,108,29495.87
4,64,4705,apple,64,50171.6
12,128,4142,apple,200,63733.06
6,512,3495,apple,64,55806.5
12,64,5754,samsung,12,28372.78
6,64,3972,samsung,200,30124.26
12,512,4911,xiaomi,108,39991.97
12,256,5949,oneplus,200,42903.82
16,512,3871,xiaomi,200,44044.25
12,512,5435,apple,108,68916.59
6,512,5626,samsung,200,40410.37
12,64,3674,xiaomi,48,23005.92
