age_years,km_driven,engine_cc,bike_type,num_owners,price
12,61383,539,sport,3,68680.45
11,67852,659,cruiser,1,76015.85
3,42903,543,commuter,1,100735.54
2,69771,143,sport,2,93589.81
9,27295,347,scooter,3,53780.22
1,25474,765,scooter,3,110179.37
14,25025,136,cruiser,1,39181.58
6,40564,603,cruiser,2,99893.8
7,64765,789,cruiser,1,97879.02
10,46274,933,commuter,1,82645.18
2,29270,229,scooter,2,70866.28
7,18773,843,commuter,2,102021.3
2,57833,942,sport,2,139458.87
5,36629,952,cruiser,2,125709.86
8,2640,526,commuter,1,81326.94
10,62293,872,commuter,3,75590.65
4,5194,913,sport,2,140510.1
7,53629,838,sport,3,114458.97
12,18068,923,cruiser,2,96307.89
2,32438,903,cruiser,3,134302.2
5,64397,675,commuter,3,85116.66
4,19736,315,cruiser,2,97188.66
0,56260,470,cruiser,3,105975.86
12,35392,476,sport,3,74888.21
2,51439,884,scooter,1,112680.27
0,43779,689,scooter,3,105372.63
14,79814,862,cruiser,1,65136.62
10,57351,182,sport,1,61388.63
9,8161,965,cruiser,1,121761.38
9,23148,202,scooter,3,43424.48
8,51303,859,cruiser,1,100705.33
8,74543,846,cruiser,3,84738.67
13,3084,521,commuter,3,60722.71
6,20368,462,commuter,3,78644.02
1,2557,949,scooter,3,132075.61
3,57190,485,commuter,3,88370.7
12,52536,994,sport,1,106433.78
2,48495,661,scooter,3,94360.12
0,33517,809,commuter,2,130829.92
11,68491,368,commuter,2,32456.57
9,72172,414,sport,1,70993.17
14,3914,614,sport,2,83955.33
5,70898,932,scooter,2,92496.25
7,44601,724,commuter,1,86170.5
11,35842,788,commuter,3,63644.2
13,43208,869,scooter,2,65636.03
5,20860,367,scooter,2,75053.99
12,29389,714,scooter,2,64879.76
2,6171,202,cruiser,2,96221.11
9,42578,601,sport,3,87603.74
2,36361,885,commuter,2,122441.59
7,14735,159,sport,2,88936.89
2,10195,390,commuter,1,102021.78
0,1277,836,scooter,2,134119.02
6,24255,716,scooter,3,92135.16
2,34885,896,cruiser,1,131058.25
9,16264,209,commuter,2,54807.79
2,13622,260,scooter,3,72856.42
13,64893,522,cruiser,1,57213.67
3,71228,430,sport,1,107891.83
9,49304,841,cruiser,1,104156.86
12,62947,881,scooter,3,61555.99
0,72941,654,commuter,3,93743.01
13,12230,344,sport,1,69054.8
9,6024,285,cruiser,3,78628.96
1,54592,284,commuter,1,86195.57
11,7827,942,scooter,2,88815.01
14,70615,803,cruiser,2,66837.76
4,76447,393,cruiser,2,80444.76
11,73189,890,commuter,1,72261.96
1,58504,614,sport,2,125575.28
3,34766,837,cruiser,1,130910.91
9,49000,916,cruiser,2,104175.68
14,54240,876,sport,2,80910.81
0,14645,288,cruiser,3,108597.65
9,15272,618,cruiser,3,90922.26
7,77897,676,sport,1,97838.18
4,19412,519,sport,3,115721.65
3,43619,370,sport,1,105895.25
13,59787,626,sport,1,74565.61
9,67700,793,cruiser,2,87609.22
10,77708,460,sport,1,72014.59
11,56767,185,commuter,3,29841.36
12,44598,370,scooter,3,34769.68
2,3731,149,commuter,3,89292.19
14,50600,125,scooter,1,15230.27
3,52390,360,commuter,2,80154.64
6,72273,184,commuter,1,53702.85
8,37176,477,commuter,2,61366.22
6,62215,809,scooter,1,89845.99
4,33066,886,commuter,1,113001.4
2,1150,214,scooter,1,90260.58
0,15554,781,commuter,3,124158.06
14,43257,338,commuter,1,31459.18
11,28756,232,commuter,1,44864.28
5,40681,951,cruiser,3,123652.05
9,38221,494,scooter,3,58693.45
1,79697,889,sport,3,130785.66
9,56853,932,commuter,1,88877.21
2,1757,789,commuter,1,125611.55
5,24824,598,sport,2,113950.88
12,63308,322,scooter,1,31711.13
2,64096,926,sport,3,138807.56
0,8513,876,commuter,1,134898.37
3,17609,576,scooter,1,100292.94
6,19941,405,scooter,2,71117.62
14,77963,571,cruiser,2,44656.05
1,685,962,commuter,3,135374.06
8,3654,529,scooter,1,74914.94
5,35943,649,commuter,1,93939.55
9,34481,154,scooter,1,42323.96
0,29543,940,cruiser,1,149811.88
5,39778,468,commuter,1,75194.74
6,74759,100,scooter,2,35510.13
14,71295,317,cruiser,2,37810.71
8,37643,616,cruiser,2,84027.17
0,54402,478,cruiser,1,120005.86
6,41588,487,cruiser,2,86439.87
12,76060,786,commuter,3,53317.33
5,50594,515,scooter,2,76075.48
4,34359,277,scooter,3,67546.73
7,79025,242,cruiser,1,60219.75
6,24685,688,commuter,2,95426.49
12,70010,425,scooter,2,31507.57
10,79333,782,cruiser,3,77403.09
6,51762,738,cruiser,3,100772.23
2,28223,763,sport,3,139359.11
0,26655,137,sport,2,109699.83
10,50639,745,commuter,2,72862.07
5,11876,903,commuter,2,115520.5
8,59508,373,scooter,2,48017.58
10,25911,220,commuter,1,45385.52
8,12641,223,commuter,3,56521.63
14,71327,393,scooter,1,21268.29
8,22824,160,cruiser,3,66822.29
13,34053,736,cruiser,2,78839.28
4,26903,554,commuter,3,90281.89
0,44927,440,scooter,2,93514.56
14,75391,388,cruiser,1,38561.18
14,16199,476,sport,2,74242.48
5,22680,234,sport,1,95573.25
5,46912,988,cruiser,3,120250.88
6,77292,825,commuter,3,76706.11
11,61000,846,scooter,2,68385.25
1,50511,857,sport,3,142119.92
4,25297,759,commuter,1,109005.94
7,58247,633,commuter,3,75123.63
1,62629,654,commuter,2,104415.77
1,35656,863,commuter,1,129721.4
9,67349,509,commuter,1,58337.27
6,43947,150,commuter,1,62478.19
10,29663,549,sport,3,90614.38
3,34213,219,commuter,2,73346.82
7,40266,950,sport,3,122221.62
7,57654,605,commuter,1,76261.6
3,20060,491,commuter,3,93641.57
8,64696,468,cruiser,3,68619.54
9,21339,887,sport,1,124369.47
0,68230,399,commuter,1,89215.97
11,29558,159,cruiser,3,46298.0
10,58850,130,commuter,2,30565.86
8,13959,581,sport,1,103442.84
6,38512,806,commuter,2,91442.89
7,14059,936,cruiser,1,126345.17
13,15982,337,commuter,2,37942.19
13,74439,655,sport,2,70932.5
7,77126,641,cruiser,2,84187.24
10,59274,767,commuter,1,67338.13
2,54701,580,cruiser,2,111914.37
7,58993,974,commuter,3,94866.72
4,19242,509,commuter,2,93629.0
9,13395,914,sport,1,122851.69
3,67164,495,commuter,3,74479.96
10,17794,851,cruiser,1,105322.72
13,54414,334,commuter,3,30847.3
14,2374,478,scooter,1,44069.03
6,67311,185,commuter,3,48214.27
1,54908,924,commuter,1,120668.43
11,48144,307,scooter,1,43720.57
2,69676,849,sport,3,131583.55
3,2953,773,cruiser,1,132862.87
2,23893,489,cruiser,1,113759.29
1,76047,532,commuter,2,96200.23
1,1229,608,sport,1,149506.67
0,19752,823,scooter,1,122949.55
7,16787,162,sport,2,85495.04
4,51141,848,scooter,2,96666.94
12,16017,693,cruiser,1,86882.48
13,71713,509,cruiser,3,43124.24
3,60758,692,sport,1,125417.8
6,6535,585,sport,2,115538.47
9,9653,908,sport,2,123689.23
8,6387,441,cruiser,3,92119.19
14,37250,675,scooter,1,46564.57
7,30129,527,cruiser,1,95323.28
7,33948,869,commuter,1,98606.49
10,43475,253,sport,1,75636.59
13,37765,340,scooter,3,29974.03
13,53844,563,scooter,1,43687.19
13,38137,375,sport,2,66218.59
13,74316,914,commuter,1,64321.56
10,20333,763,commuter,1,80477.51
0,551,180,cruiser,2,110224.81
11,44712,481,cruiser,2,66694.36
1,40715,517,commuter,2,98026.59
0,78703,166,scooter,3,69666.95
3,65027,405,commuter,3,72778.07
11,13723,584,commuter,1,68234.31
9,4310,685,cruiser,3,104194.03
4,25813,741,sport,2,129300.19
14,11863,428,commuter,2,47812.21
14,75197,458,scooter,1,29324.98
11,12203,187,cruiser,2,56841.32
9,10692,278,sport,1,80991.99
0,11411,152,cruiser,3,104864.55
9,30854,265,cruiser,3,69069.74
6,11166,934,sport,1,142204.48
14,32839,522,cruiser,3,55246.11
4,58607,799,cruiser,2,113602.45
5,28455,602,sport,3,119749.35
7,17545,731,cruiser,3,110581.15
3,61748,284,scooter,3,64349.16
6,33472,245,sport,3,91360.07
7,30775,517,sport,2,99649.82
3,44142,417,commuter,2,84438.2
9,25836,635,cruiser,3,91449.84
8,29953,169,scooter,2,47325.84
0,59707,507,commuter,2,96523.12
2,61665,145,commuter,1,73956.01
2,53980,461,cruiser,3,104789.25
1,74138,240,commuter,2,76825.31
2,6455,998,scooter,1,133814.25
5,17011,343,sport,2,106910.97
11,42034,490,scooter,2,47647.22
4,72312,770,commuter,2,93360.94
0,19798,376,cruiser,2,120460.1
11,39288,392,commuter,2,46039.5
5,19517,589,cruiser,1,114971.51
3,75929,649,commuter,1,90777.6
8,7982,452,scooter,3,62633.19
6,796,658,commuter,2,97861.26
3,52733,572,scooter,3,81860.82
10,79606,272,commuter,2,32964.71
3,4524,464,commuter,1,105067.27
6,42399,335,cruiser,1,76600.95
13,50525,980,commuter,1,69769.58
6,49093,851,sport,3,112619.57
14,60497,276,scooter,1,17778.09
0,42284,362,sport,3,114350.64
14,26599,209,commuter,2,23471.65
8,73962,797,cruiser,1,93096.85
13,53336,815,cruiser,3,69441.73
8,64265,866,commuter,2,85169.75
4,53296,939,scooter,3,100854.07
0,60172,930,sport,2,151846.95
1,32072,624,scooter,1,109639.06
0,55079,686,cruiser,1,127605.57
3,59153,218,sport,1,93237.23
2,59236,160,cruiser,3,86494.83
4,56070,790,scooter,3,94684.7
1,17076,286,sport,3,122223.51
7,7419,766,cruiser,2,110209.6
10,19769,710,sport,3,105346.5
9,68134,636,cruiser,3,76955.53
1,37827,551,cruiser,2,116347.05
13,38593,574,scooter,3,38565.19
13,75197,796,commuter,2,50763.56
12,34546,159,cruiser,2,45577.4
14,15133,398,cruiser,1,63605.65
9,14312,691,cruiser,3,99368.21
11,21288,980,commuter,2,87202.46
2,47026,317,commuter,2,77045.19
5,9098,622,cruiser,2,113178.33
4,25507,200,sport,3,96605.68
7,66705,810,commuter,2,80381.06
8,40898,425,commuter,2,59900.78
10,29040,322,scooter,1,48477.69
10,29440,490,sport,1,87302.26
11,3724,134,commuter,3,39177.81
7,63553,340,sport,2,80981.49
9,67251,903,cruiser,2,98346.35
11,31464,842,scooter,3,73103.46
2,23932,918,scooter,3,117768.33
2,3775,165,cruiser,1,97097.68
0,8821,653,scooter,3,116815.45
6,32100,714,scooter,2,88736.58
5,12718,429,scooter,2,85070.11
5,42030,213,cruiser,2,77032.8
6,1687,531,commuter,1,94534.68
6,34426,857,scooter,2,93777.07
4,40146,947,commuter,3,108226.91
7,41078,419,sport,1,94029.08
3,67354,361,commuter,1,77847.64
2,61914,429,scooter,1,81705.77
12,25245,115,sport,1,57648.35
1,73923,244,cruiser,1,87902.67
5,66091,680,cruiser,2,100025.39
7,15157,534,cruiser,3,90451.59
1,66507,226,commuter,1,76472.8
3,69449,966,scooter,1,109373.49
10,77537,458,sport,1,78697.75
14,79526,880,sport,1,78689.81
2,2447,232,sport,2,114859.22
13,5630,629,commuter,2,62385.56
1,5074,786,commuter,2,129916.24
14,40478,492,cruiser,1,60672.71
6,69521,887,cruiser,2,101351.97
9,46370,176,commuter,2,40633.02
8,22851,472,scooter,2,58063.58
9,4668,863,cruiser,2,107141.21
11,16545,388,cruiser,2,64311.37
0,73699,831,cruiser,1,129977.36
10,62272,260,commuter,3,41102.18
8,65432,358,sport,1,77151.57
3,66837,834,scooter,1,97885.11
11,79069,250,commuter,3,31548.55
14,40133,331,sport,3,56653.42
6,34065,952,sport,1,134053.78
4,68761,439,scooter,3,65652.79
3,42526,949,commuter,3,117978.2
5,38574,814,commuter,2,100534.59
2,58385,255,sport,3,91971.19
2,52140,332,commuter,1,80575.8
10,50226,864,sport,3,97840.07
11,71713,571,sport,1,74623.81
1,33025,181,commuter,2,83810.54
9,46811,713,cruiser,3,84866.39
10,6259,466,cruiser,1,85232.76
7,74944,878,sport,3,103222.26
10,47628,431,sport,3,81971.0
11,62774,913,commuter,3,65548.84
7,24844,194,commuter,1,61255.8
0,35687,483,cruiser,2,115459.6
11,16711,820,commuter,2,80679.12
3,29763,933,commuter,2,119000.66
11,39012,864,scooter,1,71906.32
11,11163,180,cruiser,2,51933.76
13,52515,186,sport,1,43654.39
11,34846,217,commuter,1,42829.25
6,56799,768,commuter,2,87268.15
11,49597,932,commuter,3,73527.17
0,69160,643,sport,3,121678.69
7,38691,877,scooter,3,91892.09
7,16499,315,commuter,3,64908.21
13,32206,276,sport,2,60904.53
2,37020,466,commuter,2,91378.91
12,32720,634,cruiser,2,78274.88
9,14956,247,commuter,1,57870.63
13,41765,655,cruiser,1,72032.17
0,56783,481,sport,1,123490.65
6,51119,512,commuter,3,67199.68
14,30256,690,cruiser,3,64652.13
6,30413,358,commuter,1,75782.91
14,47356,908,scooter,2,54594.27
1,12234,609,commuter,2,108351.66
9,16867,188,scooter,2,46055.67
2,39283,757,sport,2,137710.01
11,50104,376,sport,1,69001.95
6,37481,672,cruiser,2,101314.73
8,67660,199,commuter,1,39702.04
5,76943,527,cruiser,3,87196.9
4,66259,202,scooter,3,59685.63
8,35654,644,cruiser,2,95009.7
4,4770,403,commuter,1,84562.6
12,77021,668,commuter,2,48292.32
8,18742,606,cruiser,1,98722.99
10,9815,979,scooter,2,93220.97
2,43324,286,sport,1,108138.36
9,47412,176,commuter,3,41745.75
3,51406,856,sport,2,133077.05
0,33475,160,commuter,2,75039.39
4,42564,302,scooter,3,68189.29
11,9265,980,sport,1,124027.25
12,50515,360,cruiser,3,52392.76
13,7847,547,commuter,1,63803.82
8,26156,501,sport,1,104065.35
11,41803,532,cruiser,3,68154.78
0,43223,703,cruiser,1,137257.7
7,52723,651,scooter,2,74163.0
12,46642,237,sport,1,59448.08
12,75209,869,scooter,3,53358.04
9,53426,224,cruiser,2,58572.97
0,42477,703,sport,1,137585.6
7,35957,238,scooter,3,49737.61
13,55255,269,commuter,3,24873.03
6,54883,514,sport,2,100536.98
3,44913,658,commuter,3,93425.26
9,66434,641,cruiser,3,76283.94
7,50276,396,sport,2,90456.03
7,78404,299,commuter,1,55167.46
4,13817,970,commuter,1,125872.18
9,33891,645,sport,2,96904.86
14,19714,610,cruiser,1,71728.49
5,44011,353,cruiser,3,81010.86
8,69374,797,scooter,1,70978.76
0,9969,513,commuter,3,114457.09
8,5982,373,cruiser,3,84481.03
11,72930,987,commuter,3,71558.64
13,43857,189,cruiser,3,38176.65
11,71432,845,cruiser,3,83440.72
8,28824,254,sport,2,78458.27
2,34464,479,cruiser,1,117262.84
2,52852,569,commuter,2,96083.1
9,72109,396,commuter,2,47946.81
11,33006,513,sport,1,87625.27
3,46565,445,cruiser,2,95577.54
11,72191,544,sport,3,72517.67
12,56137,225,commuter,3,24682.11
4,10986,123,cruiser,2,86993.17
4,51004,715,commuter,2,97014.85
4,42731,915,sport,1,133058.32
14,12686,627,scooter,3,51557.47
3,50686,723,scooter,3,94723.24
13,78142,120,cruiser,1,27544.28
11,56095,318,sport,2,64961.96
7,23009,638,commuter,2,87864.45
5,14850,226,sport,1,97579.51
4,14231,858,scooter,3,112119.86
4,63475,729,cruiser,2,105861.87
1,6718,357,scooter,3,92055.94
8,75555,912,cruiser,3,90652.54
6,33456,809,scooter,3,89853.32
6,20092,859,commuter,1,106978.68
11,71392,798,commuter,3,59862.07
6,38037,417,scooter,2,66142.43
7,68790,782,commuter,2,79360.84
3,28965,263,commuter,1,83458.82
6,16549,290,sport,2,100314.07
6,67444,743,sport,3,107378.89
7,74624,855,sport,2,107631.41
2,37442,477,scooter,2,91477.01
10,2609,721,scooter,2,79184.76
5,57638,652,cruiser,3,92886.43
11,72094,282,sport,2,61546.04
12,51233,339,sport,3,57636.24
11,6315,258,scooter,1,46410.41
1,71893,282,commuter,2,80060.37
9,61557,612,cruiser,1,82593.51
2,28452,112,commuter,3,72685.99
11,54905,654,commuter,2,58238.74
12,73132,339,commuter,3,27186.21
14,36719,401,sport,1,64479.34
13,5816,135,commuter,3,31182.73
3,65847,509,commuter,3,77397.97
8,17342,583,cruiser,1,98263.73
7,74331,782,cruiser,2,92982.98
3,39147,271,cruiser,3,93074.39
1,61988,690,commuter,2,102987.74
4,7473,802,sport,1,139455.08
5,24185,257,scooter,3,66966.43
12,78620,821,commuter,2,53837.28
0,20628,862,scooter,3,123183.77
5,23036,125,sport,1,94430.37
3,43803,466,commuter,2,90131.71
13,63540,189,sport,1,47661.14
6,55771,263,cruiser,2,79618.86
8,49302,526,sport,2,88244.11
3,61148,214,commuter,3,67520.91
11,37896,443,scooter,3,48845.02
9,59406,676,commuter,3,69306.05
8,52349,213,commuter,2,45992.96
11,57525,962,commuter,2,76275.81
7,66497,527,commuter,1,63810.44
9,624,720,sport,3,111372.05
2,17361,168,scooter,3,80038.84
1,48367,226,cruiser,2,94505.77
7,22304,931,scooter,3,95970.75
1,71550,942,commuter,1,121594.8
13,7136,592,sport,2,83439.2
10,57002,781,sport,3,92670.84
10,24546,707,commuter,2,75358.98
14,21262,966,scooter,2,69758.58
2,62194,375,commuter,1,81327.97
10,23244,896,commuter,1,87957.02
1,15940,543,cruiser,1,128337.36
4,34936,436,scooter,1,80861.97
0,44938,540,scooter,1,100653.92
1,16910,659,sport,3,138603.88
9,22883,787,scooter,2,85395.76
7,8949,917,commuter,1,108397.99
13,38979,399,cruiser,3,52907.08
9,3882,980,commuter,2,97865.68
14,58358,725,cruiser,2,63281.75
4,28184,505,scooter,2,81462.47
14,21076,597,commuter,3,51096.37
2,22934,487,cruiser,1,115076.96
1,40085,279,commuter,3,88000.56
7,55886,496,commuter,3,64277.13
3,18595,670,commuter,1,109323.27
6,61146,816,commuter,3,92252.64
0,46277,788,cruiser,1,136749.65
1,20300,230,scooter,1,85753.56
3,35268,286,commuter,1,87968.95
13,35249,379,sport,3,62689.75
6,36173,760,cruiser,3,108863.31
4,52327,574,sport,1,112395.5
4,10905,788,sport,1,140686.3
1,42267,130,commuter,3,74418.64
13,47790,523,cruiser,1,64192.54
14,30488,230,scooter,2,20910.99
12,75811,725,commuter,3,52907.99
12,18720,819,commuter,3,74644.33
6,49328,696,commuter,1,86112.89
5,18170,815,cruiser,2,117714.91
13,43801,544,sport,2,74043.95
11,28961,786,commuter,2,76329.21
5,40819,482,commuter,2,84852.7
10,56956,938,cruiser,3,95565.48
5,76265,475,cruiser,2,86995.96
6,35977,656,scooter,1,83908.36
13,53415,249,scooter,2,19420.55
5,66259,856,scooter,3,85568.73
4,23383,826,scooter,3,102444.45
9,52827,826,sport,1,105777.4
12,8464,809,commuter,1,77603.34
12,73464,599,commuter,3,42361.21
9,44820,243,scooter,1,39437.79
13,25727,364,scooter,3,33634.32
10,1074,784,commuter,2,94205.95
7,42884,273,cruiser,2,74052.62
5,12274,248,commuter,2,73270.81
2,57960,351,commuter,1,83737.93
2,54336,477,commuter,2,89154.8
3,31907,528,commuter,2,99320.75
8,79020,802,sport,3,98054.07
14,5938,160,cruiser,2,43652.67
1,27263,188,scooter,3,86338.4
0,2710,228,scooter,3,88805.54
8,5235,943,sport,2,136901.25
13,19547,344,commuter,2,45603.51
5,28800,671,scooter,3,90538.61
4,53923,390,sport,3,94312.85
11,28688,989,cruiser,3,100680.83
1,27812,772,commuter,3,119769.15
10,58316,987,commuter,2,84463.83
14,77205,326,commuter,2,17908.92
10,33287,711,commuter,1,76494.36
2,30760,518,sport,1,123173.68
7,2952,924,cruiser,1,121643.17
10,47375,356,commuter,1,51399.48
9,56554,103,sport,2,54383.39
4,66254,658,commuter,3,89472.19
13,34327,468,sport,3,72283.79
4,57201,726,scooter,3,86705.5
2,77526,934,commuter,3,106933.77
7,23583,948,scooter,3,96029.99
11,71413,462,commuter,3,37218.22
1,47924,409,cruiser,1,102586.65
9,3312,312,cruiser,1,75382.19
14,49519,503,scooter,2,31331.7
10,76118,414,cruiser,3,55864.18
3,32037,847,scooter,1,118402.26
7,79831,165,cruiser,3,51661.0
4,26201,765,cruiser,1,118396.11
9,70530,505,sport,2,79562.47
13,46091,673,commuter,3,53641.73
0,30401,459,scooter,1,100862.7
10,30082,237,commuter,3,40949.87
6,74277,345,sport,1,90038.16
12,65283,612,commuter,2,46930.49
14,31385,304,cruiser,2,44073.13
7,40661,471,commuter,2,65439.92
2,16121,944,scooter,2,120990.69
6,64420,180,sport,3,77451.07
14,67509,895,sport,3,79112.66
8,35969,940,sport,3,117148.46
14,16237,620,commuter,1,51091.76
6,66054,256,commuter,2,57807.25
7,36777,303,cruiser,1,78228.25
3,10342,805,sport,2,137451.77
8,57261,543,scooter,1,67079.26
10,55718,166,commuter,2,29496.02
2,38965,649,sport,2,131298.13
6,57959,955,commuter,3,93723.1
1,65501,516,sport,3,117436.96
7,27345,274,sport,3,86601.45
12,30878,943,cruiser,3,85723.97
9,12838,406,scooter,2,61048.08
2,1852,207,commuter,1,89933.41
2,9966,387,sport,1,125052.57
0,33169,523,cruiser,3,119024.94
1,49764,871,cruiser,1,133502.09
6,68167,828,cruiser,3,101826.42
1,9572,154,commuter,1,92481.6
0,18232,394,cruiser,2,117179.75
12,73500,705,sport,3,71966.21
5,66057,800,commuter,3,88916.64
3,52191,561,commuter,3,88640.53
13,5047,294,cruiser,1,61540.12
2,36693,713,commuter,1,115999.91
4,70858,391,sport,3,90557.39
14,33543,307,cruiser,2,48590.35
0,52913,858,sport,2,150391.94
2,37276,177,sport,1,102938.01
4,46762,843,cruiser,1,118646.97
9,78687,153,sport,1,57082.34
13,32579,156,scooter,3,19659.53
13,8649,659,sport,2,92900.97
4,2393,395,sport,3,118876.65
10,7232,926,commuter,3,90668.86
9,70758,198,commuter,1,37871.2
8,26691,240,commuter,2,54544.95
12,48840,997,commuter,2,73725.83
3,39170,576,sport,3,119024.55
9,4761,572,commuter,1,84452.16
10,67043,848,scooter,2,69151.92
6,685,171,scooter,1,66819.27
13,73917,752,cruiser,3,59282.53
14,29522,811,commuter,1,65746.22
5,61872,490,commuter,2,79429.83
14,78681,438,cruiser,3,41057.48
1,25743,728,cruiser,3,126314.9
11,2244,668,commuter,2,74196.47
2,44173,523,cruiser,2,104938.67
3,66720,522,cruiser,2,96673.45
9,71555,591,cruiser,1,76295.51
2,33755,130,commuter,3,70630.22
5,19279,566,cruiser,2,112802.25
4,56105,420,commuter,3,76644.46
0,65543,961,scooter,1,118006.61
12,69264,878,cruiser,2,74149.74
9,6745,929,scooter,1,99023.31
14,35520,110,scooter,1,14210.79
13,18865,255,sport,1,67029.61
4,25974,172,sport,3,93750.87
3,35295,805,cruiser,1,132341.39
0,8526,653,scooter,1,119870.62
7,35559,850,commuter,3,95433.42
2,12924,942,cruiser,3,142853.92
9,25044,211,cruiser,1,71443.26
6,38363,639,scooter,1,81026.86
2,7439,557,scooter,3,99327.5
1,61550,551,cruiser,3,110573.24
11,74652,450,sport,1,71883.0
12,51167,620,sport,1,78455.07
2,35563,453,sport,1,123513.23
6,71918,285,commuter,2,54886.4
5,20124,481,commuter,2,81184.71
14,26686,129,cruiser,2,31859.01
5,36807,130,scooter,1,56679.61
14,75192,837,sport,2,72972.68
9,11189,917,commuter,3,96750.27
8,48817,463,sport,1,88917.23
14,33836,397,scooter,2,35248.79
1,65085,463,cruiser,1,105639.26
1,31639,960,cruiser,1,148764.83
12,27199,131,commuter,1,32466.16
10,62720,194,cruiser,1,53167.67
7,25555,799,commuter,1,97904.5
13,4656,842,cruiser,3,86290.64
11,61714,923,scooter,1,71896.95
3,1632,436,sport,1,120936.12
4,79734,901,sport,2,125840.09
7,73623,637,commuter,2,64128.74
8,56719,310,cruiser,2,64333.64
4,31126,110,cruiser,3,72032.98
14,52974,124,scooter,3,5061.75
4,28874,971,cruiser,1,136121.34
12,70830,414,scooter,1,31493.35
12,6161,782,commuter,2,74593.09
6,24383,856,cruiser,1,121310.37
8,14013,443,cruiser,2,88730.89
3,27769,977,cruiser,1,140485.79
3,61910,139,commuter,3,60538.17
4,72700,632,sport,1,105490.19
7,57304,376,sport,2,84398.15
9,61196,814,scooter,2,70263.02
5,13397,550,commuter,1,97763.37
0,36760,156,sport,3,102605.28
10,56394,767,scooter,2,66022.47
0,13831,400,commuter,1,111509.08
3,10678,446,scooter,1,96864.76
10,27543,818,cruiser,1,100928.49
10,34684,139,sport,3,56755.3
13,26873,399,commuter,1,41998.63
2,28354,216,commuter,1,87444.1
1,6611,102,cruiser,3,100222.27
13,5038,837,scooter,3,69930.51
9,69026,575,sport,2,80222.47
9,71697,522,cruiser,3,68827.81
0,26283,560,sport,1,135574.74
4,37550,997,sport,2,144187.51
4,18760,493,scooter,1,85653.92
3,2077,165,cruiser,3,92839.95
0,987,195,sport,1,122506.32
3,43573,107,commuter,3,60826.11
9,35772,160,cruiser,2,57174.19
