member_id,age,membership_type,monthly_fee,visits_per_month,weight_kg
134,19,basic,20,19,90.2
135,42,standard,40,6,59.5
136,56,basic,20,5,50.4
137,26,standard,40,18,93.9
138,45,standard,40,5,89.0
139,51,standard,40,8,62.9
140,18,standard,40,26,46.6
141,33,basic,20,28,51.3
142,25,standard,40,14,95.0
143,42,standard,40,13,60.1
144,17,standard,40,28,67.7
145,25,basic,20,12,83.7
146,43,premium,70,26,105.7
147,62,basic,20,3,109.6
148,61,premium,70,8,95.3
149,20,basic,20,14,61.8
150,17,basic,20,1,111.1
151,26,basic,20,1,68.3
152,47,standard,40,8,85.3
153,20,standard,40,10,105.6
154,44,premium,70,19,60.0
155,51,premium,70,19,117.8
156,57,standard,40,6,74.2
157,17,premium,70,25,67.1
158,46,standard,40,20,75.7
159,44,premium,70,22,47.4
160,52,basic,20,22,99.6
161,29,premium,70,14,62.0
162,22,basic,20,14,
163,40,premium,70,25,60.4
164,41,standard,40,27,107.3
165,57,standard,40,29,107.1
166,22,standard,40,11,97.7
167,56,premium,70,85,66.6
168,51,premium,70,12,
169,17,standard,40,21,111.4
170,46,basic,20,23,52.2
171,58,basic,20,20,82.6
172,43,premium,70,6,115.2
173,54,standard,40,20,71.4
174,57,premium,70,28,108.1
175,23,premium,70,20,49.5
176,28,basic,20,22,92.7
177,62,premium,70,29,63.1
178,56,basic,20,21,118.3
179,61,standard,40,3,81.1
180,55,basic,20,21,86.9
181,31,standard,40,28,66.1
182,31,standard,40,8,48.3
183,60,premium,70,12,92.5
184,47,basic,20,18,114.5
185,41,basic,20,14,84.1
186,51,standard,40,1,104.2
187,23,standard,40,19,77.7
188,43,standard,40,3,61.4
189,49,premium,70,6,45.5
190,39,standard,40,29,87.2
191,31,basic,20,28,50.2
192,41,standard,40,14,57.0
193,19,basic,20,21,64.3
194,56,basic,20,3,82.6
195,51,standard,40,15,47.4
196,32,basic,20,16,64.4
197,45,standard,40,22,51.7
198,61,standard,40,21,94.7
199,63,standard,40,25,96.3
200,25,premium,70,19,52.6
201,26,standard,40,11,104.0
202,58,basic,20,1,62.4
203,55,standard,40,11,103.7
204,51,standard,40,24,70.3
205,37,basic,20,9,96.1
206,23,basic,20,20,91.8
207,42,premium,70,7,80.4
208,54,basic,20,8,97.5
209,33,standard,40,23,63.4
210,22,standard,40,26,53.6
211,57,basic,20,11,51.7
212,17,basic,20,14,57.3
213,53,premium,70,18,90.2
214,60,basic,20,7,68.7
215,48,basic,20,27,118.3
216,45,basic,20,23,65.6
217,51,standard,40,6,81.2
218,17,standard,40,12,97.8
219,52,standard,40,24,45.5
220,32,basic,20,24,53.9
221,21,basic,20,13,89.4
222,44,premium,70,19,
223,21,basic,20,8,45.2
224,40,premium,70,22,98.9
225,19,standard,40,5,53.7
226,60,premium,70,17,88.4
227,35,basic,20,11,86.1
228,63,standard,40,9,46.4
229,20,premium,70,10,108.4
230,29,standard,40,8,100.2
231,27,premium,70,23,95.7
232,57,standard,40,8,104.0
233,33,premium,70,14,96.7
234,63,standard,40,28,68.8
235,27,standard,40,27,85.3
236,16,basic,20,8,70.4
237,60,standard,40,4,90.3
238,58,standard,40,7,92.9
239,51,standard,40,11,102.7
240,62,standard,40,25,103.9
241,19,basic,20,1,99.3
242,32,standard,40,8,108.9
243,54,standard,40,9,84.3
244,27,basic,20,26,106.6
245,56,standard,40,15,50.4
246,62,basic,20,20,56.3
247,21,premium,70,29,90.9
248,31,standard,40,14,49.6
249,50,basic,20,29,61.0
250,51,standard,40,94,62.2
251,42,basic,20,27,
252,49,basic,20,29,46.4
253,41,standard,40,15,103.4
254,32,basic,20,0,46.6
255,36,standard,40,10,93.4
256,32,basic,20,28,51.6
257,26,standard,40,5,66.6
258,47,standard,40,16,111.6
259,45,standard,40,14,82.1
260,16,standard,40,2,86.6
261,61,premium,70,25,74.2
262,44,premium,70,14,70.1
263,49,basic,20,23,97.5
264,41,standard,40,5,91.9
265,55,standard,40,22,60.5
266,43,standard,40,9,113.3
267,26,standard,40,24,85.4
268,37,standard,40,21,100.7
269,58,basic,20,28,90.6
270,35,standard,40,28,93.2
271,53,basic,20,12,115.3
272,49,basic,20,24,89.2
273,20,standard,40,15,59.8
274,26,standard,40,11,111.6
275,36,standard,40,29,54.7
276,54,premium,70,22,117.8
277,47,basic,20,12,62.2
278,19,standard,40,24,91.2
279,60,basic,20,2,51.9
280,45,standard,40,28,61.1
281,41,standard,40,9,72.6
282,27,basic,20,14,119.0
283,46,basic,20,24,100.9
284,36,premium,70,19,54.2
285,44,basic,20,7,98.9
286,56,standard,40,8,82.7
287,55,standard,40,6,56.3
288,26,standard,40,5,75.0
289,41,basic,20,23,79.3
290,61,standard,40,4,103.6
291,33,standard,40,15,95.4
292,39,premium,70,1,76.1
293,48,basic,20,29,59.7
294,37,basic,20,7,75.8
295,30,basic,20,1,51.4
296,29,standard,40,6,92.6
297,19,standard,40,22,76.7
298,22,standard,40,16,58.7
299,57,premium,70,29,98.5
300,38,premium,70,12,88.3
301,19,basic,20,24,108.7
302,24,premium,70,3,96.9
303,27,standard,40,25,87.8
304,20,basic,20,4,91.7
305,43,basic,20,21,66.1
306,49,standard,40,0,70.1
307,32,basic,20,29,109.3
308,54,standard,40,28,110.6
309,46,standard,40,11,95.2
310,33,standard,40,24,
311,26,standard,40,17,77.8
312,41,premium,70,17,113.8
313,22,premium,70,6,74.8
314,58,basic,20,14,106.8
315,39,basic,20,20,86.8
316,24,premium,70,27,67.2
317,38,standard,40,14,81.6
318,24,premium,70,25,82.5
319,46,basic,20,22,92.3
320,64,basic,20,1,54.3
321,31,premium,70,0,106.8
322,55,standard,40,7,67.4
323,23,premium,70,3,110.5
324,27,basic,20,24,50.9
325,35,basic,20,17,97.3
326,24,standard,40,24,84.0
327,30,basic,20,16,106.1
328,60,premium,70,20,57.2
329,56,standard,40,22,66.1
330,63,basic,20,1,85.2
331,32,basic,20,1,117.9
332,41,premium,70,24,85.5
333,30,basic,20,21,96.8
334,22,premium,70,19,114.6
335,52,premium,70,16,77.7
336,46,standard,40,3,106.2
337,58,standard,40,13,104.8
338,43,basic,20,10,71.8
339,64,standard,40,29,62.6
340,28,basic,20,18,98.1
341,41,standard,40,2,85.4
342,49,standard,40,23,117.9
343,20,basic,20,25,48.5
344,24,standard,40,29,89.8
345,64,basic,20,7,73.9
346,42,standard,40,22,66.6
347,64,basic,20,18,
348,43,basic,20,16,87.9
349,43,basic,20,28,91.1
350,37,standard,40,9,76.4
351,46,basic,20,4,115.0
352,36,basic,20,16,50.7
353,46,basic,20,4,63.2
354,34,standard,40,12,92.8
355,23,standard,40,29,45.8
356,39,premium,70,12,
357,32,premium,70,21,54.9
358,47,standard,40,16,117.2
359,64,standard,40,17,59.1
360,36,basic,20,21,112.5
361,48,premium,70,13,46.6
362,49,standard,40,13,119.9
363,63,standard,40,25,52.6
364,17,premium,70,21,113.0
365,50,basic,20,21,114.5
366,17,basic,20,8,92.0
367,64,premium,70,23,118.7
368,19,standard,40,5,73.5
369,59,basic,20,5,
370,19,standard,40,22,51.8
371,51,basic,20,28,
372,55,basic,20,0,46.4
373,33,premium,70,13,53.0
374,16,basic,20,10,90.5
375,64,basic,20,27,99.9
376,20,standard,40,26,93.6
377,32,premium,70,14,86.2
378,41,standard,40,18,114.7
379,30,standard,40,8,54.9
380,34,standard,40,2,62.3
381,60,standard,40,16,49.8
382,19,standard,40,17,87.5
383,63,basic,20,28,46.3
384,36,basic,20,7,47.3
385,50,basic,20,20,70.8
386,41,standard,40,18,99.4
387,23,standard,40,26,61.6
388,55,standard,40,20,115.4
389,58,premium,70,21,119.1
390,41,basic,20,15,73.6
391,23,standard,40,14,75.0
392,60,basic,20,22,81.2
393,62,standard,40,25,47.3
394,56,basic,20,13,112.4
395,38,standard,40,18,96.6
396,31,standard,40,18,111.5
397,46,standard,40,0,75.0
398,29,basic,20,17,60.0
399,57,basic,20,28,76.2
400,64,standard,40,8,89.1
401,31,basic,20,11,81.5
402,29,standard,40,5,91.3
403,45,basic,20,24,97.0
404,35,standard,40,10,45.5
405,54,standard,40,11,78.1
406,23,basic,20,21,115.8
407,48,premium,70,5,66.3
408,23,premium,70,3,46.5
409,40,standard,40,11,82.8
410,41,basic,20,24,104.4
411,40,standard,40,8,69.7
412,57,premium,70,14,102.5
413,20,basic,20,10,66.5
414,38,basic,20,17,
415,61,standard,40,14,107.5
416,54,basic,20,5,110.0
417,33,standard,40,17,
418,47,basic,20,16,80.3
419,41,premium,70,14,46.6
420,47,basic,20,3,89.7
421,36,premium,70,26,81.5
422,27,standard,40,23,60.9
423,37,basic,20,0,56.0
424,61,premium,70,8,116.5
425,45,basic,20,27,68.1
426,42,basic,20,23,57.0
427,18,basic,20,9,53.1
428,40,premium,70,29,59.9
429,21,basic,20,29,62.7
430,34,premium,70,17,54.5
431,39,standard,40,21,112.3
432,60,basic,20,7,117.3
433,26,standard,40,5,84.4
434,33,basic,20,27,66.1
435,28,standard,40,22,118.3
436,61,premium,70,0,88.1
437,19,premium,70,27,
438,42,basic,20,20,70.4
439,58,standard,40,16,65.4
440,36,standard,40,16,66.5
441,19,standard,40,1,75.2
442,30,standard,40,24,55.4
443,23,standard,40,6,101.2
444,45,basic,20,16,115.6
445,55,standard,40,0,111.2
446,28,standard,40,22,64.8
447,50,premium,70,26,71.6
448,30,standard,40,28,102.5
449,61,standard,40,0,102.5
450,56,basic,20,25,109.1
451,42,standard,40,1,100.5
452,50,premium,70,7,78.0
453,54,premium,70,20,64.8
454,41,basic,20,17,112.5
455,61,standard,40,15,90.9
456,50,basic,20,12,100.3
457,38,premium,70,18,62.2
458,17,standard,40,26,101.0
459,51,standard,40,18,102.8
460,30,standard,40,22,111.7
461,40,standard,40,2,62.3
462,32,standard,40,6,100.9
463,43,premium,70,10,59.5
464,63,basic,20,17,68.3
465,40,basic,20,13,63.5
466,18,basic,20,17,101.2
467,52,standard,40,20,98.3
468,32,standard,40,16,112.7
469,64,basic,20,29,89.2
470,27,basic,20,3,58.0
471,44,premium,70,16,80.8
472,52,premium,70,22,89.7
473,34,premium,70,3,61.6
474,21,basic,20,13,112.1
475,25,premium,70,29,106.2
476,57,standard,40,24,66.0
477,32,standard,40,11,45.0
478,54,standard,40,25,74.2
479,57,basic,20,23,95.5
480,20,standard,40,11,110.8
481,17,basic,20,10,75.7
482,26,premium,70,28,
483,35,basic,20,28,62.9
484,36,basic,20,23,55.8
485,18,basic,20,22,81.2
486,49,standard,40,8,87.1
487,35,standard,40,25,54.9
488,51,premium,70,5,77.4
489,31,premium,70,10,109.4
490,61,premium,70,20,52.9
491,37,basic,20,2,112.0
492,44,premium,70,22,59.6
493,63,basic,20,0,66.5
494,48,premium,70,14,98.5
495,56,standard,40,15,
496,50,basic,20,13,88.7
497,46,standard,40,1,69.2
498,54,standard,40,28,119.3
499,56,basic,20,6,54.6
500,41,standard,40,29,69.6
501,57,basic,20,11,86.5
502,51,standard,40,19,111.2
503,36,standard,40,29,104.1
504,54,standard,40,3,80.0
505,30,standard,40,28,110.5
506,59,standard,40,19,111.8
507,55,standard,40,14,71.0
508,32,standard,40,11,47.4
509,25,basic,20,4,69.8
510,36,premium,70,22,87.4
511,25,standard,40,9,94.9
512,41,standard,40,24,82.8
513,25,basic,20,29,
514,62,basic,20,7,48.7
515,59,standard,40,23,57.7
516,32,basic,20,20,111.8
517,45,standard,40,5,90.9
518,16,standard,40,22,103.7
519,45,standard,40,1,108.2
520,27,basic,20,2,104.9
521,36,premium,70,24,69.9
522,27,premium,70,7,113.2
523,41,basic,20,27,84.4
524,44,basic,20,26,105.4
525,51,basic,20,21,109.2
526,52,standard,40,1,65.0
527,18,standard,40,17,113.9
528,30,premium,70,14,46.1
529,60,standard,40,23,47.8
530,48,standard,40,24,67.4
531,37,standard,40,19,57.8
532,30,basic,20,16,111.1
533,29,premium,70,12,112.9
534,17,basic,20,29,84.6
535,54,basic,20,13,109.5
536,41,basic,20,22,73.3
537,51,standard,40,24,96.6
538,44,standard,40,11,66.2
539,23,basic,20,11,70.2
540,52,standard,40,13,76.3
541,35,basic,20,25,58.1
542,28,standard,40,20,58.9
543,53,premium,70,24,117.8
544,64,standard,40,26,89.2
545,46,standard,40,17,76.6
546,17,basic,20,29,49.5
547,53,basic,20,21,75.2
548,24,standard,40,2,51.2
549,59,basic,20,29,72.5
550,48,standard,40,20,91.8
551,20,basic,20,3,83.4
552,28,basic,20,6,
553,44,basic,20,11,82.2
554,33,premium,70,23,113.1
555,58,basic,20,18,115.7
556,46,premium,70,13,
557,34,basic,20,22,51.8
558,33,premium,70,10,54.1
559,19,basic,20,7,54.5
560,35,basic,20,1,46.0
561,27,basic,20,9,68.1
562,23,standard,40,7,113.2
563,17,standard,40,24,100.4
564,21,basic,20,6,49.2
565,46,standard,40,6,55.3
566,53,basic,20,23,103.0
567,51,basic,20,9,102.8
568,53,standard,40,21,48.6
569,40,standard,40,2,109.2
570,21,basic,20,4,48.1
571,27,standard,40,7,93.7
572,18,basic,20,16,70.3
573,21,premium,70,25,74.9
574,44,standard,40,23,69.7
575,50,standard,40,8,46.5
576,53,standard,40,23,70.4
577,62,standard,40,22,73.5
578,58,standard,40,10,117.1
579,26,standard,40,2,57.3
580,33,basic,20,27,75.4
581,20,standard,40,17,112.6
582,37,basic,20,28,88.5
583,20,premium,70,23,
584,39,standard,40,5,73.1
585,37,basic,20,27,71.0
586,37,basic,20,5,67.9
587,16,premium,70,17,48.4
588,37,standard,40,22,81.9
589,60,standard,40,5,52.2
590,21,basic,20,16,72.2
591,17,standard,40,0,83.8
592,27,basic,20,18,105.7
593,47,standard,40,5,
594,28,standard,40,15,115.2
595,57,basic,20,5,83.8
596,39,basic,20,9,
597,55,basic,20,7,102.8
598,23,basic,20,18,58.5
599,47,standard,40,12,103.3
600,53,standard,40,25,61.6
601,57,basic,20,15,57.7
602,60,basic,20,25,109.0
603,60,standard,40,20,56.9
604,58,standard,40,3,110.5
605,58,basic,20,21,48.8
606,21,basic,20,5,64.5
607,45,standard,40,19,46.7
608,61,premium,70,19,77.2
609,28,basic,20,4,58.4
610,27,standard,40,8,91.3
611,56,basic,20,0,69.1
612,22,standard,40,29,50.8
613,62,basic,20,4,101.0
614,42,standard,40,0,85.2
615,52,basic,20,1,97.9
616,58,basic,20,21,48.8
617,23,standard,40,5,102.4
618,58,standard,40,18,47.7
619,54,premium,70,27,86.5
620,57,basic,20,23,100.5
621,41,standard,40,23,79.9
622,31,standard,40,20,63.0
623,58,basic,20,25,
624,31,basic,20,23,115.3
625,46,basic,20,14,113.7
626,35,basic,20,3,63.3
627,40,premium,70,28,97.2
628,16,basic,20,26,66.4
629,36,basic,20,5,56.5
630,40,basic,20,13,94.1
631,24,standard,40,9,104.0
632,26,basic,20,12,118.1
633,57,basic,20,9,79.2
634,44,basic,20,4,56.8
635,46,basic,20,24,56.4
636,30,standard,40,19,78.5
637,62,standard,40,23,67.3
638,56,standard,40,28,112.4
639,39,standard,40,3,67.3
640,34,basic,20,18,49.4
641,50,standard,40,29,68.3
642,56,standard,40,20,53.7
643,23,basic,20,13,68.5
644,26,basic,20,2,56.2
645,63,basic,20,7,83.2
646,61,premium,70,9,83.5
647,33,basic,20,28,
648,17,standard,40,5,72.2
649,37,standard,40,28,53.9
650,38,basic,20,20,49.4
651,62,standard,40,24,117.4
652,55,standard,40,15,104.2
653,58,basic,20,16,75.7
654,26,basic,20,11,87.1
655,51,standard,40,26,104.0
656,20,premium,70,15,106.4
657,46,standard,40,10,88.7
658,17,standard,40,20,115.0
659,50,basic,20,14,59.9
660,51,basic,20,28,109.4
661,47,standard,40,9,55.6
662,62,standard,40,12,87.3
663,44,premium,70,16,62.5
664,32,standard,40,23,101.0
665,34,basic,20,11,103.4
666,52,premium,70,3,88.2
667,63,standard,40,14,101.6
668,22,basic,20,25,99.6
669,30,premium,70,9,83.9
670,23,standard,40,4,106.0
671,41,basic,20,18,114.1
672,24,premium,70,29,88.2
673,51,basic,20,25,45.4
674,56,basic,20,23,86.7
675,60,premium,70,25,75.3
676,26,basic,20,20,94.4
677,18,standard,40,9,107.9
678,27,basic,20,7,68.3
679,61,basic,20,16,68.3
680,19,standard,40,17,47.1
681,33,standard,40,18,65.8
682,18,standard,40,19,96.2
683,26,standard,40,18,83.9
684,45,standard,40,25,61.9
685,31,premium,70,10,119.1
686,54,basic,20,10,74.6
687,30,basic,20,21,61.9
688,39,premium,70,13,72.4
689,46,standard,40,12,84.1
690,46,standard,40,24,85.6
691,24,premium,70,0,84.9
692,35,premium,70,22,70.4
693,57,premium,70,29,103.2
694,38,basic,20,15,84.8
695,54,basic,20,24,54.8
696,64,basic,20,1,78.2
697,52,standard,40,15,90.5
698,56,premium,70,1,102.4
699,50,standard,40,8,57.2
700,63,basic,20,26,110.3
701,22,standard,40,20,118.4
702,56,basic,20,16,110.3
703,64,standard,40,7,105.0
704,22,basic,20,6,89.6
705,42,premium,70,25,92.7
706,40,basic,20,10,105.0
707,63,basic,20,0,46.3
708,21,basic,20,18,54.9
709,57,standard,40,6,80.0
710,35,basic,20,2,84.1
711,55,standard,40,27,102.1
712,34,standard,40,4,109.7
713,55,standard,40,7,46.4
714,55,basic,20,0,93.6
715,23,premium,70,16,87.2
716,58,premium,70,3,86.4
717,32,basic,20,13,75.1
718,55,basic,20,27,85.5
719,59,premium,70,17,63.2
720,43,standard,40,10,101.9
721,27,standard,40,17,88.6
722,43,standard,40,26,68.6
723,40,standard,40,15,80.4
724,33,standard,40,0,104.3
725,52,premium,70,18,77.1
726,17,premium,70,22,94.6
727,44,standard,40,10,93.2
728,43,standard,40,14,64.7
729,63,basic,20,28,57.2
730,22,premium,70,23,51.7
731,54,standard,40,1,79.6
732,27,basic,20,1,67.9
733,34,standard,40,1,82.7
734,17,premium,70,3,102.1
735,35,basic,20,27,91.7
736,26,basic,20,19,110.1
737,47,premium,70,3,66.2
738,32,basic,20,14,58.2
739,34,basic,20,23,111.3
740,21,standard,40,20,105.4
741,33,basic,20,13,90.1
742,55,basic,20,14,51.5
743,21,standard,40,3,49.6
744,59,premium,70,7,65.1
745,21,basic,20,12,85.0
746,48,standard,40,5,106.3
747,47,premium,70,20,93.7
748,40,standard,40,1,115.1
749,50,standard,40,11,47.8
750,44,premium,70,24,85.7
751,16,premium,70,19,
752,30,basic,20,15,55.8
753,64,standard,40,6,77.8
754,57,basic,20,11,86.7
755,17,standard,40,1,104.8
756,36,basic,20,5,69.7
757,59,premium,70,27,100.0
758,58,standard,40,0,103.4
759,52,basic,20,9,68.2
760,58,premium,70,14,115.7
761,36,premium,70,0,91.3
762,37,premium,70,23,111.3
763,18,standard,40,12,80.9
764,62,standard,40,17,96.9
765,59,standard,40,6,91.6
766,55,premium,70,0,57.1
767,44,basic,20,5,79.5
768,45,standard,40,14,90.7
769,41,standard,40,4,64.8
770,31,premium,70,4,73.1
771,49,standard,40,11,110.9
772,36,standard,40,16,74.8
773,16,standard,40,23,58.7
774,56,standard,40,6,113.8
775,32,standard,40,21,111.4
776,52,premium,70,11,106.2
777,36,basic,20,3,54.7
778,22,premium,70,18,118.4
779,19,standard,40,25,58.3
780,21,basic,20,12,60.3
781,24,premium,70,19,74.8
782,61,standard,40,22,104.5
783,51,basic,20,16,99.5
784,33,standard,40,8,88.1
785,48,basic,20,7,76.8
786,45,basic,20,24,87.4
787,57,basic,20,10,75.1
788,18,basic,20,4,119.3
789,30,standard,40,24,73.6
790,60,basic,20,14,88.2
791,26,premium,70,17,50.0
792,17,basic,20,0,107.0
793,46,standard,40,3,103.7
794,64,standard,40,28,47.1
795,57,basic,20,4,79.8
796,18,premium,70,12,62.3
797,22,standard,40,29,57.9
798,21,standard,40,8,111.9
799,38,basic,20,111,
800,18,basic,20,24,45.0
801,61,basic,20,12,106.9
802,47,premium,70,28,117.5
803,43,basic,20,22,97.2
804,44,basic,20,17,114.4
805,60,standard,40,27,53.4
806,16,basic,20,8,91.6
807,55,standard,40,18,110.7
808,27,basic,20,14,104.7
809,34,basic,20,10,81.0
810,57,standard,40,21,47.3
811,21,basic,20,11,73.2
812,48,standard,40,16,119.3
813,26,basic,20,26,91.8
814,57,standard,40,11,112.6
815,29,standard,40,26,65.8
816,56,basic,20,16,115.1
817,21,basic,20,15,118.7
818,47,standard,40,11,83.7
819,27,standard,40,2,49.8
820,23,standard,40,14,110.4
821,54,basic,20,3,53.2
822,56,premium,70,28,51.3
823,20,basic,20,15,45.1
824,60,premium,70,24,45.2
825,27,basic,20,17,73.6
826,55,standard,40,9,91.2
827,36,basic,20,25,105.9
828,58,basic,20,14,112.8
829,34,standard,40,16,70.5
830,58,premium,70,4,54.2
831,21,basic,20,7,91.1
832,35,basic,20,23,96.6
833,58,basic,20,8,58.3
834,45,basic,20,26,90.0
835,17,basic,20,2,84.4
836,48,premium,70,28,119.4
837,26,standard,40,26,56.4
838,40,basic,20,0,78.0
839,50,basic,20,9,62.9
840,45,basic,20,5,
841,48,basic,20,19,78.5
842,52,standard,40,0,57.9
843,19,basic,20,17,49.8
844,25,standard,40,3,
845,20,basic,20,10,98.4
846,29,standard,40,6,91.7
847,48,standard,40,12,112.2
848,37,standard,40,17,84.1
849,43,basic,20,7,93.8
850,44,standard,40,19,79.6
851,35,standard,40,1,100.8
852,62,premium,70,21,93.0
853,23,premium,70,23,83.2
854,27,standard,40,4,55.3
855,61,basic,20,23,
856,41,standard,40,17,91.8
857,37,standard,40,16,66.5
858,18,standard,40,24,106.2
859,18,basic,20,6,83.7
860,48,basic,20,9,71.0
861,60,basic,20,13,47.0
862,34,premium,70,107,90.1
863,49,basic,20,24,59.5
864,37,standard,40,26,72.8
865,50,standard,40,6,105.4
866,19,standard,40,24,94.1
867,28,basic,20,29,67.4
868,62,standard,40,18,110.1
869,54,premium,70,27,101.1
870,50,premium,70,7,62.2
871,29,standard,40,4,81.5
872,39,basic,20,16,111.3
873,55,basic,20,15,81.0
874,33,premium,70,19,115.3
875,31,basic,20,13,45.1
876,51,premium,70,5,97.7
877,20,standard,40,26,67.7
878,53,standard,40,18,107.5
879,60,standard,40,1,114.7
880,64,standard,40,27,87.7
881,61,basic,20,3,57.8
882,18,standard,40,27,98.1
883,29,standard,40,3,93.0
884,50,basic,20,4,46.1
885,56,premium,70,23,116.5
886,28,standard,40,7,113.1
887,50,basic,20,4,99.4
888,16,premium,70,17,110.1
889,20,premium,70,0,60.0
890,60,basic,20,19,101.5
891,62,basic,20,8,73.6
892,51,basic,20,11,49.4
893,55,basic,20,9,49.0
894,29,basic,20,13,99.6
895,63,basic,20,8,45.6
896,61,standard,40,7,70.9
897,50,standard,40,8,55.1
898,62,basic,20,12,111.1
899,56,basic,20,23,82.1
900,30,premium,70,11,48.3
901,63,standard,40,28,61.2
902,39,basic,20,25,45.9
903,63,basic,20,8,71.3
904,22,standard,40,12,118.3
905,30,standard,40,27,89.8
906,17,standard,40,5,103.0
907,46,basic,20,10,109.4
908,30,standard,40,14,69.1
909,55,standard,40,25,68.2
910,30,standard,40,14,63.7
911,34,basic,20,19,88.3
912,24,standard,40,10,106.7
913,32,basic,20,28,107.7
914,40,standard,40,26,58.5
915,30,standard,40,2,110.8
916,23,standard,40,9,107.4
917,49,basic,20,25,61.7
918,50,standard,40,20,103.8
919,45,basic,20,28,82.8
920,32,basic,20,7,109.4
921,18,standard,40,11,59.5
922,54,standard,40,9,58.4
923,32,basic,20,17,108.7
924,17,basic,20,8,68.6
925,56,standard,40,23,64.0
926,61,standard,40,4,106.0
927,61,premium,70,8,100.6
928,50,standard,40,6,57.9
929,53,basic,20,6,64.2
930,53,standard,40,11,52.5
931,44,basic,20,5,60.3
932,24,basic,20,26,73.5
933,56,standard,40,11,90.8
934,29,premium,70,12,45.6
