customer_id,age,tenure_months,monthly_recharge,data_usage_gb,num_complaints,plan_type,region,avg_call_drops,churned
55,46,70,199.16,17.22,5,postpaid,west,5,1
56,53,2,925.51,57.81,2,prepaid,east,12,1
57,49,70,108.04,27.66,7,prepaid,south,8,1
58,63,40,904.67,1.08,7,prepaid,north,2,0
59,69,66,899.72,22.47,2,prepaid,east,2,0
60,51,39,990.43,17.34,7,postpaid,north,7,1
61,47,35,612.75,59.03,6,postpaid,east,11,1
62,61,26,268.39,35.15,2,postpaid,north,2,1
63,24,18,962.47,51.01,6,prepaid,south,9,0
64,58,70,244.36,21.99,3,postpaid,west,0,1
65,63,21,457.11,46.28,5,postpaid,south,6,1
66,52,72,928.08,48.42,4,prepaid,east,5,0
67,52,83,394.86,49.19,5,prepaid,east,9,1
68,60,27,734.15,35.25,7,prepaid,north,12,1
69,58,26,188.16,6.54,3,prepaid,east,4,1
70,27,23,968.31,50.23,2,postpaid,east,3,1
71,33,21,683.16,37.79,1,prepaid,south,1,0
72,47,8,709.44,27.48,3,prepaid,east,3,0
73,60,51,355.5,49.19,1,prepaid,north,0,0
74,66,81,594.89,29.76,7,postpaid,east,11,1
75,47,38,406.06,36.69,5,postpaid,west,7,1
76,22,50,993.16,11.43,3,prepaid,east,2,0
77,24,82,563.88,2.39,7,prepaid,north,0,1
78,56,76,220.07,12.09,1,postpaid,west,7,0
79,31,63,106.39,9.26,3,prepaid,west,1,0
80,39,0,898.47,5.34,6,prepaid,west,4,1
81,21,34,304.63,41.5,3,prepaid,north,14,1
82,57,4,428.01,6.94,7,postpaid,west,5,1
83,66,67,669.05,14.59,2,prepaid,north,1,0
84,58,47,415.72,5.47,7,prepaid,north,11,1
85,32,0,251.07,19.03,0,postpaid,north,1,1
86,28,28,251.51,17.45,4,prepaid,west,10,0
87,25,23,622.91,58.55,5,prepaid,west,7,1
88,28,71,106.91,32.6,1,prepaid,east,14,0
89,30,10,544.44,11.65,6,prepaid,west,11,1
90,30,61,921.4,55.13,6,prepaid,west,11,0
91,30,58,533.92,16.15,5,postpaid,west,7,1
92,39,3,981.67,53.41,1,postpaid,north,2,0
93,23,13,889.53,12.28,6,prepaid,north,7,1
94,18,39,251.28,22.31,0,prepaid,north,7,0
95,63,10,675.38,26.51,7,postpaid,north,8,1
96,26,16,737.75,1.4,3,prepaid,east,13,1
97,18,73,124.33,14.4,6,postpaid,east,5,1
98,59,23,930.63,24.12,2,prepaid,north,12,0
99,59,2,128.87,32.53,3,postpaid,south,9,1
100,38,78,681.82,0.83,0,prepaid,south,7,0
101,60,0,727.5,11.84,6,prepaid,west,14,1
102,61,70,698.13,42.16,7,prepaid,west,0,0
103,47,56,489.9,43.93,1,prepaid,north,4,0
104,21,34,828.74,43.72,1,prepaid,north,10,0
105,58,12,925.41,36.67,2,prepaid,east,1,0
106,60,12,171.37,52.0,5,prepaid,north,14,1
107,30,15,964.65,7.46,6,prepaid,east,14,1
108,65,11,559.91,15.01,5,postpaid,west,4,1
109,27,19,708.16,38.48,7,postpaid,north,6,1
110,44,0,673.49,1.69,6,prepaid,south,2,1
111,46,57,169.59,43.26,6,prepaid,south,12,1
112,59,41,601.52,5.14,3,prepaid,north,6,0
113,24,81,831.04,32.38,2,prepaid,north,3,0
114,38,65,666.37,37.86,3,postpaid,north,7,0
115,26,16,298.61,52.16,5,prepaid,east,6,1
116,18,9,516.52,34.91,4,postpaid,south,6,1
117,42,49,646.42,15.97,0,prepaid,east,3,0
118,53,15,182.52,18.15,5,prepaid,north,5,1
119,31,77,106.39,12.98,2,prepaid,east,0,0
120,43,22,989.09,5.44,6,prepaid,north,7,1
121,44,66,251.5,33.4,3,prepaid,west,3,0
122,42,2,528.96,31.58,5,prepaid,east,3,1
123,37,3,855.67,16.86,6,postpaid,north,10,1
124,69,23,778.98,14.59,3,prepaid,west,6,1
125,49,61,328.97,54.22,4,postpaid,south,6,0
126,60,10,513.27,56.37,2,prepaid,north,9,1
127,59,38,796.89,52.87,4,prepaid,north,9,0
128,26,9,766.79,9.6,0,prepaid,north,7,1
129,52,43,469.96,45.26,1,prepaid,west,13,0
130,39,46,571.69,39.72,0,postpaid,north,14,0
131,40,26,895.17,36.33,6,prepaid,south,10,0
132,59,71,413.48,9.15,4,prepaid,east,11,0
133,34,2,693.9,54.0,4,prepaid,north,14,1
134,69,12,997.55,15.69,6,postpaid,east,3,1
135,18,24,270.62,17.89,4,postpaid,south,6,1
136,51,37,964.48,15.79,6,postpaid,north,3,1
137,37,8,739.75,56.99,2,prepaid,north,6,0
138,23,35,802.43,11.73,1,prepaid,west,2,0
139,30,47,576.84,24.23,3,prepaid,west,4,0
140,60,41,306.32,20.33,4,prepaid,north,9,1
141,21,69,956.73,34.52,5,prepaid,west,8,0
142,42,41,671.8,2.9,6,prepaid,east,0,0
143,18,41,238.43,59.51,3,postpaid,north,7,1
144,24,51,194.94,2.01,7,prepaid,south,12,1
145,57,36,298.68,29.81,1,postpaid,south,10,1
146,49,43,731.64,20.86,4,prepaid,east,7,0
147,67,69,399.3,59.99,1,prepaid,north,2,0
148,68,8,153.74,44.32,4,prepaid,west,9,1
149,47,30,977.93,30.11,4,prepaid,east,11,1
150,60,2,356.15,15.42,6,prepaid,east,6,1
151,54,10,326.25,4.35,6,prepaid,north,1,1
152,25,14,914.78,45.5,3,prepaid,east,10,0
153,22,71,139.26,34.32,6,prepaid,east,2,0
154,18,54,534.89,3.93,3,postpaid,south,1,0
155,56,64,294.94,49.66,4,postpaid,west,12,1
156,59,20,353.71,34.1,3,postpaid,east,13,1
157,29,73,716.67,37.59,1,postpaid,east,8,0
158,34,74,447.55,22.4,6,postpaid,south,14,0
159,36,65,368.17,31.44,7,prepaid,south,2,0
160,52,13,414.34,21.56,4,prepaid,west,9,1
161,34,69,500.4,42.45,7,postpaid,north,10,1
162,34,33,684.44,29.81,7,prepaid,north,14,1
163,55,25,240.97,59.33,4,postpaid,north,11,1
164,45,46,780.02,1.26,2,prepaid,south,0,0
165,54,67,665.66,12.67,1,postpaid,north,8,0
166,52,6,582.79,43.9,1,prepaid,east,9,1
167,26,13,276.6,12.69,0,prepaid,west,12,1
168,27,45,675.83,8.01,0,prepaid,east,4,0
169,62,6,745.29,46.31,3,prepaid,north,11,1
170,62,49,233.56,37.85,5,prepaid,east,12,1
171,36,62,392.07,56.01,3,prepaid,south,12,0
172,35,61,164.08,26.84,0,prepaid,east,8,0
173,38,39,647.58,10.01,5,postpaid,north,5,0
174,20,67,216.76,58.97,7,prepaid,east,1,0
175,46,43,630.82,18.94,4,postpaid,south,3,0
176,61,18,715.57,51.59,2,prepaid,west,10,0
177,39,49,287.44,14.58,2,prepaid,east,14,1
178,22,9,787.67,50.86,0,prepaid,south,2,0
179,35,34,256.26,10.58,3,prepaid,north,7,0
180,22,22,904.94,22.73,3,postpaid,south,14,1
181,19,14,444.19,59.63,0,prepaid,west,14,0
182,27,49,991.36,32.17,3,prepaid,east,12,0
183,32,62,333.94,59.33,6,prepaid,east,12,0
184,45,75,893.84,53.34,7,prepaid,east,11,0
185,40,13,793.44,18.2,1,prepaid,west,2,0
186,66,27,956.99,22.43,3,prepaid,south,9,1
187,48,42,938.96,55.47,3,postpaid,west,2,0
188,30,71,458.54,53.92,2,prepaid,east,12,0
189,48,6,540.35,37.82,1,prepaid,north,13,0
190,27,79,808.45,59.72,3,postpaid,north,7,0
191,45,1,438.45,52.79,4,postpaid,east,0,1
192,25,13,710.17,31.69,7,postpaid,west,3,1
193,43,44,467.99,46.41,1,postpaid,south,6,0
194,20,4,181.33,28.37,3,prepaid,north,3,1
195,45,79,907.6,5.82,7,prepaid,north,6,1
196,48,64,194.75,58.92,6,prepaid,west,0,0
197,20,40,351.28,37.86,0,prepaid,east,14,0
198,65,5,920.03,41.81,3,postpaid,south,13,1
199,53,25,932.69,58.11,5,prepaid,east,14,1
200,54,40,377.22,45.67,1,prepaid,north,12,0
201,18,46,707.35,4.08,5,prepaid,north,12,1
202,58,67,216.18,13.21,1,prepaid,north,11,1
203,65,34,677.02,59.14,4,prepaid,east,8,0
204,47,21,293.35,47.59,0,prepaid,north,14,1
205,27,81,548.28,2.81,3,prepaid,east,14,0
206,66,49,912.35,17.46,6,prepaid,south,13,0
207,46,39,918.22,41.77,4,postpaid,east,11,1
208,29,0,116.0,3.31,5,prepaid,north,5,1
209,64,20,720.51,59.83,6,prepaid,north,9,0
210,28,16,757.0,47.81,1,postpaid,west,9,1
211,54,75,135.05,3.82,6,postpaid,north,5,1
212,27,9,526.21,10.58,7,postpaid,west,8,1
213,61,45,614.35,46.74,5,postpaid,south,6,1
214,18,24,753.7,24.08,6,postpaid,west,12,1
215,40,4,105.08,41.87,0,prepaid,north,7,1
216,37,68,255.26,12.19,0,prepaid,south,12,0
217,61,33,380.49,28.96,2,postpaid,north,13,1
218,41,22,840.21,12.96,2,postpaid,north,6,0
219,51,23,361.57,16.72,7,prepaid,west,12,1
220,38,72,862.09,18.52,7,prepaid,south,2,1
221,42,25,908.9,10.86,0,prepaid,north,0,0
222,30,72,658.65,30.9,1,prepaid,north,14,0
223,36,32,147.22,23.02,6,prepaid,north,14,1
224,38,70,648.04,30.5,3,postpaid,west,10,0
225,49,21,814.07,57.36,0,prepaid,south,7,1
226,52,68,985.44,16.91,7,postpaid,north,0,0
227,18,51,469.89,50.8,0,prepaid,north,6,0
228,21,11,972.97,37.57,0,prepaid,west,13,0
229,50,63,876.21,29.92,0,prepaid,south,4,0
230,20,26,839.94,16.01,7,postpaid,east,8,1
231,47,36,378.23,18.69,6,prepaid,west,2,1
232,36,16,245.19,30.83,4,prepaid,north,2,1
233,22,28,661.41,8.34,0,postpaid,east,14,1
234,49,22,911.18,9.24,5,prepaid,north,10,1
235,31,27,444.46,42.5,2,prepaid,east,6,0
236,65,55,410.64,36.12,6,prepaid,west,10,1
237,62,11,847.06,10.99,2,postpaid,east,3,1
238,57,81,361.33,39.21,7,prepaid,north,6,0
239,19,31,817.87,27.47,1,prepaid,west,7,0
240,21,68,103.69,1.73,3,prepaid,east,6,1
241,65,80,932.18,51.0,7,postpaid,south,10,0
242,31,79,346.93,47.96,5,postpaid,east,11,1
243,57,61,323.74,29.11,7,prepaid,east,7,1
244,43,34,510.31,16.21,3,prepaid,west,5,1
245,44,80,431.62,55.83,3,prepaid,north,12,0
246,21,13,774.85,43.68,2,prepaid,east,11,0
247,37,75,859.55,51.71,2,prepaid,south,1,0
248,19,38,660.16,57.92,5,prepaid,south,9,0
249,21,8,728.7,18.97,4,postpaid,south,1,1
250,26,37,535.09,34.53,2,prepaid,west,6,1
251,19,72,871.4,28.29,6,prepaid,north,4,0
252,68,17,993.18,3.97,7,postpaid,north,14,1
253,62,37,452.51,53.44,7,prepaid,north,9,1
254,59,71,132.39,4.64,7,prepaid,west,2,0
255,67,24,847.58,1.86,7,prepaid,west,13,1
256,54,75,687.98,15.94,5,prepaid,east,11,1
257,43,68,574.23,30.02,3,prepaid,east,12,0
258,49,43,502.43,23.56,0,postpaid,west,6,0
259,60,56,405.84,4.43,0,prepaid,south,11,0
260,51,64,233.08,40.65,4,prepaid,east,4,0
261,37,7,209.0,24.52,1,postpaid,east,10,1
262,30,51,603.41,42.21,4,prepaid,east,4,0
263,57,50,712.56,32.72,1,postpaid,west,8,0
264,36,9,512.79,37.93,4,postpaid,south,9,1
265,63,51,962.03,1.94,5,prepaid,north,9,1
266,36,68,987.98,12.94,4,postpaid,east,4,0
267,68,8,428.14,12.63,1,prepaid,north,2,1
268,29,29,194.93,33.14,1,postpaid,south,11,0
269,67,41,647.22,16.77,6,prepaid,north,6,1
270,25,58,381.15,24.66,5,postpaid,west,1,0
271,51,69,719.16,38.45,1,postpaid,east,7,0
272,41,42,953.41,56.19,1,prepaid,east,6,0
273,62,10,888.52,46.24,6,prepaid,north,10,1
274,68,63,894.25,1.52,7,postpaid,north,0,0
275,45,59,224.37,17.39,2,prepaid,north,8,1
276,44,29,899.02,3.02,6,prepaid,south,0,0
277,43,62,115.61,15.74,3,postpaid,south,6,0
278,27,28,188.25,8.8,2,postpaid,north,1,0
279,68,35,221.6,21.05,6,prepaid,east,2,1
280,54,72,333.28,6.31,6,postpaid,north,3,1
281,49,12,503.3,44.96,5,prepaid,west,10,0
282,22,60,235.61,4.76,3,prepaid,south,12,1
283,20,35,729.11,31.75,5,postpaid,west,4,1
284,62,15,441.63,13.51,1,postpaid,east,6,1
285,56,50,671.67,21.3,3,postpaid,south,6,0
286,44,17,185.96,22.07,6,prepaid,east,0,1
287,26,52,308.08,5.41,2,postpaid,west,1,0
288,33,64,143.02,20.72,3,postpaid,east,11,1
289,54,70,561.88,6.34,5,prepaid,west,0,0
290,21,43,444.48,30.73,0,prepaid,west,1,0
291,42,9,301.42,40.74,2,postpaid,west,6,1
292,39,16,134.57,50.89,1,prepaid,west,8,1
293,51,43,828.52,29.21,6,postpaid,east,3,1
294,37,30,481.37,52.73,0,prepaid,east,10,0
295,42,28,618.0,39.6,6,postpaid,north,14,1
296,30,49,305.22,1.08,0,prepaid,north,8,0
297,42,71,381.05,17.03,1,prepaid,south,0,0
298,18,28,605.18,15.62,2,prepaid,north,0,0
299,52,15,463.83,37.12,3,postpaid,south,3,0
300,64,76,128.79,25.7,1,postpaid,north,1,0
301,33,78,856.06,55.81,3,prepaid,east,6,0
302,50,79,599.88,41.85,6,prepaid,north,6,0
303,32,66,756.43,31.38,6,postpaid,north,0,0
304,42,72,514.18,29.76,0,prepaid,east,1,0
305,48,38,172.55,29.86,3,postpaid,south,2,0
306,35,59,471.55,1.44,6,prepaid,west,14,1
307,48,45,828.84,14.03,5,postpaid,east,14,1
308,31,77,711.39,26.35,1,prepaid,south,8,0
309,68,18,378.74,31.79,1,prepaid,north,8,1
310,56,78,456.51,42.62,4,postpaid,south,4,1
311,61,35,119.98,1.31,3,prepaid,west,7,0
312,50,78,525.28,47.75,6,postpaid,south,5,1
313,60,51,630.8,23.41,4,prepaid,north,10,1
314,33,46,613.87,50.11,0,postpaid,south,4,0
315,51,27,577.59,52.4,5,prepaid,east,0,0
316,31,77,408.71,14.93,4,prepaid,south,10,1
317,35,68,333.28,39.38,5,prepaid,south,4,0
318,27,65,716.2,27.31,6,prepaid,north,13,1
319,20,7,100.46,43.24,5,postpaid,north,11,1
320,36,31,901.62,56.62,0,postpaid,east,6,0
321,35,23,579.95,52.26,2,prepaid,west,12,1
322,64,75,623.99,26.93,6,prepaid,north,1,1
323,22,81,112.08,32.13,0,postpaid,north,14,0
324,65,45,454.54,37.84,7,prepaid,north,8,0
325,48,44,251.74,9.34,5,postpaid,south,2,1
326,57,64,430.68,7.42,4,postpaid,west,6,1
327,47,64,876.82,11.83,4,prepaid,north,0,0
328,69,21,839.01,47.72,1,prepaid,west,12,1
329,55,55,109.56,38.22,1,prepaid,west,6,0
330,51,20,898.99,11.67,5,prepaid,east,1,1
331,23,82,302.97,35.39,4,prepaid,south,6,0
332,56,38,925.68,20.4,0,prepaid,south,14,1
333,26,8,402.08,58.26,2,postpaid,east,0,1
334,43,33,796.23,58.35,5,prepaid,south,12,1
335,22,3,906.04,46.71,0,prepaid,south,7,0
336,33,71,319.92,38.39,4,postpaid,east,10,0
337,46,69,281.95,25.5,2,prepaid,south,11,0
338,54,16,325.4,16.68,0,postpaid,north,7,1
339,50,75,819.32,0.53,6,prepaid,north,7,0
340,44,12,172.82,58.76,6,prepaid,east,2,1
341,58,8,246.38,36.95,5,postpaid,west,6,1
342,23,80,834.49,1.05,5,prepaid,west,3,0
343,40,48,521.24,25.21,2,prepaid,south,3,0
344,39,51,669.19,58.21,5,postpaid,north,13,0
345,53,0,885.27,2.1,1,postpaid,west,6,1
346,63,10,368.53,7.13,1,postpaid,west,9,1
347,45,53,433.95,24.69,3,prepaid,west,3,1
348,45,80,990.49,2.37,6,prepaid,south,3,0
349,59,52,895.81,50.64,7,prepaid,west,8,0
350,56,41,356.24,2.82,0,prepaid,north,7,0
351,21,51,847.19,17.42,1,prepaid,north,1,0
352,23,83,319.92,8.54,6,postpaid,south,5,1
353,48,5,586.7,2.42,4,postpaid,north,13,1
354,27,48,170.87,23.36,0,prepaid,east,3,0
355,39,34,723.37,41.48,6,postpaid,south,0,1
356,41,43,806.67,56.36,3,postpaid,north,13,1
357,63,65,426.46,6.34,1,postpaid,east,4,0
358,25,51,161.92,51.27,7,prepaid,north,13,1
359,34,26,550.14,53.18,2,postpaid,west,11,1
360,20,23,385.44,18.21,4,prepaid,east,3,1
361,62,31,914.88,7.64,7,postpaid,south,1,1
362,28,76,952.9,26.63,3,prepaid,north,6,0
363,69,51,965.67,47.15,7,prepaid,east,9,0
364,51,39,177.76,12.38,7,prepaid,east,11,1
365,33,64,855.62,3.31,3,prepaid,south,8,0
366,63,34,658.6,34.25,5,prepaid,south,2,0
367,23,50,247.41,17.55,0,postpaid,south,13,1
368,43,38,960.18,7.03,2,prepaid,north,9,1
369,68,81,398.41,26.28,3,prepaid,south,9,0
370,69,46,259.59,16.66,6,postpaid,north,5,1
371,52,11,438.39,50.48,1,prepaid,south,7,0
372,44,68,396.51,48.59,1,prepaid,north,8,0
373,62,34,247.4,3.86,3,prepaid,north,4,1
374,53,49,768.16,53.38,0,prepaid,east,7,0
375,57,9,737.12,20.63,2,prepaid,east,4,0
376,31,70,830.94,38.4,2,prepaid,north,6,0
377,56,82,282.31,46.54,7,prepaid,west,10,1
378,54,57,278.79,24.11,2,prepaid,south,9,0
379,43,67,858.2,22.97,4,prepaid,west,2,0
380,44,50,966.12,18.44,1,postpaid,east,9,0
381,28,61,260.76,31.43,4,postpaid,west,4,0
382,24,38,128.58,33.01,6,prepaid,north,6,1
383,54,11,713.23,14.68,0,postpaid,west,5,1
384,19,83,729.75,12.17,1,postpaid,south,0,0
385,24,63,345.63,6.39,2,prepaid,south,0,0
386,51,36,889.86,59.91,0,prepaid,south,3,0
387,28,7,150.29,5.49,7,postpaid,south,2,1
388,22,81,138.6,14.83,7,postpaid,south,5,1
389,49,68,279.78,17.56,1,prepaid,east,6,0
390,41,41,752.51,15.8,7,postpaid,east,5,1
391,30,76,454.28,35.82,0,postpaid,north,3,0
392,23,24,861.77,39.59,6,prepaid,west,11,1
393,28,12,838.63,2.02,5,postpaid,west,8,1
394,21,0,654.6,15.75,1,prepaid,east,14,1
395,22,31,231.33,31.07,7,postpaid,north,1,1
396,40,54,177.8,50.63,3,prepaid,south,2,0
397,21,23,617.57,7.8,6,prepaid,east,9,1
398,59,13,749.66,14.21,0,postpaid,south,1,1
399,60,35,337.7,21.73,7,prepaid,south,7,1
400,62,56,975.4,48.59,5,prepaid,south,4,0
401,22,63,330.1,18.52,0,postpaid,south,13,0
402,58,66,344.07,8.23,0,postpaid,west,4,0
403,54,72,751.3,29.45,5,postpaid,north,6,0
404,33,60,309.77,5.49,6,prepaid,north,3,1
405,56,21,579.46,5.68,3,prepaid,south,7,1
406,35,19,916.24,13.15,5,postpaid,west,12,1
407,47,69,211.97,19.1,6,prepaid,west,14,1
408,27,58,686.36,52.04,4,prepaid,north,5,0
409,27,65,662.86,41.2,5,postpaid,north,9,1
410,45,7,747.49,49.93,2,postpaid,north,5,1
411,28,47,213.57,14.63,6,postpaid,north,4,1
412,37,56,463.72,21.25,5,prepaid,west,5,1
413,66,74,253.81,17.96,7,prepaid,north,6,0
414,66,39,662.86,49.23,1,postpaid,north,14,1
415,61,76,778.7,58.55,5,postpaid,west,5,0
416,36,78,242.06,52.38,5,prepaid,north,2,0
417,52,76,259.22,24.38,3,prepaid,west,10,0
418,19,25,967.27,57.56,4,prepaid,east,1,0
419,56,33,884.35,36.18,7,prepaid,east,11,1
420,48,50,708.26,25.5,0,postpaid,west,7,0
421,33,42,857.64,40.27,5,postpaid,east,4,1
422,49,40,321.11,29.8,6,prepaid,north,4,0
423,67,74,768.3,18.69,0,prepaid,north,1,0
424,38,0,429.85,25.27,7,prepaid,east,14,1
425,62,33,258.7,41.47,7,prepaid,east,8,1
426,37,33,699.82,28.06,1,prepaid,north,13,0
427,31,44,192.04,35.89,1,prepaid,west,10,0
428,18,43,472.58,28.4,6,postpaid,east,0,1
429,67,46,601.13,13.99,7,postpaid,north,1,1
430,62,41,790.34,55.53,2,prepaid,south,10,0
431,55,50,357.34,3.89,5,prepaid,west,8,1
432,55,78,561.42,56.32,3,postpaid,east,8,0
433,66,64,122.98,44.89,2,prepaid,north,0,0
434,22,75,971.62,43.89,5,prepaid,north,12,0
435,39,67,349.69,39.98,3,prepaid,east,2,0
436,21,52,755.81,42.75,1,prepaid,south,10,0
437,58,74,609.51,57.67,7,prepaid,east,7,0
438,55,0,226.73,44.62,2,prepaid,north,1,0
439,43,50,857.41,35.03,5,postpaid,north,3,1
440,22,57,717.62,8.84,2,prepaid,north,5,1
441,54,40,259.43,52.02,0,prepaid,east,9,1
442,64,81,625.1,42.33,2,postpaid,north,9,0
443,25,65,270.15,19.94,4,prepaid,east,14,1
444,48,0,750.63,30.68,4,prepaid,west,0,0
445,21,23,984.04,25.35,5,postpaid,east,6,1
446,28,38,275.48,50.83,5,prepaid,east,0,0
447,65,7,855.29,39.56,2,postpaid,east,5,1
448,37,3,795.61,41.2,2,postpaid,east,4,1
449,26,59,315.54,13.3,7,prepaid,east,14,1
450,65,69,610.7,10.23,2,prepaid,south,14,0
451,31,15,606.52,45.63,2,postpaid,west,8,0
452,65,45,810.78,40.07,1,prepaid,north,7,0
453,51,25,568.47,14.09,3,prepaid,south,8,1
454,29,80,843.92,10.82,4,prepaid,south,5,0
455,37,33,182.09,13.91,2,postpaid,south,8,0
456,39,5,667.24,18.97,1,postpaid,east,6,1
457,39,2,169.22,59.17,3,prepaid,north,11,1
458,29,79,972.06,43.02,5,prepaid,north,13,0
459,69,32,683.71,26.29,0,prepaid,west,14,1
460,45,81,991.02,37.57,5,prepaid,west,9,0
461,43,26,757.57,8.5,1,prepaid,west,14,1
462,39,42,539.15,15.85,7,prepaid,north,1,1
463,33,23,898.35,22.45,6,postpaid,east,11,1
464,40,33,196.76,57.47,1,postpaid,north,10,0
465,33,43,950.72,21.39,3,postpaid,north,12,1
466,67,40,853.67,37.38,4,postpaid,south,8,1
467,64,60,854.51,3.98,0,postpaid,east,13,0
468,45,61,704.81,4.03,3,postpaid,south,9,0
469,49,39,286.92,50.94,3,prepaid,south,14,0
470,47,44,614.81,51.43,4,prepaid,south,4,0
471,18,17,440.55,46.5,2,prepaid,south,1,0
472,36,32,871.65,47.0,2,prepaid,west,2,0
473,20,33,701.38,5.51,6,prepaid,east,14,1
474,32,48,488.7,32.18,0,postpaid,north,2,0
475,69,43,685.0,54.38,6,postpaid,west,14,1
476,48,39,983.75,49.86,3,postpaid,south,11,0
477,29,29,241.42,35.47,5,prepaid,east,10,1
478,54,52,187.94,47.41,3,postpaid,south,0,1
479,23,23,756.81,48.13,1,prepaid,south,8,0
480,65,48,844.23,3.81,1,postpaid,south,9,1
481,26,63,903.89,22.67,1,prepaid,north,9,0
482,61,64,713.28,58.24,6,prepaid,south,5,0
483,27,28,616.91,1.98,5,prepaid,south,6,0
484,29,9,670.05,8.75,6,prepaid,south,10,1
485,65,61,193.69,10.33,6,postpaid,east,13,1
486,46,21,616.22,34.72,7,prepaid,east,11,1
487,65,45,902.08,30.74,5,prepaid,west,7,1
488,50,8,102.79,43.48,7,postpaid,east,12,1
489,25,28,199.98,27.03,7,prepaid,south,5,1
490,47,74,837.19,43.21,6,prepaid,south,1,0
491,23,41,734.71,2.97,2,prepaid,north,11,1
492,39,80,221.97,28.57,5,prepaid,west,1,0
493,19,56,689.22,45.52,5,postpaid,north,14,1
494,22,8,459.15,33.18,3,prepaid,north,4,1
495,62,41,728.92,17.32,5,prepaid,north,6,0
496,42,56,835.05,52.32,2,postpaid,west,7,0
497,52,35,486.85,48.58,1,prepaid,north,2,0
498,63,1,678.58,14.94,2,prepaid,north,5,1
499,67,74,420.09,48.93,6,prepaid,west,14,0
500,40,78,773.18,55.27,2,prepaid,south,3,0
501,45,76,973.37,36.06,1,prepaid,east,10,0
502,39,2,548.74,15.02,7,prepaid,north,4,1
503,49,81,416.13,40.38,4,prepaid,north,11,1
504,30,18,312.46,27.21,5,postpaid,south,14,1
505,26,3,449.36,51.4,1,prepaid,north,2,0
506,58,44,969.66,32.43,5,postpaid,south,12,1
507,28,34,982.24,49.71,6,postpaid,north,12,0
508,51,83,888.7,3.97,1,postpaid,west,8,0
509,56,13,178.66,43.82,6,postpaid,south,13,1
510,43,76,839.78,37.21,6,postpaid,south,3,0
511,37,12,521.76,41.38,6,postpaid,west,12,1
512,21,57,675.01,8.95,6,postpaid,south,0,1
513,32,25,884.85,38.19,5,prepaid,east,8,1
514,68,37,963.79,52.79,3,prepaid,south,3,0
