monthly_income,credit_score,job_type,existing_loans,savings_ratio,creditworthy
98985,337,salaried,4,0.21,0
112014,881,retired,0,0.05,1
34493,887,salaried,2,0.17,1
125890,504,business,2,0.29,1
117364,389,student,2,0.18,0
104459,854,retired,4,0.34,1
49295,566,salaried,2,0.14,0
97512,370,student,0,0.52,0
98687,308,salaried,4,0.39,0
96785,629,retired,3,0.16,1
121052,418,business,3,0.28,1
91049,756,salaried,2,0.24,1
143382,566,salaried,0,0.39,1
81474,840,salaried,2,0.49,1
20259,353,student,2,0.45,0
76810,420,retired,4,0.38,0
149381,580,student,0,0.04,1
9532,782,student,2,0.6,0
143039,529,salaried,1,0.23,1
124015,873,salaried,2,0.59,1
142631,674,business,0,0.36,1
57673,559,business,4,0.22,0
70734,388,student,0,0.05,0
40899,797,salaried,2,0.59,1
94025,681,salaried,2,0.47,1
114769,517,salaried,2,0.09,1
63960,483,salaried,2,0.41,0
101461,873,student,0,0.07,1
28898,842,salaried,4,0.2,0
118171,449,salaried,1,0.29,1
34925,706,business,2,0.07,0
42779,369,business,0,0.04,0
34907,857,student,3,0.52,0
53346,777,business,2,0.17,1
14178,806,business,1,0.19,0
9194,771,business,2,0.11,0
144057,570,salaried,3,0.4,1
12813,861,business,0,0.1,1
10818,349,salaried,2,0.47,0
106010,560,business,2,0.31,1
149338,878,student,2,0.41,1
46662,435,salaried,2,0.13,0
35988,451,salaried,4,0.01,0
68145,343,business,0,0.29,1
130989,429,business,1,0.2,1
136036,396,salaried,2,0.13,1
94575,782,student,1,0.0,1
135335,501,business,3,0.01,1
101566,805,salaried,0,0.22,1
39632,603,business,2,0.22,0
137397,638,salaried,4,0.37,1
22873,587,business,2,0.4,0
141237,800,salaried,1,0.5,1
58324,720,salaried,4,0.51,1
81443,567,salaried,4,0.48,1
34111,849,student,4,0.19,0
62189,832,retired,2,0.17,1
72908,752,student,1,0.38,1
106494,338,business,2,0.17,1
50823,864,salaried,1,0.33,1
37159,427,salaried,1,0.0,0
107600,313,salaried,4,0.04,0
56922,765,salaried,1,0.58,1
124437,739,student,0,0.55,1
35509,419,business,2,0.59,0
79326,884,salaried,0,0.14,1
113637,804,business,0,0.07,1
89651,876,business,1,0.23,1
44909,393,salaried,3,0.05,0
88304,642,salaried,2,0.35,1
85798,742,student,4,0.47,0
13972,782,business,0,0.09,0
140144,683,business,0,0.41,1
54086,802,student,2,0.19,0
32476,488,retired,4,0.13,0
77546,528,salaried,4,0.0,0
24083,818,student,0,0.14,0
105287,697,salaried,0,0.24,1
85250,808,retired,2,0.33,1
50117,821,salaried,2,0.05,0
14934,752,student,0,0.27,0
59714,617,student,2,0.28,0
132740,434,salaried,3,0.31,1
114098,487,business,2,0.43,1
132932,894,business,4,0.08,1
55982,818,retired,0,0.26,1
57482,610,student,0,0.11,0
105295,630,business,1,0.45,1
31349,751,student,0,0.58,0
60104,341,salaried,1,0.15,0
17219,863,business,0,0.42,1
14292,469,student,1,0.26,0
95555,519,student,3,0.11,0
65920,369,business,4,0.32,0
43874,441,salaried,0,0.28,0
121949,827,student,3,0.52,1
50771,386,salaried,1,0.37,0
22133,766,salaried,4,0.27,0
53450,450,salaried,2,0.14,0
62939,438,salaried,3,0.39,0
40915,473,student,4,0.39,0
38289,646,student,1,0.42,0
16925,747,retired,4,0.56,0
12774,848,salaried,4,0.01,0
21273,824,business,1,0.17,1
86270,789,salaried,3,0.39,1
103194,460,salaried,0,0.46,1
95027,884,business,0,0.48,1
94993,424,business,2,0.13,1
65546,619,student,4,0.54,0
13905,477,retired,4,0.3,0
37712,729,salaried,0,0.44,1
86534,733,salaried,1,0.2,1
41217,875,business,1,0.16,1
116313,366,retired,2,0.34,0
102988,852,business,4,0.13,1
92963,784,salaried,3,0.13,1
25646,603,student,2,0.37,0
63602,638,salaried,4,0.51,0
119064,830,retired,2,0.11,1
41356,840,retired,2,0.58,1
16075,391,student,3,0.36,0
30257,508,student,4,0.13,0
52710,561,salaried,3,0.04,0
60857,776,student,4,0.03,0
140465,843,student,4,0.2,1
17687,879,student,3,0.37,0
146980,551,business,1,0.51,1
70404,312,business,2,0.03,0
45264,603,student,4,0.45,0
48259,531,student,1,0.52,0
65816,463,salaried,3,0.6,0
107757,684,business,3,0.36,1
11908,635,retired,1,0.02,0
100412,855,student,4,0.21,0
128935,380,retired,0,0.45,1
102151,642,salaried,2,0.2,1
134635,818,salaried,4,0.22,1
81687,566,salaried,0,0.27,1
126490,786,salaried,2,0.06,1
104182,815,business,3,0.04,1
9583,471,retired,2,0.32,0
66102,727,business,0,0.51,1
14532,410,student,4,0.58,0
36209,410,business,0,0.41,0
119482,629,salaried,0,0.13,1
12180,672,salaried,1,0.56,1
99825,305,student,1,0.17,0
111424,368,salaried,3,0.6,1
107301,857,business,4,0.32,1
38315,338,business,4,0.1,0
139793,409,business,0,0.52,1
131133,730,student,3,0.18,1
72084,424,business,2,0.51,1
9548,853,retired,1,0.37,0
131723,339,student,1,0.52,1
94198,591,salaried,3,0.04,0
91198,377,student,0,0.37,0
38465,390,business,2,0.39,0
26040,733,business,2,0.54,1
130048,781,student,4,0.52,1
23958,790,salaried,0,0.17,1
112278,432,salaried,2,0.35,1
95213,486,salaried,4,0.14,0
71880,859,student,0,0.54,1
94361,798,salaried,1,0.05,1
137076,757,student,2,0.49,1
113402,571,salaried,1,0.57,1
15911,390,salaried,4,0.28,0
38039,505,business,1,0.49,0
15837,638,student,3,0.37,0
143008,768,retired,3,0.46,1
138094,548,salaried,4,0.55,1
29089,507,salaried,2,0.27,0
27612,396,salaried,2,0.11,0
15685,339,business,1,0.12,0
128519,353,salaried,3,0.33,0
148147,329,salaried,0,0.33,1
69989,486,student,2,0.39,0
123966,430,business,0,0.54,1
101538,675,salaried,3,0.47,1
59847,603,business,3,0.5,0
67628,545,business,2,0.1,0
78208,374,student,1,0.41,0
9789,687,student,2,0.54,0
64747,689,salaried,4,0.2,0
93370,870,student,3,0.17,1
85563,553,salaried,1,0.47,1
25111,382,retired,3,0.14,0
91013,458,business,2,0.51,1
33887,414,student,0,0.25,0
118071,843,salaried,4,0.46,1
74196,813,salaried,4,0.14,0
78903,429,salaried,0,0.1,0
121080,358,salaried,2,0.44,1
55214,503,business,2,0.02,0
107283,671,salaried,2,0.58,1
80071,383,salaried,3,0.3,0
72835,766,salaried,3,0.12,0
95272,429,salaried,2,0.59,1
111135,428,salaried,3,0.31,0
97949,556,retired,3,0.04,0
90207,721,business,2,0.51,1
134821,474,salaried,2,0.23,1
60471,770,business,1,0.4,1
125543,518,business,3,0.39,1
27293,784,salaried,0,0.3,1
77719,450,business,3,0.35,0
13368,427,retired,1,0.37,0
106965,891,business,2,0.02,1
58966,465,student,3,0.41,0
20745,638,salaried,3,0.09,0
38696,625,student,3,0.34,0
111263,307,salaried,0,0.25,1
147896,391,salaried,4,0.06,0
82628,330,salaried,3,0.39,0
147177,447,salaried,0,0.21,1
137234,777,student,4,0.31,1
117990,561,business,2,0.13,1
136110,812,student,3,0.59,1
58866,806,salaried,2,0.44,1
146771,334,salaried,0,0.55,1
99313,503,salaried,1,0.54,1
38926,763,student,2,0.47,0
144836,807,salaried,3,0.42,1
28635,494,business,3,0.05,0
63737,551,student,2,0.25,0
86382,486,retired,1,0.48,0
49258,307,business,3,0.45,0
38667,316,business,2,0.58,0
94703,718,retired,4,0.13,0
131060,336,salaried,1,0.45,1
15667,359,student,2,0.35,0
118215,605,salaried,4,0.58,1
21004,886,student,2,0.11,0
29418,375,salaried,0,0.53,0
76896,753,salaried,2,0.08,1
30600,808,salaried,0,0.55,1
116624,326,business,2,0.1,0
120846,678,business,1,0.46,1
33673,636,retired,2,0.31,0
110380,612,business,0,0.21,1
29002,622,salaried,3,0.55,0
92210,750,salaried,2,0.0,1
51577,851,salaried,0,0.42,1
49554,349,salaried,2,0.02,0
22253,742,salaried,3,0.45,0
29939,469,salaried,4,0.12,0
141567,438,business,0,0.45,1
98138,741,business,4,0.6,1
37389,490,student,1,0.54,0
26080,316,salaried,2,0.15,0
130029,871,student,4,0.3,1
98072,302,business,4,0.23,0
17368,641,student,0,0.57,0
97601,565,salaried,1,0.19,1
118750,708,salaried,1,0.39,1
99823,672,student,2,0.29,0
113037,839,salaried,4,0.03,1
120155,590,business,2,0.06,1
104562,624,salaried,1,0.49,1
104423,314,business,4,0.25,0
106401,371,salaried,4,0.43,0
58331,397,salaried,1,0.39,0
24086,395,student,2,0.15,0
102137,727,business,3,0.28,1
69249,883,retired,0,0.52,1
76404,749,salaried,1,0.49,1
16371,351,retired,2,0.11,0
146333,519,salaried,0,0.06,1
133357,771,business,2,0.1,1
138059,496,salaried,3,0.53,1
13654,844,salaried,1,0.22,0
48191,867,retired,2,0.2,1
51696,682,business,1,0.34,1
101931,487,salaried,3,0.32,0
94068,587,retired,4,0.55,0
86434,623,retired,0,0.6,1
64220,806,salaried,4,0.23,0
44821,897,salaried,3,0.4,1
128365,317,salaried,2,0.55,1
98081,434,student,3,0.41,0
