customer_id,age,annual_income,spending_score,visit_frequency
155,35,43999.71,80,8
156,21,74297.84,54,6
157,47,69047.38,13,7
158,25,86969.65,66,12
159,30,64261.6,56,10
160,37,70714.0,98,14
161,46,48253.71,92,7
162,40,51116.63,59,9
163,48,44460.38,86,7
164,29,68912.25,28,4
165,46,43748.58,92,15
166,47,82542.6,1,13
167,28,53522.75,19,6
168,46,34280.23,70,10
169,31,43626.58,48,7
170,28,76399.03,44,8
171,46,46980.32,43,9
172,35,66239.99,28,6
173,43,27442.22,77,9
174,61,63778.61,22,7
175,61,69609.1,81,6
176,41,64893.31,90,11
177,27,69945.01,14,12
178,56,38299.36,53,10
179,32,26378.07,44,6
180,50,32554.0,63,7
181,23,71092.72,80,8
182,48,63293.19,99,8
183,39,70519.14,91,4
184,59,46165.52,3,14
185,26,70628.65,62,6
186,20,28660.1,23,3
187,40,63647.74,88,5
188,43,37775.73,24,5
189,36,48689.62,35,7
190,60,68157.45,58,9
191,55,72109.05,51,5
192,43,53669.72,17,9
193,35,50187.1,59,5
194,18,80736.75,67,9
195,23,75182.17,31,5
196,62,44572.6,5,6
197,51,61937.24,35,4
198,52,53006.38,82,12
199,48,74106.21,74,9
200,35,65012.13,6,4
201,55,64635.84,46,10
202,26,58613.79,22,2
203,56,47375.86,46,6
204,19,76620.06,62,4
205,23,64372.49,23,7
206,61,15725.06,22,6
207,52,50277.3,50,12
208,57,61817.36,82,10
209,48,43861.7,80,9
210,23,40592.22,44,7
211,28,45712.52,56,1
212,25,63284.43,26,7
213,34,40009.86,67,10
214,51,63560.22,92,5
215,38,81265.91,23,9
216,24,73954.1,18,8
217,39,74619.47,85,6
218,44,53253.42,91,5
219,22,78199.76,48,5
220,35,57435.42,34,8
221,57,72831.32,13,9
222,45,36858.94,31,8
223,59,79376.12,20,7
224,48,46655.8,1,4
225,46,57591.68,15,5
226,32,75858.64,90,5
227,37,57006.02,53,11
228,32,48560.84,62,13
229,48,54043.46,99,7
230,26,76451.68,47,6
231,55,76702.61,30,11
232,63,68729.49,68,9
233,30,45587.51,85,7
234,38,49534.26,34,7
235,53,68480.53,80,10
236,21,70025.27,18,6
237,57,43935.62,24,7
238,41,44138.59,40,8
239,34,69043.83,72,10
240,48,76074.34,17,9
241,48,58057.06,95,5
242,59,35321.07,45,1
243,27,84936.9,26,7
244,33,57206.81,56,9
245,64,64789.71,44,12
246,54,18020.92,21,3
247,34,43428.68,97,6
248,49,52860.14,57,10
249,42,61714.18,12,5
250,61,40185.43,29,9
251,18,28479.15,26,7
252,33,26410.37,24,5
253,38,48802.26,25,7
254,27,60753.84,96,8
255,29,59933.04,82,11
256,18,24579.63,95,5
257,60,42634.55,36,10
258,43,53439.74,57,5
259,36,72837.3,60,8
260,46,64981.14,45,10
261,35,59633.41,27,10
262,36,25066.74,25,7
263,37,74307.67,62,14
264,59,53332.34,60,8
265,58,58738.96,64,6
266,29,42926.98,70,10
267,21,51233.4,4,6
268,55,48806.14,33,11
269,24,47583.61,55,7
270,60,39083.88,69,8
271,21,66816.87,99,4
272,38,70882.98,91,7
273,45,45236.59,38,8
274,19,40017.7,43,6
275,19,40204.51,49,8
276,45,49391.95,99,13
277,40,80065.76,4,7
278,48,52373.52,23,7
279,36,87228.8,54,7
280,62,32337.28,42,7
281,27,35425.28,9,10
282,59,40851.54,47,6
283,38,39492.81,8,7
284,39,60570.28,3,10
285,34,85679.3,37,14
286,49,41761.04,58,7
287,26,60897.37,70,9
288,27,78395.26,77,9
289,57,97487.7,86,12
290,48,58624.47,74,15
291,44,72412.3,7,11
292,54,78500.59,55,16
293,28,56738.19,32,10
294,42,65124.44,58,16
295,56,48827.1,37,6
296,33,39368.93,10,8
297,30,44587.84,21,9
298,19,75615.92,28,9
299,58,78949.1,89,9
300,38,59619.43,54,8
