lead_time_days,num_nights,num_guests,room_type,avg_daily_rate,cancelled
98,6,3,family,405.81,0
206,8,5,deluxe,433.38,1
214,13,2,standard,169.8,0
10,10,5,standard,223.13,0
361,4,2,standard,382.89,1
5,9,2,standard,368.31,0
106,12,3,standard,422.5,0
74,6,3,standard,315.02,0
65,4,3,suite,458.21,0
27,6,1,suite,350.5,0
139,3,2,standard,339.64,0
202,11,2,standard,301.44,1
196,1,5,standard,136.2,1
339,4,1,standard,221.25,1
101,12,4,deluxe,430.01,1
223,4,1,suite,435.06,1
21,4,3,deluxe,85.24,0
156,3,4,standard,353.57,1
69,10,4,standard,193.65,0
194,12,5,standard,107.9,1
14,10,3,standard,168.08,0
8,9,3,family,189.23,0
88,4,1,suite,109.28,1
127,8,1,deluxe,137.79,0
111,7,2,deluxe,465.73,0
37,13,1,deluxe,429.42,0
192,1,5,standard,284.95,1
227,4,5,standard,278.17,1
307,3,3,standard,377.8,1
329,6,2,family,323.85,1
294,7,5,standard,252.64,1
167,9,5,standard,283.96,0
153,3,1,family,127.94,0
80,8,5,suite,98.75,0
310,5,1,standard,275.8,1
317,9,5,family,337.61,1
58,11,4,standard,486.56,0
166,11,2,standard,370.18,1
115,1,1,standard,176.15,0
161,2,3,suite,387.05,0
316,1,2,family,142.57,1
113,3,3,standard,122.14,1
157,7,1,standard,250.39,0
38,13,3,suite,183.04,0
80,7,4,deluxe,424.15,0
73,1,3,deluxe,59.97,0
0,8,3,family,79.81,0
82,7,2,standard,84.56,0
161,8,3,deluxe,326.2,1
65,5,1,standard,478.12,0
23,12,4,suite,192.54,0
165,6,1,family,278.85,1
344,9,4,family,135.13,1
208,7,1,suite,237.47,0
295,1,3,suite,302.14,1
336,4,4,suite,376.95,1
297,11,4,deluxe,464.31,1
27,4,2,standard,490.52,0
45,13,4,suite,380.64,0
186,7,4,deluxe,484.31,1
202,4,2,standard,176.06,0
259,9,1,deluxe,362.01,1
213,1,3,standard,59.21,1
352,10,4,standard,413.86,1
166,12,5,standard,176.5,1
342,9,4,standard,152.42,1
67,10,3,deluxe,177.56,1
173,7,1,standard,403.3,0
53,1,3,suite,402.04,0
137,7,1,standard,228.71,0
337,9,2,family,432.28,1
282,8,3,standard,462.19,1
76,4,3,deluxe,189.61,0
177,10,3,deluxe,204.51,1
72,6,4,family,168.5,1
231,12,4,standard,217.06,1
125,11,4,deluxe,269.53,1
39,1,2,standard,432.95,1
264,10,5,deluxe,316.39,1
27,2,5,family,102.46,0
61,10,4,family,320.29,1
62,10,5,standard,456.85,0
241,9,4,standard,485.07,0
342,5,3,standard,62.96,1
241,9,2,suite,367.18,0
118,5,5,suite,343.12,1
194,1,4,standard,256.2,0
46,10,4,deluxe,132.59,0
200,2,4,standard,157.54,1
210,11,3,suite,249.11,0
179,6,2,standard,64.82,0
8,3,5,suite,199.61,0
329,8,4,deluxe,379.67,1
73,13,2,suite,176.69,0
99,6,1,deluxe,238.41,1
334,7,2,standard,88.92,0
329,8,2,standard,266.33,1
39,1,1,deluxe,427.36,0
299,12,2,suite,194.58,1
115,6,2,deluxe,158.9,0
197,13,2,standard,265.35,0
127,6,2,standard,498.02,0
355,8,4,family,332.16,1
321,2,4,suite,392.91,1
192,5,3,standard,420.82,0
154,11,3,family,290.34,1
188,13,2,standard,372.84,1
47,3,4,deluxe,443.8,0
164,1,1,suite,264.95,0
262,5,1,suite,356.9,1
93,3,5,suite,497.93,1
173,4,2,deluxe,264.18,1
213,5,4,suite,347.65,1
330,9,5,standard,216.06,1
328,2,1,standard,219.69,1
110,11,3,standard,215.66,0
342,6,4,deluxe,396.0,1
213,5,4,deluxe,465.07,1
76,5,3,suite,172.91,1
147,7,5,deluxe,345.15,0
269,9,5,standard,155.86,0
242,4,2,standard,135.93,1
291,12,1,standard,437.71,1
305,5,1,standard,363.34,1
310,13,1,suite,100.52,0
137,2,4,standard,163.96,1
20,1,1,deluxe,457.47,0
42,6,1,suite,210.69,0
137,3,3,deluxe,228.6,0
189,2,2,standard,100.93,0
253,6,1,suite,284.49,0
88,9,5,deluxe,92.71,0
165,11,1,suite,327.16,0
218,13,5,family,332.75,0
313,13,5,family,413.07,1
47,4,2,family,416.77,0
137,6,5,standard,65.03,0
224,9,3,family,105.68,1
300,6,4,standard,395.57,1
256,1,3,deluxe,152.3,1
67,6,4,deluxe,284.07,0
54,12,4,deluxe,131.11,0
199,13,2,family,372.62,0
11,9,2,family,115.11,0
349,9,5,deluxe,227.53,1
186,5,2,standard,259.29,1
244,6,2,suite,419.41,1
332,5,2,standard,212.26,1
67,1,1,deluxe,151.49,0
319,9,5,family,213.96,1
358,8,2,family,334.3,1
282,5,5,suite,469.62,1
285,8,4,family,324.0,0
207,10,3,deluxe,60.4,1
289,3,2,deluxe,137.34,1
8,12,1,suite,389.78,0
122,9,4,standard,329.1,0
148,2,2,suite,334.55,0
155,13,1,family,99.01,0
210,4,5,standard,183.51,1
189,4,5,deluxe,232.77,0
66,12,5,family,389.4,0
229,10,1,standard,353.69,1
196,11,2,standard,75.25,0
126,6,2,standard,163.98,0
118,3,5,standard,118.41,1
66,4,4,suite,71.57,0
348,8,5,suite,450.12,1
127,13,1,suite,101.45,0
208,6,1,suite,200.47,1
296,4,2,standard,370.22,1
332,4,1,standard,278.72,1
88,6,4,standard,94.95,0
56,1,5,standard,64.16,1
291,5,4,deluxe,313.17,1
90,1,2,deluxe,185.24,0
278,11,3,deluxe,479.63,1
162,1,1,family,432.1,1
103,3,4,standard,384.86,1
138,13,3,deluxe,168.13,0
52,3,5,deluxe,458.96,0
5,11,3,standard,80.22,0
328,9,1,standard,266.67,1
316,7,2,standard,190.82,1
329,1,1,suite,218.81,1
183,1,4,deluxe,170.95,0
32,10,2,suite,87.58,0
61,11,4,standard,481.59,0
263,6,4,standard,362.3,1
128,13,5,standard,494.24,0
104,1,2,standard,262.78,1
191,8,4,deluxe,187.18,0
13,1,3,deluxe,441.33,0
112,8,1,standard,55.5,0
89,4,1,standard,266.15,0
308,2,4,standard,61.22,1
334,5,5,standard,158.93,1
30,13,1,deluxe,241.48,0
230,12,2,deluxe,142.74,0
125,8,1,standard,446.64,1
353,4,4,suite,266.77,1
211,3,5,deluxe,331.68,1
106,12,5,standard,425.74,1
140,4,4,deluxe,66.5,0
203,3,4,standard,399.92,1
290,13,4,deluxe,444.45,1
136,4,3,deluxe,191.48,0
291,12,3,standard,169.72,1
36,13,2,suite,484.7,0
346,5,3,standard,187.95,1
270,11,2,standard,53.33,1
41,11,3,family,397.6,0
68,11,3,suite,78.56,0
197,13,1,standard,241.54,1
309,11,3,suite,125.57,1
112,6,2,suite,375.13,0
41,4,1,suite,282.79,0
104,7,4,deluxe,491.24,1
52,8,3,deluxe,139.71,0
299,11,5,standard,118.28,1
303,5,1,family,465.92,1
179,1,2,standard,307.26,1
322,2,5,deluxe,77.38,0
77,3,1,deluxe,92.79,0
66,10,1,deluxe,274.48,0
259,4,2,suite,141.56,1
275,5,4,family,51.17,1
39,3,2,deluxe,189.65,0
232,10,5,deluxe,400.02,0
145,1,4,suite,262.78,0
224,2,2,family,205.68,1
194,10,4,suite,114.3,0
195,1,3,deluxe,131.51,1
276,8,1,family,205.65,0
197,2,5,suite,494.42,0
278,1,4,standard,155.8,1
136,5,1,standard,225.34,0
300,5,2,standard,471.35,1
29,11,2,deluxe,110.56,0
343,8,1,family,100.27,0
57,2,3,family,314.16,0
270,9,2,deluxe,113.38,0
234,7,3,suite,133.06,1
168,1,3,standard,168.56,1
306,10,1,family,230.78,1
75,5,5,deluxe,427.83,0
37,7,5,standard,436.76,0
177,3,1,standard,345.75,0
67,7,3,deluxe,163.12,0
290,9,2,standard,311.04,1
43,8,4,deluxe,261.24,0
91,8,4,suite,453.54,0
39,9,3,standard,205.29,0
128,2,3,standard,336.36,1
100,10,4,suite,261.57,0
134,1,2,standard,393.87,1
171,13,2,deluxe,53.09,1
314,2,1,deluxe,187.68,1
152,8,5,deluxe,467.37,0
106,5,2,standard,358.57,0
112,13,2,deluxe,223.85,0
117,5,3,family,277.84,0
272,1,2,standard,227.66,1
33,3,4,standard,459.5,0
127,12,4,deluxe,337.34,0
151,11,4,standard,113.48,0
79,9,3,family,266.72,0
38,7,3,family,488.51,0
231,4,3,standard,319.71,1
53,2,1,standard,143.13,0
132,12,5,deluxe,410.01,0
180,12,2,deluxe,453.9,0
232,6,5,standard,482.41,1
265,8,2,deluxe,495.85,1
357,10,2,standard,385.56,1
218,8,4,standard,180.28,1
1,11,2,family,172.83,0
258,11,1,standard,453.08,1
325,5,1,deluxe,109.71,1
199,6,4,deluxe,407.27,1
324,11,1,standard,275.3,1
345,11,4,standard,334.77,1
348,9,2,deluxe,141.59,1
223,10,5,family,85.07,0
228,2,3,family,301.62,1
256,6,5,family,121.89,1
324,9,5,deluxe,230.7,1
41,10,2,family,93.87,0
357,10,5,suite,402.7,1
51,8,5,family,327.99,0
77,6,1,standard,391.39,0
99,5,5,family,425.59,1
84,10,3,family,50.62,0
319,3,3,deluxe,201.91,1
0,11,2,standard,140.85,0
72,10,4,suite,171.84,0
177,13,2,family,448.17,0
177,5,3,deluxe,282.6,1
252,12,1,standard,352.31,0
110,3,1,deluxe,245.14,1
364,3,3,standard,282.85,1
161,3,4,standard,205.05,1
112,5,2,standard,169.69,0
313,2,2,suite,487.62,1
146,3,2,suite,393.3,0
48,1,5,standard,109.39,0
15,5,1,standard,346.03,0
164,10,1,standard,398.72,1
175,13,5,standard,462.45,1
287,6,5,standard,306.35,1
33,8,3,deluxe,243.67,0
245,9,5,deluxe,133.29,1
307,4,2,suite,103.87,1
289,9,5,deluxe,496.62,1
167,4,2,standard,286.55,0
245,5,2,suite,487.13,1
321,8,2,standard,146.99,1
32,2,2,standard,301.7,0
2,6,4,deluxe,222.43,0
192,10,4,deluxe,399.95,1
246,6,2,standard,162.41,1
255,11,3,family,441.2,0
358,10,4,standard,382.02,1
26,1,3,standard,103.43,0
192,1,2,family,296.95,1
279,11,5,standard,433.74,0
133,7,3,deluxe,425.19,1
98,8,3,standard,193.23,0
101,10,3,standard,445.01,1
28,12,5,deluxe,401.98,0
131,12,3,family,106.16,0
327,13,5,standard,373.79,1
30,1,4,deluxe,363.43,0
64,8,4,standard,489.89,1
148,12,2,family,87.93,0
352,12,4,standard,495.89,1
230,6,2,deluxe,240.72,1
47,7,4,deluxe,174.7,0
191,6,4,family,266.64,1
349,12,5,deluxe,117.92,1
17,13,1,standard,63.24,0
145,11,2,deluxe,364.73,0
94,10,4,standard,197.13,0
166,5,1,standard,76.68,1
69,9,3,deluxe,311.82,0
185,9,4,deluxe,383.11,0
124,13,4,family,78.05,0
69,7,5,deluxe,471.76,1
130,3,2,family,126.12,0
290,11,3,standard,235.09,1
70,9,3,standard,114.94,0
55,1,1,standard,75.01,1
84,5,3,standard,147.48,0
343,5,2,suite,453.24,1
312,2,5,family,342.37,1
216,6,3,family,472.72,0
130,1,4,suite,308.65,0
231,8,5,family,186.44,1
253,3,2,standard,224.45,1
143,2,2,deluxe,140.66,0
211,9,5,standard,114.56,0
280,2,5,standard,445.25,1
313,3,2,deluxe,179.22,1
64,12,3,deluxe,205.58,0
331,12,1,standard,256.1,0
3,4,4,family,246.37,0
23,9,1,deluxe,318.98,0
202,12,2,deluxe,397.94,0
298,4,2,deluxe,358.3,1
153,3,5,standard,338.02,0
270,4,2,standard,213.24,1
361,8,1,deluxe,90.2,1
101,4,4,deluxe,200.05,0
282,12,4,deluxe,127.2,1
232,12,3,deluxe,313.82,0
97,10,5,standard,444.88,0
193,11,5,deluxe,59.87,0
219,10,2,deluxe,329.45,0
88,8,1,deluxe,300.07,0
272,5,1,standard,273.83,1
39,6,5,standard,86.89,0
92,9,4,deluxe,193.11,0
167,5,3,deluxe,400.06,1
189,6,4,family,89.31,0
312,9,4,family,223.73,1
88,12,1,deluxe,404.77,0
222,11,5,standard,381.08,1
19,5,4,standard,138.07,0
41,11,5,standard,312.13,0
332,9,4,suite,381.99,1
38,10,3,deluxe,422.9,0
232,6,4,suite,285.19,0
152,12,5,standard,421.72,1
278,13,1,standard,345.58,0
102,9,2,standard,89.32,0
18,6,5,standard,426.67,0
60,3,2,standard,441.98,1
173,4,1,family,417.63,0
160,1,1,standard,247.98,0
304,7,3,deluxe,144.08,1
117,1,5,family,334.71,1
326,3,5,standard,109.46,1
266,5,3,family,291.58,1
168,4,4,family,153.57,1
136,12,5,family,168.34,1
138,1,3,standard,178.4,0
51,1,4,standard,260.37,0
12,4,1,family,267.14,0
126,11,2,deluxe,72.31,0
210,5,2,deluxe,250.64,1
145,5,4,standard,400.84,1
188,4,5,standard,333.84,1
54,1,1,standard,108.36,1
205,6,5,standard,343.88,0
84,3,3,family,164.83,1
95,12,1,family,57.13,0
288,5,4,family,405.55,1
27,1,3,deluxe,212.79,0
228,13,1,deluxe,239.57,0
305,10,3,suite,141.43,1
183,1,3,deluxe,140.81,1
192,4,3,standard,140.83,0
75,13,1,standard,328.98,0
248,13,1,family,67.77,0
35,3,3,standard,312.81,0
221,11,2,standard,384.63,1
127,1,2,deluxe,73.74,0
32,10,2,deluxe,316.37,0
81,8,2,deluxe,287.1,0
252,12,4,standard,349.82,0
231,8,1,family,100.84,0
5,11,4,suite,87.72,0
153,6,1,standard,421.2,1
273,4,1,standard,463.64,1
333,3,2,deluxe,385.49,1
277,8,5,family,454.87,1
362,1,4,standard,247.02,1
191,12,4,standard,350.86,1
90,4,3,standard,183.61,0
229,13,5,standard,389.02,1
200,4,1,suite,268.25,0
131,5,5,suite,336.38,0
220,8,1,deluxe,450.22,0
92,2,2,standard,280.07,0
363,6,3,standard,109.99,1
327,3,4,suite,410.3,1
21,5,2,deluxe,297.71,0
5,7,4,standard,221.59,0
208,1,2,standard,157.29,1
358,5,3,standard,311.99,1
130,10,3,standard,97.57,0
107,5,2,deluxe,89.67,1
28,1,4,standard,226.35,0
183,8,5,deluxe,348.68,0
179,9,3,suite,189.05,0
328,3,3,standard,314.18,0
252,12,1,standard,387.11,0
239,9,1,deluxe,127.33,0
282,3,5,deluxe,358.97,1
252,4,3,suite,347.38,0
275,4,1,family,202.6,1
346,6,1,deluxe,69.63,0
5,7,1,standard,275.85,0
283,1,5,family,251.59,1
64,9,4,family,222.72,0
339,2,4,suite,93.17,1
362,4,3,standard,246.0,1
326,10,2,family,451.23,0
77,4,2,suite,435.35,0
234,8,2,deluxe,412.26,1
10,3,2,family,497.22,0
113,11,5,family,224.71,0
294,7,5,suite,292.71,1
345,7,1,deluxe,414.02,1
35,8,3,standard,203.95,0
253,12,1,standard,299.87,0
300,5,5,standard,306.81,1
156,6,3,standard,421.13,1
177,3,4,deluxe,359.11,1
292,11,4,suite,215.23,1
339,10,4,standard,326.11,1
144,7,2,standard,57.37,0
47,11,1,family,186.82,0
109,5,1,standard,70.96,0
236,4,1,standard,191.14,1
289,8,2,deluxe,255.53,1
289,7,1,standard,467.31,0
40,8,4,suite,448.24,0
229,4,1,family,472.13,0
238,4,4,deluxe,420.64,1
119,8,5,standard,348.29,0
208,4,2,family,123.5,0
14,12,2,deluxe,424.09,0
153,1,1,deluxe,374.78,0
211,12,2,standard,418.16,0
117,1,5,standard,350.19,1
14,8,1,standard,53.23,0
276,3,2,deluxe,160.35,0
50,5,3,standard,339.36,0
335,7,5,standard,227.49,1
284,8,4,standard,366.81,1
224,4,3,standard,58.48,0
69,3,2,deluxe,401.71,1
237,7,4,deluxe,352.51,0
103,8,2,suite,114.73,0
62,6,4,suite,122.14,0
180,9,5,suite,171.86,0
219,10,1,family,429.59,1
278,2,3,standard,404.44,1
320,10,3,deluxe,382.38,1
82,10,4,suite,69.61,0
9,8,2,family,82.38,0
186,6,4,deluxe,454.69,1
357,6,3,deluxe,116.18,1
14,10,3,family,178.02,0
325,8,2,suite,127.98,1
95,3,3,standard,257.96,1
276,13,1,suite,386.43,0
49,9,1,suite,415.11,0
98,10,3,standard,257.89,0
238,10,4,deluxe,269.98,0
2,9,5,standard,397.17,0
57,3,3,suite,290.92,0
133,1,3,deluxe,477.78,1
106,4,1,standard,80.78,0
178,10,2,standard,338.76,0
58,8,1,standard,465.59,0
207,7,2,deluxe,418.04,0
100,3,2,deluxe,72.5,0
262,8,4,standard,289.29,1
359,7,3,suite,222.27,1
359,5,1,family,425.02,1
264,12,2,family,219.62,1
167,12,1,standard,88.93,0
176,6,5,standard,227.51,1
136,2,1,standard,163.37,0
113,8,1,deluxe,118.37,0
129,12,4,standard,325.49,0
5,1,5,standard,292.25,0
80,7,1,suite,186.81,1
46,1,3,deluxe,389.16,1
296,5,2,standard,124.21,1
74,9,1,deluxe,392.61,0
55,6,5,standard,433.54,0
92,10,4,standard,395.54,0
97,3,5,deluxe,247.08,0
74,8,4,standard,274.9,1
86,4,2,standard,81.58,0
109,3,4,family,81.84,0
49,2,1,standard,144.88,1
169,4,4,family,399.38,1
277,11,1,deluxe,259.34,1
7,5,1,standard,326.45,1
260,4,2,standard,290.58,1
11,1,1,suite,258.07,0
15,8,3,deluxe,432.0,0
31,1,1,family,401.56,0
257,6,5,suite,420.67,0
39,3,5,family,111.12,0
306,10,3,standard,145.45,0
30,9,5,suite,323.94,0
79,12,1,standard,498.37,0
155,4,5,standard,261.87,1
42,13,1,suite,423.33,0
126,2,5,family,156.22,1
227,2,5,standard,286.62,1
268,6,2,suite,362.94,1
130,6,4,standard,80.04,1
74,2,5,suite,244.1,0
277,2,4,family,123.87,0
20,4,5,deluxe,139.84,0
218,11,2,suite,66.58,0
242,9,4,deluxe,402.1,1
33,6,5,deluxe,423.85,1
104,11,5,standard,127.47,0
330,2,1,family,470.92,1
204,8,3,standard,422.52,0
6,7,2,deluxe,227.92,0
149,11,4,family,331.4,1
43,8,2,standard,451.59,0
352,6,3,standard,54.21,1
215,13,5,suite,272.17,0
200,3,5,suite,163.2,0
305,10,2,standard,350.46,1
120,12,5,standard,57.33,0
15,12,2,suite,469.98,0
111,11,1,deluxe,357.47,1
213,8,4,deluxe,173.0,0
280,5,4,standard,75.64,1
254,6,5,standard,427.35,1
270,9,5,deluxe,416.88,1
345,10,5,suite,375.62,1
28,5,3,deluxe,419.35,0
363,1,1,deluxe,423.95,1
168,2,5,standard,317.64,1
250,12,5,suite,473.78,1
30,8,3,deluxe,397.97,0
19,9,1,family,68.08,0
34,5,5,standard,211.74,1
109,10,2,family,329.19,0
293,10,1,deluxe,51.1,1
338,7,5,family,430.16,1
100,8,5,standard,290.91,0
105,3,2,standard,379.18,0
298,10,4,deluxe,111.08,1
80,7,5,standard,383.24,1
4,2,3,family,86.16,1
128,1,3,suite,327.77,0
86,10,4,standard,367.75,0
217,4,2,deluxe,260.98,1
335,2,1,deluxe,244.55,1
211,2,3,deluxe,164.95,0
217,2,4,standard,474.93,1
214,13,2,deluxe,157.45,0
78,10,1,family,295.36,0
7,12,5,family,247.04,0
43,10,3,deluxe,404.94,0
281,9,5,deluxe,414.77,1
19,4,3,deluxe,427.92,1
4,4,3,suite,243.69,0
225,9,3,family,386.79,1
93,7,4,deluxe,480.57,1
34,8,1,standard,194.41,0
42,10,5,suite,304.26,0
294,13,5,standard,243.75,1
227,3,4,deluxe,423.78,1
336,1,1,deluxe,233.77,1
261,3,3,family,97.43,1
74,13,4,standard,323.66,1
359,6,2,family,387.16,1
59,12,4,deluxe,377.3,0
66,2,2,standard,345.13,1
312,12,1,standard,269.29,1
209,5,1,deluxe,127.59,1
272,2,4,family,138.73,1
189,8,5,deluxe,356.45,1
177,9,1,standard,416.2,1
88,6,5,standard,337.06,1
356,8,3,deluxe,350.09,0
53,11,2,standard,477.44,0
140,3,5,standard,446.86,1
237,3,3,deluxe,481.36,1
266,5,5,standard,57.62,1
14,2,1,suite,142.79,0
344,3,1,family,353.09,1
14,11,5,standard,105.84,0
6,12,3,deluxe,68.92,0
124,11,1,standard,85.9,0
229,4,3,family,362.58,0
250,9,1,family,64.49,0
195,9,4,standard,430.19,1
82,5,5,deluxe,320.44,0
128,4,1,suite,295.09,0
191,1,3,suite,201.95,0
0,5,5,deluxe,297.89,0
169,4,5,deluxe,383.42,1
17,7,1,deluxe,389.95,0
71,13,4,standard,391.58,0
326,10,5,deluxe,349.03,1
94,10,4,family,107.14,0
10,1,1,standard,453.15,0
81,10,5,family,249.59,1
270,12,2,standard,314.32,1
269,9,5,standard,474.55,1
212,5,3,deluxe,174.05,1
283,3,1,standard,499.75,1
362,4,4,family,349.08,1
165,13,2,family,269.76,0
155,10,1,suite,328.51,0
118,2,2,standard,208.94,0
17,10,4,standard,276.16,0
157,4,2,deluxe,222.8,0
286,1,5,deluxe,322.06,1
186,6,1,deluxe,173.82,0
154,12,4,deluxe,155.7,1
348,10,3,deluxe,83.39,1
322,2,4,suite,461.48,1
21,3,3,family,356.44,0
122,13,4,standard,105.61,0
337,2,2,deluxe,491.55,1
25,11,4,deluxe,129.35,0
315,11,2,standard,103.28,1
120,12,2,standard,135.33,0
339,9,4,suite,410.47,1
323,11,3,suite,408.59,1
86,6,3,standard,116.33,0
279,1,3,deluxe,442.37,1
306,6,2,standard,188.78,1
352,3,2,standard,55.53,1
32,4,1,deluxe,453.65,0
70,3,2,standard,75.84,0
11,13,1,standard,458.19,0
89,12,2,deluxe,238.47,0
58,5,5,family,192.51,1
270,10,1,deluxe,425.46,1
