cement_kg,water_kg,age_days,mix_type,aggregate_kg,compressive_strength
199.1,165.4,323,lightweight,1101.9,39.26
131.1,136.7,196,highperf,1031.8,49.66
400.7,239.9,45,highperf,1113.3,58.84
267.1,231.7,250,standard,1119.3,49.98
388.2,184.0,82,standard,868.0,48.25
108.1,200.1,287,standard,1142.6,36.04
132.5,159.4,169,lightweight,1118.5,38.47
352.1,183.5,58,highperf,927.8,63.43
157.2,152.2,191,highperf,706.8,50.14
382.3,189.7,115,highperf,802.2,64.31
411.5,243.8,31,standard,996.4,55.82
357.7,131.4,356,lightweight,736.6,51.74
193.0,115.2,75,highperf,926.8,49.24
491.8,105.6,52,lightweight,1181.9,64.17
280.5,219.6,55,standard,1104.6,45.22
348.5,173.8,335,standard,737.1,49.42
312.5,232.9,30,highperf,1036.6,51.51
347.4,224.9,157,lightweight,757.2,45.72
392.5,128.0,82,standard,1153.5,56.2
204.3,160.1,27,standard,902.3,39.09
191.1,126.1,82,standard,753.7,37.0
174.3,146.6,252,highperf,902.6,54.64
444.4,113.4,101,highperf,1097.5,76.67
129.3,183.6,5,lightweight,914.3,20.06
408.2,249.8,196,standard,1158.6,57.35
204.5,128.9,156,standard,1085.8,45.75
288.9,169.6,354,lightweight,1093.3,48.55
456.5,207.4,5,standard,1147.0,54.01
400.7,164.5,245,lightweight,1083.0,56.22
470.5,154.3,289,lightweight,798.7,57.75
388.3,143.9,320,standard,895.0,57.88
428.2,215.7,247,highperf,756.0,66.41
362.9,164.0,96,highperf,960.5,57.7
211.7,181.5,321,lightweight,968.7,41.39
362.4,250.0,272,standard,1122.9,59.22
167.5,128.0,87,standard,1027.0,44.26
327.9,232.2,245,standard,898.8,48.15
477.1,109.9,320,highperf,809.0,76.89
189.4,162.8,203,standard,1048.7,40.56
444.5,103.4,334,lightweight,912.6,61.5
319.4,173.7,124,standard,1154.1,55.64
211.8,168.9,132,highperf,1118.5,54.82
270.3,118.3,139,standard,727.4,47.7
476.3,169.0,357,standard,781.2,63.15
348.7,134.5,230,highperf,1194.4,63.24
419.5,187.5,282,standard,1194.1,61.94
317.7,229.6,239,standard,859.5,51.15
444.0,152.9,220,lightweight,1142.7,52.81
311.0,208.3,102,lightweight,1139.7,44.86
302.1,135.2,293,standard,1126.6,54.94
346.9,147.1,217,highperf,857.2,64.29
276.9,180.5,25,lightweight,714.1,36.44
442.6,173.8,92,highperf,915.6,75.42
303.5,206.2,327,highperf,861.2,54.53
422.1,106.4,161,lightweight,883.4,54.66
478.5,100.3,123,standard,870.4,68.45
467.3,164.3,55,standard,1131.3,62.59
152.4,211.4,16,highperf,1100.0,35.62
261.8,170.9,62,standard,1170.5,47.48
287.2,246.1,333,standard,1076.8,42.46
258.5,191.0,196,standard,1134.3,46.87
167.6,141.7,182,standard,1043.6,43.04
206.8,118.2,45,highperf,842.8,46.92
374.8,158.3,214,standard,981.6,60.27
485.5,222.9,271,highperf,1010.7,68.35
325.2,244.3,310,highperf,868.7,53.01
117.4,109.2,13,highperf,941.2,33.69
397.0,190.6,66,highperf,896.3,60.11
156.1,163.6,119,highperf,940.6,46.18
423.5,154.1,132,highperf,1079.7,74.51
190.8,220.9,362,lightweight,1129.7,40.01
371.2,138.7,183,standard,839.3,51.9
286.5,103.2,165,standard,974.8,54.52
119.3,182.0,87,lightweight,931.0,27.87
464.6,221.5,249,standard,789.9,56.46
399.1,126.7,347,lightweight,995.5,54.89
138.4,201.7,355,lightweight,1096.0,32.66
376.6,247.7,166,lightweight,1099.2,43.68
229.5,155.1,104,standard,950.9,47.53
335.2,151.1,156,highperf,1067.7,61.95
417.8,233.1,19,lightweight,1172.1,44.77
239.0,209.5,157,standard,1113.7,42.4
308.9,245.5,187,highperf,941.8,58.99
147.1,180.0,153,standard,1077.0,37.86
316.3,134.3,221,standard,787.7,52.85
103.6,161.4,315,standard,775.2,41.12
349.9,183.2,98,standard,893.2,55.67
472.1,214.6,117,standard,832.5,59.39
112.0,186.2,70,standard,1174.2,35.62
197.5,221.6,184,lightweight,904.7,34.18
473.3,169.6,344,highperf,709.8,74.33
135.7,196.6,146,standard,934.5,35.33
341.0,103.8,324,standard,1010.1,59.29
334.0,117.4,271,standard,1058.8,57.9
475.4,249.8,150,highperf,721.7,63.08
426.4,238.7,88,lightweight,969.3,50.73
417.2,202.2,189,highperf,902.4,67.84
248.4,247.4,254,highperf,966.0,49.86
381.2,127.9,122,standard,865.9,64.93
104.0,206.1,261,highperf,939.1,41.97
345.4,110.0,199,highperf,929.3,64.31
415.0,152.9,136,standard,878.5,61.37
219.6,137.3,140,lightweight,1150.3,39.89
198.1,145.6,295,lightweight,981.6,39.64
355.3,243.0,341,lightweight,1157.2,49.75
120.0,108.1,1,standard,983.5,22.4
257.6,138.8,80,standard,1052.6,52.65
415.8,103.1,228,standard,969.3,62.89
318.2,168.9,324,standard,879.3,52.27
484.1,197.2,343,standard,1107.1,66.06
333.1,121.7,145,standard,759.9,51.89
334.8,238.2,269,standard,964.4,48.09
376.6,248.4,126,lightweight,1070.9,46.54
365.8,180.9,125,standard,1089.3,51.61
345.1,247.2,77,highperf,702.0,54.18
354.5,160.9,261,standard,1049.4,61.05
358.8,118.7,242,highperf,864.4,60.87
492.4,140.0,178,highperf,1036.6,75.81
163.7,109.0,302,highperf,1079.4,55.06
371.7,113.7,58,standard,1019.4,52.04
150.2,205.7,43,lightweight,994.1,31.2
128.5,155.7,253,standard,1170.4,38.2
161.5,246.3,62,highperf,884.9,40.31
293.2,100.4,333,standard,775.6,48.44
493.9,108.1,299,highperf,1127.3,82.31
254.4,187.6,95,highperf,845.1,54.37
287.4,150.5,200,highperf,871.8,54.67
273.5,139.6,80,highperf,1134.0,60.57
352.1,155.9,244,highperf,991.9,61.33
438.2,146.7,198,highperf,868.3,66.6
362.6,166.0,20,highperf,1130.6,66.15
326.6,230.6,299,lightweight,736.4,45.74
386.0,235.5,5,highperf,1026.7,54.48
450.4,229.8,111,lightweight,792.7,53.19
421.0,168.2,208,lightweight,783.0,54.9
162.9,239.2,28,standard,734.3,27.95
234.9,137.0,105,standard,963.0,44.56
323.3,247.2,293,standard,820.6,48.71
201.0,186.2,138,standard,823.3,39.49
205.4,196.6,113,highperf,1063.6,48.76
123.6,232.2,285,highperf,1099.1,44.63
174.8,101.2,272,standard,1069.6,50.6
353.5,236.7,224,highperf,785.2,59.05
258.2,160.0,194,highperf,1086.6,61.63
443.8,190.0,262,highperf,956.3,72.39
215.1,143.4,265,standard,803.3,45.61
249.1,191.2,278,standard,897.9,45.1
357.0,225.7,315,standard,851.9,52.13
300.2,197.9,162,highperf,896.8,49.9
151.8,167.1,263,lightweight,834.3,30.99
189.7,132.5,111,standard,1045.7,38.7
171.2,130.1,210,standard,782.7,42.22
236.0,203.3,353,lightweight,971.1,40.53
244.8,148.8,259,lightweight,923.8,46.6
324.4,188.6,26,highperf,1051.1,58.06
248.3,185.9,267,highperf,1190.7,58.78
197.5,165.5,256,highperf,1056.3,53.39
189.9,101.8,341,highperf,1029.9,57.9
299.8,229.6,215,standard,1050.5,42.16
246.7,122.4,61,highperf,988.0,53.2
395.8,128.6,19,highperf,851.1,61.36
115.5,246.1,233,standard,832.8,26.9
136.9,119.4,310,standard,983.7,38.78
477.7,125.9,56,standard,1129.0,64.5
237.6,179.4,297,standard,1117.1,48.76
415.1,191.0,6,standard,1091.1,51.84
188.4,157.5,15,lightweight,1033.0,30.69
440.1,197.2,39,highperf,826.7,64.4
306.0,100.2,198,highperf,1039.4,61.08
134.2,242.3,108,highperf,716.9,41.11
372.6,174.9,28,highperf,960.3,57.66
139.8,144.3,6,standard,910.3,32.07
201.9,233.3,12,standard,795.6,26.52
366.0,121.5,288,highperf,926.4,69.88
249.3,186.7,34,standard,1026.5,41.56
322.8,109.2,67,standard,958.5,53.19
327.0,241.1,169,standard,883.6,49.67
325.2,165.6,26,standard,905.2,41.37
243.8,152.6,341,highperf,1176.0,59.91
459.4,199.2,193,standard,774.7,56.13
492.6,216.7,239,standard,1155.5,69.1
182.9,162.8,291,highperf,1072.5,48.9
475.9,202.3,29,highperf,883.0,65.43
225.3,148.8,134,standard,839.4,46.46
121.3,180.0,66,standard,822.8,36.75
466.6,127.4,128,standard,947.3,66.9
242.1,191.7,136,standard,975.7,46.19
487.3,195.3,227,lightweight,1015.2,56.8
195.9,186.0,195,standard,845.3,38.76
448.1,245.4,321,highperf,799.0,69.04
223.5,197.6,98,highperf,831.9,50.57
375.6,138.2,119,highperf,1010.1,62.13
266.8,180.4,15,standard,727.6,40.2
307.0,243.1,47,lightweight,1027.7,40.0
289.7,219.2,274,highperf,956.7,53.82
149.4,157.8,232,highperf,1169.5,51.42
418.1,203.4,37,standard,1024.2,50.93
355.7,182.0,65,highperf,1102.3,59.92
302.6,112.8,135,highperf,890.5,60.04
297.6,232.4,294,highperf,977.7,53.76
343.5,201.9,179,lightweight,920.6,45.32
234.4,243.1,71,standard,894.2,39.34
372.6,139.4,21,standard,877.6,50.89
334.7,173.9,192,standard,970.1,56.76
299.2,180.4,243,standard,818.8,50.9
217.8,105.3,186,standard,864.8,48.91
382.7,114.6,7,highperf,1154.9,59.99
181.0,119.2,7,lightweight,1117.4,29.58
411.8,184.7,308,standard,841.5,60.34
247.3,249.0,295,highperf,736.3,48.41
198.0,100.8,49,lightweight,944.1,38.3
251.8,119.3,214,highperf,1190.2,57.1
266.2,103.1,99,highperf,1049.6,58.87
153.9,170.3,57,lightweight,1088.3,29.64
368.1,189.4,341,standard,812.5,54.9
148.6,223.9,286,lightweight,1147.6,31.17
230.9,155.3,361,highperf,814.5,56.84
171.4,109.5,342,highperf,1171.4,55.28
494.6,170.9,139,lightweight,1166.3,59.09
381.9,124.3,72,lightweight,1123.6,49.7
138.1,199.7,12,standard,750.6,26.11
110.3,123.7,36,standard,1129.8,36.45
450.3,110.9,143,standard,1059.5,67.85
400.6,144.1,308,highperf,826.5,67.64
309.7,206.0,80,highperf,1117.9,53.18
224.5,136.9,281,standard,807.2,46.55
288.5,207.7,174,lightweight,852.3,47.34
320.0,110.3,325,highperf,756.7,68.26
343.6,180.8,325,lightweight,1152.2,48.23
240.0,148.8,327,highperf,875.5,50.08
493.0,192.7,88,lightweight,875.0,59.38
331.8,207.5,100,lightweight,1093.9,43.99
350.9,164.5,181,lightweight,980.2,45.72
196.3,170.2,256,standard,1123.9,44.33
120.6,225.5,58,standard,940.1,27.72
302.1,129.4,153,highperf,1150.2,63.94
427.1,134.3,128,standard,1112.6,54.2
101.0,154.2,359,standard,963.7,41.75
348.1,183.4,316,lightweight,898.0,48.34
348.1,218.2,218,standard,1164.0,52.58
405.3,198.4,5,standard,741.4,39.45
370.5,245.8,3,highperf,1122.1,49.13
392.1,175.5,329,lightweight,1176.2,53.42
398.3,209.0,333,highperf,1044.0,62.67
319.7,144.5,147,lightweight,1133.4,54.41
208.7,166.8,137,lightweight,870.4,39.34
156.6,209.6,12,standard,883.4,29.61
272.4,114.4,302,standard,991.8,51.29
106.1,190.5,290,standard,707.0,37.9
436.7,165.5,351,standard,955.0,67.13
461.5,123.0,218,lightweight,1184.3,64.49
114.7,171.4,173,standard,808.3,39.48
399.9,187.0,198,standard,902.3,60.82
209.4,249.5,150,standard,1181.3,45.19
146.0,125.3,45,highperf,750.7,46.98
290.2,109.3,330,highperf,1107.2,66.23
466.7,175.0,153,standard,1005.1,62.25
270.3,120.3,259,standard,725.3,49.31
387.6,169.8,87,highperf,1010.8,66.25
311.7,107.4,347,lightweight,832.5,49.55
419.3,236.3,59,standard,1047.2,52.66
344.0,206.2,59,standard,897.1,50.2
206.2,206.5,270,lightweight,937.0,36.02
169.8,202.8,266,highperf,1035.9,44.81
109.2,203.6,63,highperf,1048.7,34.46
240.9,169.3,221,standard,884.6,42.72
334.8,186.2,199,standard,961.3,51.12
294.8,122.3,19,standard,1082.9,49.25
422.2,239.0,179,highperf,720.3,63.12
116.9,194.2,236,highperf,933.9,42.09
179.1,143.4,153,lightweight,1085.1,39.95
328.0,201.8,24,standard,960.4,47.38
199.4,134.0,220,lightweight,936.6,42.56
470.3,101.1,329,highperf,1003.9,83.44
392.3,116.9,226,lightweight,1006.8,56.69
303.7,164.1,140,standard,811.4,53.98
257.5,201.1,227,lightweight,892.5,39.54
263.1,124.1,156,standard,1133.1,49.01
489.4,198.6,217,lightweight,868.9,60.06
212.4,147.8,236,standard,1076.3,44.9
495.3,211.1,291,standard,800.1,67.13
251.9,129.2,78,standard,707.3,41.12
215.3,121.3,277,highperf,714.9,58.4
353.3,238.6,87,standard,839.2,46.63
221.0,174.9,77,standard,870.9,39.24
318.6,126.0,169,standard,765.3,49.06
163.7,221.3,193,standard,889.9,34.69
172.9,128.2,5,lightweight,857.7,25.85
450.4,145.5,154,standard,1118.7,66.25
310.0,191.9,278,standard,861.9,46.09
288.0,236.2,53,standard,1163.5,45.93
175.1,206.1,83,lightweight,1162.1,33.68
408.3,120.7,74,standard,801.7,65.19
356.1,144.4,89,lightweight,1060.5,46.32
191.3,231.9,280,standard,1079.6,45.88
475.4,180.6,338,highperf,977.7,73.74
162.8,173.3,242,standard,1194.4,45.09
446.6,154.5,105,standard,735.2,56.67
170.7,140.9,177,highperf,1108.7,54.34
294.2,228.0,334,highperf,742.6,54.38
282.8,175.0,41,standard,766.5,43.71
479.5,200.9,113,standard,1149.9,61.55
259.9,231.6,204,highperf,1064.6,56.32
285.3,159.7,9,standard,1179.3,41.76
315.3,235.5,257,highperf,892.2,55.35
499.0,202.0,126,lightweight,891.7,54.23
481.0,179.4,285,standard,984.6,66.54
380.7,142.1,55,lightweight,785.3,43.83
319.9,118.5,217,standard,966.1,54.13
304.8,212.6,267,standard,732.5,48.67
290.2,125.6,138,lightweight,729.8,42.26
334.3,204.2,239,lightweight,1175.4,48.4
114.2,225.3,195,lightweight,953.6,28.17
445.8,150.7,255,highperf,973.1,71.11
402.0,213.9,91,highperf,837.4,58.44
130.9,163.8,99,standard,767.5,34.95
364.2,133.7,169,standard,1016.4,54.61
480.0,230.4,244,standard,1077.0,66.97
498.6,181.8,219,highperf,1195.9,68.13
419.6,174.2,197,standard,1079.8,61.15
305.7,217.3,125,lightweight,1048.6,41.07
343.0,178.1,351,standard,814.3,58.1
322.1,219.7,149,standard,1034.4,46.75
365.7,166.0,358,standard,872.4,59.28
274.7,248.1,29,lightweight,841.5,37.11
171.6,143.7,218,standard,1079.1,41.2
431.5,183.4,162,lightweight,1189.2,54.98
214.8,108.4,37,standard,974.3,36.76
387.5,107.5,199,standard,869.1,65.05
412.1,215.7,201,standard,989.5,61.52
243.7,225.3,292,highperf,1029.2,54.23
348.3,213.0,219,lightweight,716.0,43.13
376.6,231.1,128,standard,717.0,49.18
400.8,187.4,271,lightweight,1158.2,58.74
194.9,157.6,235,standard,1003.1,45.11
339.0,198.0,110,highperf,939.9,58.76
369.8,121.1,143,standard,1112.7,60.56
388.4,183.8,299,standard,1083.9,55.15
100.7,139.0,271,standard,997.0,34.0
112.3,209.1,206,highperf,963.7,39.13
423.3,108.6,129,lightweight,1024.1,58.2
475.5,170.4,213,standard,1096.8,69.14
137.3,103.3,68,standard,1084.9,41.87
432.3,117.6,91,highperf,1152.1,76.71
142.8,130.7,219,highperf,950.1,54.57
150.7,239.1,55,lightweight,836.9,27.46
185.6,213.6,129,highperf,800.9,40.73
450.6,135.4,65,highperf,779.3,69.07
455.1,224.4,141,lightweight,1191.5,55.38
452.4,165.9,321,standard,716.8,65.48
439.6,181.4,207,highperf,1024.5,72.11
294.0,117.5,215,standard,866.3,52.02
287.7,141.4,74,standard,1142.1,53.8
464.3,134.1,342,lightweight,1186.9,66.51
449.3,221.2,295,standard,832.8,56.79
269.5,168.8,160,highperf,735.7,52.65
263.9,241.5,344,highperf,908.2,50.13
376.9,163.8,258,standard,1046.5,63.66
118.1,111.2,254,highperf,985.4,48.28
360.8,106.8,278,lightweight,701.9,54.04
462.3,131.4,42,lightweight,827.8,57.8
267.7,173.5,224,highperf,874.4,57.31
416.0,114.4,304,lightweight,1100.2,56.2
468.9,183.6,194,standard,1046.1,66.33
354.7,221.9,150,lightweight,912.7,45.34
110.5,230.4,17,standard,745.5,22.52
291.4,219.2,55,highperf,1069.9,53.91
209.6,162.6,359,highperf,966.0,54.89
185.8,150.3,3,lightweight,994.4,30.75
166.0,166.5,140,standard,961.0,39.64
290.4,179.4,183,standard,779.5,46.32
458.5,194.9,64,lightweight,1052.1,50.73
459.8,127.1,218,highperf,1193.4,79.87
205.7,248.6,315,highperf,1127.9,53.03
125.8,184.1,18,highperf,1159.5,44.62
227.4,102.6,140,lightweight,1111.9,37.31
299.9,119.7,212,lightweight,807.8,46.72
311.9,115.3,229,standard,948.3,53.34
313.0,201.2,331,highperf,1063.0,64.5
260.6,116.5,254,standard,1040.4,56.19
133.8,228.2,30,highperf,818.5,33.96
472.1,238.5,258,highperf,1153.0,70.99
388.9,208.5,346,lightweight,1000.1,56.88
454.8,140.8,137,highperf,1025.9,80.08
159.3,164.7,348,lightweight,839.3,38.21
302.3,150.8,272,standard,781.4,56.23
347.2,221.3,223,lightweight,1148.9,54.25
117.9,245.0,328,lightweight,734.8,27.56
213.5,139.3,223,standard,1195.3,48.68
198.4,238.6,185,highperf,753.4,40.47
151.7,234.4,305,standard,1104.5,32.41
140.1,151.8,150,standard,1010.3,41.6
198.4,237.8,54,highperf,832.2,41.67
327.6,166.6,14,highperf,832.3,51.21
491.2,168.3,9,highperf,907.2,57.78
284.1,192.1,70,highperf,885.7,52.15
247.0,229.6,27,lightweight,1183.7,28.6
352.2,123.1,312,standard,812.2,56.93
447.9,155.9,268,standard,1178.2,62.98
378.1,237.0,120,standard,726.1,47.36
227.5,108.1,356,standard,759.4,50.07
168.4,114.6,18,standard,734.9,32.8
499.1,232.9,96,highperf,961.2,72.28
385.0,180.1,238,lightweight,772.3,51.03
393.0,227.6,53,lightweight,1189.2,47.97
413.8,201.8,276,lightweight,980.8,56.52
443.3,226.3,116,lightweight,1038.2,59.76
265.1,148.5,270,standard,754.3,46.55
362.8,194.5,364,standard,724.0,54.05
447.3,105.5,45,standard,712.4,64.92
235.6,200.9,72,lightweight,901.7,34.17
235.6,152.5,142,standard,1079.2,45.21
447.9,234.3,151,highperf,1165.1,66.58
328.8,182.0,17,highperf,1018.5,53.98
444.0,226.6,76,standard,1115.2,51.85
352.5,228.0,117,highperf,765.0,59.87
376.9,177.1,66,lightweight,1145.2,52.5
160.9,193.3,90,lightweight,764.1,29.56
484.8,137.8,266,lightweight,786.4,57.18
258.0,175.3,278,standard,1160.4,43.69
335.8,130.0,351,lightweight,1156.6,56.0
269.3,206.1,182,highperf,807.4,53.51
263.7,115.5,185,lightweight,1058.3,46.84
341.1,163.3,291,standard,761.9,49.18
336.3,124.8,124,standard,929.6,57.09
328.4,132.6,294,highperf,966.9,63.37
325.8,213.1,48,standard,900.9,49.75
395.7,133.0,208,standard,832.2,54.61
486.9,233.0,60,standard,1036.8,64.54
170.7,241.8,141,highperf,1133.1,42.33
119.0,182.7,234,standard,1106.2,35.89
436.8,129.8,275,standard,1199.1,72.34
146.9,198.5,50,standard,954.4,39.95
372.3,135.1,191,standard,700.7,54.86
247.2,213.5,24,lightweight,770.1,28.91
234.8,248.5,109,highperf,1123.7,54.34
135.8,206.7,292,standard,850.3,33.1
496.4,214.7,33,standard,887.7,63.87
159.0,215.5,198,standard,985.5,39.15
313.2,140.7,357,highperf,1175.3,68.7
472.5,246.3,116,standard,974.1,58.94
457.9,144.3,354,highperf,995.8,72.44
372.0,215.1,114,lightweight,1048.5,43.58
350.3,124.7,117,highperf,954.2,63.49
317.0,138.7,20,highperf,742.6,57.6
459.5,167.2,313,standard,1024.1,65.78
403.0,115.8,97,standard,1108.8,64.46
259.2,155.2,344,standard,984.5,46.68
315.8,139.5,133,standard,941.3,55.8
139.3,107.4,93,lightweight,1169.9,44.1
422.6,124.6,94,lightweight,730.4,60.43
171.9,210.5,215,standard,1185.2,39.78
330.9,219.5,295,standard,855.6,58.98
312.4,201.0,73,highperf,994.6,56.86
214.1,237.6,191,standard,762.7,37.13
195.3,104.9,212,highperf,1056.1,56.83
328.3,177.4,42,lightweight,739.3,40.61
439.3,246.1,178,standard,920.2,53.93
243.0,225.6,73,highperf,1195.8,46.02
266.4,210.3,119,highperf,1182.9,59.81
449.7,104.0,64,standard,741.1,64.36
138.2,183.1,16,highperf,755.7,37.4
378.8,205.8,172,lightweight,1196.4,52.52
437.0,168.0,70,standard,905.2,58.47
429.9,164.5,149,standard,794.6,55.17
171.8,158.4,302,highperf,911.7,51.1
492.4,188.0,194,highperf,888.5,71.29
109.6,232.2,223,highperf,981.1,42.75
125.3,144.8,108,lightweight,1051.7,34.97
198.9,201.8,118,lightweight,1112.8,33.9
312.2,170.8,71,standard,916.8,47.28
377.4,148.9,335,standard,1193.2,58.24
107.9,124.1,240,standard,1111.1,41.57
233.8,157.1,45,standard,1054.6,40.17
204.1,209.2,235,highperf,816.1,43.63
401.4,108.3,155,highperf,714.8,67.41
474.4,158.7,309,highperf,1067.7,76.78
111.2,120.7,236,highperf,791.0,50.95
408.0,197.0,313,highperf,767.2,69.03
271.4,135.4,181,highperf,1185.7,63.1
340.8,216.4,252,lightweight,845.8,49.07
390.7,148.1,285,lightweight,1027.1,54.26
325.4,216.8,111,highperf,1039.3,57.19
183.9,225.2,201,standard,904.3,37.9
463.4,224.2,238,lightweight,913.4,51.02
276.3,140.6,111,standard,1059.8,47.61
157.8,131.0,151,standard,892.0,40.91
470.5,188.5,59,standard,742.0,62.1
191.9,183.7,67,standard,970.9,39.79
292.2,163.8,187,standard,981.3,50.11
123.7,121.7,282,standard,811.0,38.54
425.8,112.0,265,standard,1065.4,64.36
355.9,189.7,294,highperf,750.5,57.47
355.2,206.2,339,lightweight,1153.3,49.33
135.1,154.4,220,standard,787.0,39.56
292.0,121.4,288,highperf,750.0,63.1
308.8,196.0,194,standard,834.9,50.28
313.2,193.3,29,lightweight,939.1,38.32
294.8,217.5,323,lightweight,1073.6,43.78
227.9,115.3,193,standard,714.1,45.45
387.1,216.7,283,lightweight,823.0,44.86
429.2,234.9,181,standard,752.1,53.98
284.0,199.5,74,lightweight,835.4,42.73
109.6,154.9,344,highperf,1140.7,48.12
224.0,109.3,259,standard,792.1,44.91
481.3,193.1,332,standard,801.4,62.23
145.0,221.0,279,standard,1002.4,42.07
156.0,109.7,226,standard,722.2,43.56
