budget_million,runtime_min,genre,num_screens,marketing_spend_million,box_office_revenue_million
19.0,156,scifi,1232,58.1,177.17
54.2,117,drama,2682,54.6,210.6
269.3,109,scifi,3233,15.8,608.23
141.6,137,drama,1615,31.3,318.92
98.2,152,horror,3731,36.3,298.13
141.8,120,comedy,927,77.9,377.72
174.4,142,action,3440,85.0,526.48
104.2,179,comedy,2296,33.3,288.44
205.0,145,action,3165,52.3,519.68
158.4,103,drama,523,82.1,394.58
288.2,168,drama,4364,35.6,616.97
57.4,129,scifi,3166,65.9,293.86
115.6,160,scifi,2356,43.1,375.73
174.6,98,drama,3809,8.0,375.76
204.2,95,comedy,3159,24.5,445.74
50.2,150,comedy,4291,31.8,219.89
125.3,94,action,1429,88.6,384.0
135.0,102,comedy,3265,86.6,426.71
58.5,147,action,1669,0.8,188.92
298.1,130,scifi,2723,51.2,695.58
243.8,145,comedy,1029,83.9,544.14
34.4,175,horror,3845,9.7,155.42
166.4,86,drama,3836,93.8,500.13
299.6,119,action,1473,13.8,610.1
185.6,95,drama,2660,25.2,398.75
59.7,167,scifi,1195,62.6,252.01
74.2,143,drama,2850,61.5,285.28
295.0,158,drama,879,0.5,560.86
174.8,175,drama,2373,84.4,440.53
9.1,134,action,2798,57.0,141.99
183.1,98,comedy,3151,27.0,454.71
183.8,102,action,3947,68.3,541.08
58.7,94,comedy,1816,60.3,235.02
70.3,142,action,3193,77.6,328.94
88.5,83,comedy,2760,46.9,279.29
103.7,117,action,640,31.1,288.69
2.0,137,horror,2306,44.7,113.22
121.7,145,comedy,2062,8.6,271.02
45.9,173,action,1280,35.5,249.18
276.3,169,action,3254,55.7,659.45
155.3,129,comedy,4202,2.8,373.66
238.1,152,action,3063,4.2,522.67
63.4,118,drama,4142,46.5,249.38
2.2,137,comedy,3089,34.9,148.92
290.2,151,drama,1472,60.5,638.53
56.6,110,action,1112,36.0,192.06
172.2,170,scifi,3342,61.1,501.6
203.3,149,scifi,3428,45.1,501.07
199.1,106,scifi,3959,88.3,585.25
299.7,154,comedy,3716,1.7,599.69
163.7,151,action,1462,30.7,368.26
152.2,106,scifi,2094,91.6,470.84
116.2,174,scifi,3612,29.1,342.13
58.0,97,action,2775,18.5,200.98
95.1,113,drama,862,2.4,192.23
296.9,146,horror,3726,53.7,690.26
168.7,160,scifi,994,74.7,444.59
30.2,112,action,1579,31.3,168.27
29.9,169,drama,1909,32.8,143.7
287.0,142,scifi,2954,86.7,699.0
109.5,110,horror,3857,90.8,379.53
2.8,114,action,3582,50.2,158.22
115.9,143,action,703,46.6,317.06
197.8,178,action,4058,39.9,548.25
12.1,99,horror,682,6.9,70.84
283.0,153,drama,587,51.5,575.17
264.0,178,action,3878,58.8,677.7
117.3,166,action,1473,90.7,403.7
185.6,79,drama,4078,2.4,437.97
198.0,84,action,2691,97.4,575.4
261.7,101,action,3173,51.3,634.71
56.0,103,drama,3177,98.8,303.26
18.0,128,scifi,3855,10.8,179.59
100.9,120,action,2658,22.1,291.98
269.9,102,comedy,1005,65.9,622.68
135.8,142,comedy,2298,87.6,389.72
266.1,135,horror,2087,69.4,597.67
267.9,87,drama,4469,48.1,662.31
111.9,114,drama,598,37.2,245.39
155.9,174,comedy,2691,56.1,399.95
187.3,150,action,3428,98.2,520.26
45.3,168,scifi,4418,21.6,251.86
191.2,144,action,2462,99.6,548.44
193.5,126,drama,3545,93.4,541.99
16.3,175,horror,3967,72.8,147.21
259.0,85,drama,1429,78.1,611.13
13.7,95,drama,1782,89.9,150.54
195.4,87,scifi,3144,65.1,528.74
182.5,166,comedy,3760,67.1,478.67
154.0,116,drama,2712,17.9,352.51
155.9,117,action,627,79.7,441.13
218.4,136,horror,1324,24.3,454.11
112.2,160,horror,4281,99.9,415.93
208.7,163,scifi,3829,98.1,626.72
286.2,113,comedy,2909,68.1,694.02
226.8,139,action,4426,83.2,604.43
231.2,176,action,1153,33.7,487.73
250.4,83,horror,3538,96.2,647.79
69.7,158,comedy,3992,29.6,245.23
171.7,90,scifi,1583,97.7,487.81
265.9,111,comedy,4455,33.8,599.36
179.8,132,comedy,3254,66.2,439.73
96.6,141,comedy,2103,85.1,346.45
270.8,96,comedy,1257,2.5,517.91
254.0,98,comedy,2983,94.1,659.25
49.5,82,drama,3620,89.7,263.97
278.5,178,drama,1774,9.3,545.4
6.0,122,scifi,644,3.3,70.38
167.3,155,drama,2550,66.2,441.61
166.9,149,horror,1025,67.5,375.99
294.9,152,action,622,79.2,662.94
264.4,150,comedy,2785,76.5,645.87
199.1,100,horror,3456,94.8,551.16
55.6,159,comedy,1376,98.6,241.58
130.4,142,scifi,2904,35.1,349.04
276.9,116,action,4421,59.3,655.61
263.5,172,drama,642,4.9,501.03
262.2,83,action,3815,43.3,652.89
71.7,147,drama,3534,78.2,265.08
241.3,144,drama,1330,57.8,535.45
167.6,126,scifi,4064,51.0,476.84
141.8,83,drama,934,96.8,409.27
79.6,140,action,3689,92.0,348.19
38.9,168,drama,806,62.4,147.15
19.5,109,scifi,2000,80.8,200.88
287.0,159,comedy,2621,3.4,588.26
259.0,104,drama,3683,12.8,566.99
213.0,98,comedy,2123,83.8,532.35
219.9,119,comedy,3276,32.6,486.56
297.3,129,horror,3052,44.1,664.13
11.9,161,comedy,2001,40.0,114.62
199.3,85,comedy,1727,36.2,434.95
112.4,122,action,3360,89.4,386.43
297.3,93,action,3480,44.4,678.9
136.6,104,scifi,1753,7.7,341.32
269.8,106,horror,667,16.0,502.3
60.5,133,comedy,3750,13.4,221.62
185.7,136,drama,4048,13.0,439.38
160.7,159,scifi,661,65.3,384.89
119.4,123,action,1961,24.4,311.68
73.9,82,drama,1275,66.4,238.88
27.5,120,horror,2610,19.6,157.98
128.4,113,comedy,1097,4.4,272.06
130.5,122,action,2683,46.1,355.81
268.1,157,comedy,1330,54.1,575.07
121.0,149,drama,2934,90.5,394.63
43.4,121,scifi,2304,52.0,268.47
137.8,108,drama,756,14.0,253.65
282.2,117,scifi,3246,90.2,709.31
276.0,106,action,3978,51.8,690.5
115.5,159,comedy,2911,26.0,279.42
151.6,118,action,1898,48.2,385.52
1.3,170,comedy,532,2.7,37.19
8.9,116,drama,4277,72.4,211.28
29.8,96,comedy,2715,80.8,183.78
272.6,104,action,2473,13.4,569.25
96.8,99,action,2220,5.9,260.42
293.5,133,action,1425,13.9,609.04
181.6,123,comedy,2925,53.3,473.68
111.5,86,horror,2055,31.9,248.56
146.4,97,comedy,1051,83.7,429.16
295.6,177,comedy,1451,72.8,664.21
260.8,78,drama,2540,36.4,565.68
7.2,154,drama,2197,29.0,97.24
56.2,121,drama,2820,90.5,269.88
76.9,93,drama,2558,37.2,265.37
141.6,109,action,3018,99.3,458.89
180.3,108,comedy,577,96.5,439.27
6.1,165,drama,3814,23.8,106.98
185.3,96,comedy,3260,64.2,483.91
52.2,115,comedy,3885,85.3,310.98
185.8,106,horror,1934,60.5,448.21
86.2,139,scifi,1666,48.5,300.12
257.6,89,comedy,887,51.3,561.26
85.5,168,scifi,2223,25.6,283.97
118.2,174,comedy,1092,37.2,290.14
232.3,129,comedy,1356,2.7,427.69
76.4,160,action,3259,69.0,352.53
149.4,92,drama,2726,45.7,369.53
34.7,155,scifi,3571,1.8,183.84
68.3,161,scifi,3134,11.5,252.95
18.8,91,horror,4392,60.3,172.94
170.7,172,horror,3360,77.1,422.5
193.7,122,action,1308,69.1,498.41
89.5,146,action,3353,1.8,272.8
190.1,81,scifi,4375,80.8,595.7
182.6,114,horror,3206,54.3,437.14
80.2,118,action,3864,75.6,359.09
45.2,116,drama,3885,35.1,221.06
108.1,168,drama,3389,16.7,304.15
100.4,89,drama,3384,14.4,263.17
220.2,105,action,3543,83.8,584.92
175.9,149,drama,3630,29.0,428.95
136.5,77,action,4205,68.4,403.46
52.5,105,comedy,2155,91.1,259.49
278.6,131,action,2247,94.6,700.49
114.7,154,comedy,2625,54.4,358.65
140.9,84,action,654,89.8,427.36
156.5,154,horror,2225,34.6,421.66
41.5,142,scifi,1902,94.3,262.33
15.0,135,drama,3081,63.1,181.36
247.5,78,action,686,78.8,620.48
116.7,112,drama,552,27.4,253.84
145.5,168,scifi,1254,78.0,404.23
160.2,88,drama,2705,93.0,440.43
131.2,121,horror,2821,55.3,395.31
267.2,135,horror,2332,63.5,586.45
119.8,152,comedy,2025,36.5,319.99
107.5,144,drama,2791,20.5,294.62
218.1,93,comedy,4402,23.7,506.55
240.0,137,horror,844,69.9,551.29
276.3,99,horror,2573,38.5,589.26
59.4,80,drama,3744,53.9,263.91
226.6,147,scifi,1446,52.8,538.3
146.5,167,horror,3896,16.8,348.54
101.0,116,action,4048,79.5,370.09
278.8,87,comedy,2907,59.6,639.08
267.3,102,action,3533,92.5,709.81
16.9,101,action,2855,97.2,243.82
156.4,113,comedy,4452,12.3,378.54
74.3,140,scifi,1114,21.7,236.54
137.3,132,action,2960,74.6,413.32
80.2,178,action,3915,21.0,287.74
199.0,128,scifi,4225,78.5,616.82
295.1,125,action,4148,57.3,696.72
137.7,155,drama,4136,33.3,369.29
6.8,153,drama,1837,57.6,111.72
177.3,94,comedy,2892,98.4,522.06
285.3,114,drama,3581,51.4,625.37
256.0,126,comedy,3570,34.8,574.06
269.6,139,comedy,3291,18.3,570.0
44.6,98,scifi,2109,0.6,146.54
3.3,166,action,3480,50.4,193.11
251.5,104,scifi,1124,42.0,555.76
293.5,130,scifi,1886,74.5,696.68
94.6,144,scifi,1979,80.1,345.68
177.7,76,action,4248,89.7,551.94
91.2,100,action,834,80.1,295.57
261.0,147,horror,3427,91.4,663.7
294.2,142,horror,2968,95.3,704.18
228.0,118,action,500,43.0,492.18
281.3,119,scifi,3571,58.5,660.3
28.8,166,horror,3134,18.4,103.26
29.1,158,scifi,535,16.7,118.8
117.8,141,drama,2518,8.0,264.79
228.5,156,drama,3314,96.9,603.68
59.7,134,drama,4308,57.3,268.87
51.3,123,action,2900,76.4,288.6
171.2,158,action,2396,46.9,489.81
13.9,153,drama,1411,68.6,147.62
173.0,152,horror,1153,62.4,433.97
209.8,143,drama,3920,36.3,521.85
103.1,82,action,3942,72.6,376.03
199.5,162,scifi,4250,36.0,562.46
157.2,90,action,4251,87.6,502.91
222.9,177,drama,1095,90.1,555.7
208.9,81,scifi,4037,44.8,543.63
108.8,110,drama,2481,35.9,292.81
293.9,111,action,2336,31.7,654.75
201.5,107,comedy,4261,92.6,589.42
50.1,85,comedy,2500,58.9,233.57
167.8,95,action,3695,32.5,439.44
70.2,118,horror,1123,48.3,195.76
20.7,145,comedy,2037,30.9,123.8
127.0,101,horror,3513,60.0,389.49
181.5,107,action,1657,48.2,479.08
28.9,143,action,2507,89.9,256.49
87.1,123,horror,802,54.9,211.08
126.2,80,action,2762,94.8,434.73
226.2,121,comedy,1269,7.7,473.15
1.9,124,comedy,805,80.4,160.12
76.9,137,comedy,1094,23.7,195.55
260.1,94,action,1836,85.6,602.82
55.3,84,horror,1683,2.9,122.3
8.3,90,drama,1655,77.7,110.38
101.9,162,comedy,3327,99.1,391.59
53.7,109,drama,2245,66.7,231.64
211.3,143,comedy,557,98.9,533.62
239.2,84,comedy,1446,54.6,532.06
277.5,156,action,1400,23.1,631.72
104.5,142,comedy,2851,85.9,390.94
191.5,153,action,3131,28.3,521.47
130.4,150,comedy,2776,32.9,380.42
134.2,159,drama,1952,41.3,329.13
46.3,162,action,595,35.9,183.67
50.8,78,scifi,3701,10.5,195.45
44.4,131,drama,1734,14.0,149.92
93.7,158,action,1820,4.1,228.11
235.2,175,comedy,3412,44.9,577.27
1.7,154,drama,1759,0.8,40.78
254.6,115,comedy,4042,53.0,572.15
77.9,134,scifi,3490,21.1,281.31
250.0,102,action,3389,62.1,645.73
19.3,118,action,783,87.9,178.82
248.0,145,action,1164,83.2,587.37
40.9,77,drama,4043,84.6,260.66
138.1,164,drama,1596,90.7,431.3
296.2,81,scifi,1488,59.0,650.49
59.3,99,drama,2320,99.6,241.64
206.8,89,horror,1845,70.7,475.32
190.9,98,drama,1457,2.9,361.78
9.0,150,horror,2648,18.1,101.4
131.8,95,action,737,27.4,317.07
88.8,151,scifi,843,27.1,234.14
108.9,103,action,1603,20.4,295.63
134.7,178,action,2470,29.5,335.94
202.7,159,horror,1111,88.1,486.79
273.4,139,action,3601,77.9,696.19
172.4,177,comedy,2146,45.2,418.39
106.4,176,action,3680,61.7,390.93
206.2,87,drama,3740,25.0,490.46
192.8,81,comedy,1962,4.7,420.01
142.3,109,comedy,1494,19.6,349.4
296.9,76,drama,2350,99.2,717.96
63.0,127,comedy,1117,13.0,138.18
279.2,179,horror,2290,97.3,636.59
14.8,104,action,1621,52.8,174.47
203.1,133,horror,709,13.4,405.85
48.8,147,drama,3933,49.0,237.52
244.2,179,drama,4350,24.4,511.6
265.7,83,comedy,1469,41.7,575.46
297.7,114,action,3060,80.9,738.1
224.6,103,action,4326,44.1,580.71
38.2,111,comedy,4119,29.5,189.38
209.2,139,drama,1735,47.9,481.92
17.8,106,action,2225,60.9,167.7
77.9,145,action,3465,70.0,357.3
132.9,142,drama,1794,33.9,317.93
73.8,88,horror,3486,47.4,240.31
137.2,154,horror,2831,29.9,360.38
46.2,165,comedy,668,90.2,238.78
153.0,148,comedy,4159,53.7,410.68
91.4,139,scifi,3741,50.9,333.5
237.7,164,horror,4298,26.7,534.75
258.1,103,drama,1194,83.1,553.49
192.3,117,action,3396,34.6,494.3
14.9,103,drama,2652,29.4,136.35
242.6,166,drama,3677,71.3,593.92
41.8,154,comedy,3250,94.4,263.67
142.9,138,scifi,1815,29.8,390.64
164.8,177,comedy,591,39.0,364.95
72.5,118,comedy,3882,40.8,265.62
43.2,75,scifi,761,14.4,113.84
138.0,178,drama,2921,46.3,365.84
285.8,160,drama,4428,7.2,598.02
134.5,127,action,4131,4.4,333.49
299.4,160,horror,1280,40.2,597.85
214.8,155,horror,4462,98.4,591.92
254.2,81,scifi,4081,85.1,711.69
127.2,130,comedy,3362,17.4,329.62
136.6,136,horror,527,98.1,370.96
279.5,144,scifi,3447,40.9,676.59
224.4,176,comedy,3450,91.3,597.18
18.0,128,comedy,4257,79.2,190.73
146.0,105,drama,2661,87.2,451.29
222.8,168,drama,3650,66.9,575.58
23.2,86,comedy,1410,46.5,132.7
13.1,132,comedy,4397,78.6,211.96
90.5,148,action,854,8.0,216.04
108.2,105,action,4035,87.2,421.05
258.3,133,comedy,2080,22.2,572.94
265.3,102,comedy,3066,99.3,694.42
274.5,158,action,2341,56.3,682.61
160.9,155,horror,2152,91.2,440.59
215.0,155,action,4352,73.3,616.72
248.4,156,action,3671,37.8,584.54
283.1,134,drama,2117,40.8,615.41
80.2,92,drama,2616,18.3,201.9
217.4,85,action,3732,49.3,562.96
22.0,154,drama,1076,18.1,80.83
82.3,118,comedy,1160,87.0,277.04
272.0,153,drama,3744,69.9,681.72
230.6,128,horror,2024,71.7,526.5
95.9,139,horror,1484,34.3,225.89
142.4,98,drama,1658,29.0,347.34
288.7,169,drama,1624,92.6,607.88
177.8,151,scifi,3780,84.9,558.07
221.3,87,action,2899,79.4,588.99
260.8,119,action,4464,55.4,678.76
27.7,96,action,1683,42.6,159.27
143.9,149,horror,1632,69.4,369.93
267.8,124,action,1003,18.5,558.33
48.3,153,comedy,579,25.7,142.71
223.1,161,action,1053,12.8,435.42
176.5,143,comedy,1993,48.1,438.06
172.5,84,action,3799,0.7,404.23
211.6,177,action,504,17.9,448.12
18.9,119,scifi,1072,87.4,218.11
158.2,128,scifi,2564,81.8,458.65
180.2,109,comedy,1770,68.8,470.03
34.6,158,drama,1102,72.7,203.96
236.9,177,comedy,1620,69.3,558.43
144.9,79,action,3985,85.0,486.41
10.2,141,horror,3198,30.6,133.54
39.5,108,action,4160,26.5,224.19
171.1,76,horror,1358,8.8,360.5
50.9,109,comedy,2607,23.0,157.73
94.1,161,comedy,2452,48.8,302.13
298.2,89,drama,1795,9.1,609.66
88.6,106,comedy,2713,47.0,238.57
3.2,124,comedy,1633,55.0,137.99
4.7,92,scifi,1022,4.5,80.63
212.5,153,comedy,4134,38.7,504.15
128.2,168,action,2209,13.3,334.57
164.7,75,drama,4247,67.2,478.88
169.7,82,action,2246,34.3,416.11
113.2,103,action,4050,86.5,414.19
80.3,157,comedy,1186,48.4,273.6
3.3,115,horror,1417,26.9,32.95
202.6,170,scifi,1313,20.5,460.18
81.8,86,scifi,1802,64.6,305.78
290.2,83,horror,3068,64.8,677.91
49.5,116,drama,3714,4.2,195.07
2.8,131,drama,3328,56.9,144.64
31.9,103,scifi,3206,32.8,220.64
82.0,89,comedy,4079,66.7,296.5
26.5,150,horror,4473,73.8,175.55
184.9,82,scifi,1150,31.6,473.23
52.6,176,drama,4251,91.4,281.77
9.3,96,scifi,3538,25.3,137.89
104.8,140,drama,2367,26.9,261.93
176.1,178,action,2414,86.0,502.23
198.4,175,comedy,3251,67.4,513.19
277.1,121,action,1229,12.6,548.32
15.9,159,action,3271,34.6,161.5
223.9,106,comedy,1222,51.4,490.6
37.8,91,comedy,4113,26.7,174.44
12.9,124,drama,1610,53.2,128.19
48.2,94,drama,2176,40.9,195.97
136.7,138,scifi,3920,19.7,412.93
248.5,118,comedy,3703,25.6,573.42
165.7,82,horror,927,17.9,326.63
49.7,173,scifi,4083,87.4,294.82
79.8,79,horror,2361,26.3,200.3
141.4,136,drama,2670,12.2,319.23
160.3,102,comedy,792,71.4,413.35
80.8,133,horror,4156,15.4,240.83
244.5,151,comedy,3878,31.1,567.25
37.2,157,horror,3298,67.3,188.02
76.4,174,drama,3785,28.6,257.07
25.0,147,comedy,1158,61.4,173.05
242.3,75,comedy,2548,44.4,557.92
240.4,80,action,2990,2.2,529.17
220.7,97,scifi,3580,63.7,581.52
128.9,75,comedy,4065,34.3,398.41
19.2,140,comedy,1379,53.2,150.35
153.2,89,horror,3206,6.1,348.98
164.4,140,drama,3777,21.0,365.55
121.9,88,horror,1877,49.2,326.48
252.4,128,action,1425,92.7,649.51
11.2,156,action,1903,59.6,162.51
69.3,160,horror,2809,8.2,188.33
11.7,151,action,967,9.3,115.87
59.1,171,drama,832,68.1,195.41
109.1,143,action,1568,5.6,284.7
192.2,138,action,3004,33.1,461.93
265.0,99,action,4176,51.5,648.25
264.1,155,comedy,1903,16.6,584.02
215.5,131,action,3392,42.1,538.85
9.8,146,action,3298,20.0,164.97
109.4,167,drama,1806,64.4,309.46
243.6,102,scifi,1137,17.3,522.27
5.8,125,comedy,783,23.1,74.99
298.4,172,comedy,2628,52.1,620.94
240.9,139,comedy,3177,64.7,617.89
258.1,157,comedy,4491,82.6,631.76
13.4,178,scifi,2046,81.3,213.88
46.9,77,scifi,1071,55.0,231.41
34.3,75,action,1703,81.5,223.14
85.9,165,scifi,1232,16.8,270.3
26.1,143,scifi,2613,52.0,171.09
133.7,136,scifi,1150,66.6,378.29
43.7,104,drama,1758,5.8,139.64
49.4,89,horror,1356,84.7,203.01
177.8,83,comedy,2590,57.4,431.91
117.0,130,action,1965,31.1,314.53
82.8,106,drama,3874,3.7,256.29
102.3,113,action,1663,42.7,286.7
240.3,115,drama,1668,86.2,576.25
37.3,158,comedy,3156,32.1,191.46
242.3,81,action,744,61.3,557.26
295.4,174,action,2930,91.1,739.92
98.8,150,scifi,3883,91.8,429.43
255.8,175,horror,1563,48.4,572.92
217.9,95,comedy,1536,36.7,453.53
127.8,120,horror,4436,42.4,350.55
244.4,102,comedy,3844,6.2,511.52
178.4,126,comedy,1161,89.2,484.82
59.9,126,action,2309,5.3,196.45
175.0,80,scifi,2384,11.2,429.75
169.2,89,comedy,907,96.2,439.44
126.8,173,comedy,3075,57.4,371.15
234.5,81,scifi,4275,93.4,669.91
74.9,179,drama,1922,28.7,201.89
79.2,86,comedy,1748,59.8,236.92
298.3,98,action,2705,9.9,643.41
60.6,112,comedy,3330,24.7,196.91
264.6,94,action,3797,10.6,604.12
55.0,162,drama,2981,63.2,223.24
220.8,111,horror,2457,47.4,500.96
220.8,78,comedy,4476,8.9,498.94
256.1,83,comedy,2288,43.0,552.3
8.0,118,scifi,1934,39.0,145.07
124.9,118,drama,1754,66.5,346.27
263.1,80,drama,3003,66.2,609.88
248.1,90,drama,4204,44.3,629.16
190.8,127,horror,1585,60.0,445.94
135.6,95,action,4066,99.7,483.45
272.1,92,drama,1587,71.6,595.49
1.3,118,comedy,3919,24.1,112.9
82.4,133,drama,3044,36.8,249.31
154.3,169,scifi,1788,19.0,382.34
189.0,162,comedy,2386,48.6,492.71
38.5,150,action,2636,31.2,197.37
52.1,76,drama,934,35.7,176.32
179.1,98,action,521,55.5,442.48
21.8,167,horror,4104,80.6,229.1
158.3,177,horror,2314,6.1,307.99
139.1,152,horror,3386,36.0,349.52
47.2,101,action,2926,63.6,259.69
70.6,118,action,3551,35.9,282.47
15.8,127,comedy,4492,48.5,217.93
57.6,83,horror,2002,49.9,187.38
169.9,153,drama,536,15.9,348.43
37.9,128,comedy,4030,77.1,226.46
118.7,111,comedy,3294,79.3,396.11
232.2,151,comedy,1396,38.2,513.03
257.2,109,action,1424,64.0,594.4
2.6,174,scifi,3483,30.1,184.54
183.9,97,drama,3325,7.5,406.48
265.3,120,comedy,4440,83.8,707.6
206.2,169,horror,4357,87.7,547.9
15.2,161,drama,3548,33.1,192.16
30.9,176,comedy,4235,28.1,194.77
3.1,83,action,1788,85.1,129.49
224.9,108,action,753,40.7,497.78
41.1,158,comedy,3200,10.3,183.77
44.7,136,drama,2476,48.2,211.07
214.5,141,horror,2180,52.8,471.59
13.2,157,drama,2182,51.3,102.6
226.9,132,scifi,4098,92.8,705.53
147.3,139,comedy,2102,98.9,467.32
196.6,164,comedy,3069,54.6,498.94
141.6,175,comedy,4221,22.8,392.19
