day,outlook,temperature,humidity,wind,play_golf
280,sunny,33,64,weak,yes
281,overcast,22,63,weak,yes
282,rainy,31,65,weak,yes
283,sunny,32,43,strong,no
284,sunny,24,66,strong,no
285,sunny,34,85,weak,no
286,sunny,18,69,weak,yes
287,sunny,19,78,weak,no
288,sunny,15,68,weak,yes
289,rainy,30,40,weak,yes
290,sunny,25,44,strong,yes
291,sunny,30,48,strong,no
292,rainy,32,59,strong,no
293,sunny,32,57,weak,yes
294,rainy,30,39,strong,no
295,sunny,37,47,weak,yes
296,overcast,21,72,weak,no
297,sunny,33,88,strong,no
298,overcast,22,77,weak,yes
299,overcast,18,78,strong,no
300,overcast,18,77,weak,no
301,sunny,21,42,strong,no
302,rainy,23,70,weak,no
303,sunny,21,48,weak,no
304,rainy,32,87,strong,no
305,rainy,19,36,strong,no
306,sunny,16,83,weak,no
307,rainy,32,30,strong,yes
308,sunny,17,82,strong,yes
309,rainy,33,51,strong,no
310,rainy,31,32,weak,yes
311,sunny,25,67,weak,yes
312,overcast,33,40,strong,no
313,rainy,16,52,weak,yes
314,sunny,34,43,strong,no
315,overcast,16,35,weak,yes
316,sunny,28,93,weak,no
317,sunny,30,57,weak,yes
318,rainy,35,51,weak,yes
319,rainy,37,44,weak,yes
320,sunny,30,92,strong,no
321,rainy,22,80,weak,yes
322,overcast,18,71,weak,yes
323,rainy,16,49,weak,yes
324,sunny,37,34,weak,yes
325,rainy,37,81,weak,no
326,rainy,25,74,weak,yes
327,rainy,27,45,weak,no
328,sunny,26,94,strong,no
329,rainy,15,43,weak,no
330,sunny,23,32,strong,no
331,sunny,34,93,strong,no
332,sunny,28,77,strong,no
333,rainy,24,55,strong,no
334,overcast,18,94,weak,no
335,sunny,34,42,strong,no
336,sunny,30,62,weak,yes
337,rainy,27,77,weak,no
338,overcast,31,85,weak,yes
339,sunny,24,48,strong,no
340,overcast,19,65,weak,yes
341,sunny,22,91,weak,yes
342,rainy,22,76,weak,yes
343,sunny,31,40,weak,yes
344,rainy,18,34,strong,no
345,sunny,17,65,weak,yes
346,sunny,29,56,weak,yes
347,sunny,31,51,strong,yes
348,sunny,24,41,strong,no
349,rainy,33,82,weak,no
350,sunny,32,48,strong,yes
351,overcast,37,37,strong,no
352,rainy,15,54,strong,yes
353,rainy,23,61,weak,no
354,sunny,15,84,weak,yes
355,overcast,22,46,weak,no
356,sunny,32,32,strong,no
357,sunny,24,64,strong,no
358,overcast,35,47,weak,yes
359,sunny,32,53,weak,yes
360,rainy,29,39,weak,yes
361,rainy,31,55,strong,no
362,rainy,23,66,strong,no
363,sunny,21,87,weak,yes
364,sunny,17,68,weak,no
365,sunny,15,63,weak,no
366,rainy,34,90,strong,no
367,rainy,28,53,strong,no
368,sunny,17,79,weak,no
369,overcast,19,58,strong,yes
370,rainy,31,83,strong,no
371,overcast,27,66,strong,no
372,overcast,17,58,weak,yes
373,sunny,22,88,strong,no
374,rainy,18,62,strong,yes
375,sunny,23,86,strong,no
376,rainy,31,80,weak,no
377,sunny,15,48,strong,yes
378,overcast,31,94,weak,yes
379,sunny,37,36,weak,no
380,rainy,32,76,weak,yes
381,overcast,16,54,weak,yes
382,overcast,29,87,weak,yes
383,overcast,37,34,strong,yes
384,sunny,29,61,weak,yes
385,sunny,33,78,weak,yes
386,overcast,29,85,strong,no
387,overcast,35,44,strong,no
388,overcast,27,59,weak,yes
389,rainy,20,87,strong,no
390,sunny,22,39,weak,yes
391,sunny,18,48,strong,no
392,sunny,34,51,weak,yes
393,sunny,21,63,weak,yes
394,sunny,22,77,strong,no
395,sunny,29,66,weak,no
396,overcast,19,59,strong,no
397,sunny,22,85,weak,yes
398,sunny,20,41,weak,yes
399,overcast,36,60,strong,no
400,sunny,28,38,weak,yes
401,overcast,33,65,weak,yes
402,overcast,16,78,weak,yes
403,rainy,24,64,weak,no
404,overcast,20,66,weak,yes
405,rainy,33,87,weak,no
406,sunny,32,62,strong,no
407,sunny,34,61,weak,yes
408,rainy,22,74,weak,yes
409,rainy,23,30,weak,no
410,overcast,24,35,weak,yes
411,sunny,16,43,strong,no
412,sunny,21,54,strong,no
413,sunny,25,74,weak,yes
414,sunny,19,87,strong,no
415,rainy,36,69,strong,no
416,sunny,21,90,weak,no
417,rainy,27,54,weak,no
418,sunny,16,59,strong,no
419,sunny,21,81,strong,no
420,overcast,37,69,weak,yes
421,sunny,29,58,strong,no
422,rainy,31,52,weak,no
423,sunny,37,35,strong,yes
424,sunny,28,62,strong,yes
425,overcast,29,91,weak,yes
426,rainy,21,49,strong,yes
427,sunny,27,89,weak,no
428,overcast,26,93,weak,yes
429,overcast,35,65,strong,no
430,sunny,34,86,weak,no
431,sunny,23,86,strong,no
432,overcast,16,30,weak,yes
433,rainy,33,36,weak,no
434,rainy,23,90,strong,no
435,sunny,29,88,strong,yes
436,sunny,17,75,strong,no
437,rainy,18,91,weak,no
438,overcast,25,64,strong,no
439,rainy,16,60,strong,no
440,overcast,28,59,strong,no
441,overcast,24,45,weak,yes
442,sunny,17,62,weak,yes
443,sunny,17,89,strong,no
444,rainy,36,82,weak,yes
445,rainy,23,88,strong,no
446,overcast,25,84,weak,yes
447,sunny,34,34,weak,yes
448,sunny,33,82,strong,no
449,sunny,24,32,strong,yes
450,rainy,30,37,strong,no
451,sunny,22,73,weak,yes
452,rainy,16,71,strong,no
453,sunny,19,47,weak,yes
454,sunny,26,76,strong,yes
455,overcast,30,57,weak,yes
456,rainy,17,51,weak,no
457,sunny,27,71,weak,yes
458,rainy,22,38,weak,yes
459,sunny,33,53,strong,no
460,sunny,18,34,weak,yes
461,rainy,24,41,weak,yes
462,sunny,21,33,weak,yes
463,sunny,33,77,strong,no
464,sunny,26,42,weak,yes
465,rainy,17,72,weak,no
466,sunny,34,30,strong,no
467,overcast,36,51,weak,yes
468,sunny,17,62,weak,yes
469,rainy,27,79,weak,no
470,rainy,18,32,strong,no
471,overcast,21,76,strong,no
472,sunny,30,81,weak,yes
473,overcast,23,63,strong,no
474,rainy,24,30,weak,yes
475,overcast,18,55,strong,yes
476,overcast,34,61,weak,yes
477,sunny,19,58,weak,yes
478,overcast,26,67,strong,yes
479,overcast,16,77,strong,no
480,rainy,26,66,weak,no
481,sunny,32,48,strong,no
482,sunny,18,55,strong,no
483,sunny,37,77,weak,yes
484,overcast,32,72,strong,no
485,overcast,27,57,weak,yes
486,rainy,20,84,strong,no
487,overcast,26,89,strong,no
488,overcast,32,75,weak,yes
489,sunny,37,47,weak,yes
490,overcast,19,39,weak,yes
491,overcast,36,48,strong,yes
492,rainy,31,71,weak,no
493,overcast,22,39,strong,yes
494,sunny,35,54,weak,no
495,overcast,31,67,strong,no
496,overcast,18,84,strong,no
497,sunny,35,62,strong,no
498,sunny,25,68,strong,no
499,rainy,37,91,weak,no
500,overcast,32,42,weak,yes
501,sunny,33,54,weak,yes
502,rainy,20,31,weak,yes
503,sunny,34,73,weak,yes
504,rainy,27,92,weak,no
505,overcast,18,62,weak,yes
506,rainy,36,56,weak,no
507,rainy,27,83,strong,no
508,rainy,22,59,weak,no
509,rainy,19,53,weak,no
510,overcast,21,87,weak,no
511,rainy,20,56,weak,no
512,rainy,18,54,weak,no
513,rainy,29,86,strong,no
514,sunny,29,76,weak,yes
515,rainy,19,91,strong,no
516,rainy,36,54,weak,no
517,overcast,18,81,strong,no
518,sunny,37,91,weak,yes
519,sunny,29,61,weak,no
520,overcast,21,78,strong,no
521,rainy,19,49,strong,no
522,overcast,22,85,weak,yes
523,sunny,35,45,weak,yes
524,sunny,23,46,weak,yes
525,sunny,25,63,weak,yes
526,sunny,24,46,strong,yes
527,rainy,26,43,weak,yes
528,rainy,21,64,strong,no
529,sunny,24,66,weak,yes
530,sunny,33,53,weak,yes
531,rainy,20,54,weak,no
532,overcast,19,72,weak,yes
533,rainy,32,93,strong,no
534,rainy,35,48,strong,yes
535,rainy,23,83,strong,no
536,sunny,23,59,weak,yes
537,sunny,22,81,strong,no
538,sunny,23,58,weak,yes
539,sunny,27,45,weak,yes
540,overcast,37,32,weak,yes
541,overcast,29,82,weak,no
542,sunny,20,89,weak,yes
543,sunny,22,87,strong,no
544,rainy,35,31,strong,no
545,rainy,20,36,strong,no
546,overcast,17,56,strong,yes
547,sunny,25,73,weak,no
548,sunny,19,75,strong,no
549,rainy,32,66,strong,no
550,overcast,21,51,weak,yes
551,overcast,30,63,weak,yes
552,rainy,24,47,strong,no
553,overcast,30,53,weak,yes
554,rainy,36,55,strong,no
555,overcast,25,30,strong,yes
556,rainy,17,30,strong,no
557,rainy,28,54,weak,no
558,sunny,34,47,weak,yes
559,overcast,21,56,weak,yes
560,rainy,33,54,weak,yes
561,rainy,36,41,weak,no
562,sunny,35,64,strong,no
563,rainy,34,50,weak,yes
564,rainy,28,76,strong,no
565,sunny,32,59,strong,no
566,rainy,16,65,weak,no
567,overcast,37,88,weak,yes
568,sunny,32,56,weak,yes
569,overcast,36,49,weak,yes
570,rainy,35,69,weak,no
571,overcast,36,50,weak,yes
572,overcast,24,86,weak,no
573,rainy,16,50,weak,no
574,rainy,20,89,weak,no
575,sunny,16,94,strong,no
576,sunny,32,72,strong,no
577,rainy,28,72,weak,yes
578,rainy,30,72,weak,no
579,overcast,32,87,weak,yes
580,sunny,34,41,weak,yes
581,rainy,24,56,strong,no
582,overcast,21,41,weak,yes
583,overcast,23,79,weak,yes
584,sunny,34,63,strong,no
585,sunny,31,44,strong,yes
586,sunny,17,39,strong,yes
587,overcast,17,55,weak,yes
588,sunny,16,51,weak,yes
589,overcast,31,83,weak,yes
590,sunny,31,64,weak,yes
591,overcast,21,37,weak,yes
592,rainy,24,80,strong,no
593,overcast,25,57,weak,yes
594,rainy,32,53,weak,no
595,sunny,20,93,strong,no
596,rainy,17,73,strong,no
597,overcast,31,70,strong,no
598,overcast,15,88,weak,no
599,rainy,27,31,strong,no
600,rainy,29,64,strong,no
601,sunny,26,89,weak,no
602,rainy,26,46,strong,no
603,overcast,31,41,strong,no
604,overcast,18,36,weak,yes
605,rainy,20,66,weak,yes
606,rainy,18,38,weak,yes
607,rainy,24,32,weak,no
608,sunny,25,82,strong,no
609,rainy,18,71,weak,yes
610,overcast,21,55,weak,yes
611,sunny,23,69,weak,yes
612,overcast,32,70,strong,yes
613,rainy,29,42,strong,no
614,overcast,31,86,weak,no
615,overcast,26,93,weak,no
616,overcast,21,78,weak,yes
617,sunny,28,35,strong,no
618,sunny,19,91,strong,yes
619,rainy,23,88,strong,no
620,overcast,25,71,strong,yes
621,overcast,27,93,weak,yes
622,overcast,34,53,weak,yes
623,rainy,33,52,weak,no
624,rainy,36,88,weak,no
625,rainy,26,92,weak,no
626,overcast,37,82,weak,yes
627,sunny,18,92,strong,no
628,rainy,28,91,weak,no
629,sunny,37,38,strong,no
630,sunny,24,65,weak,yes
631,sunny,37,76,weak,no
632,overcast,18,51,strong,yes
633,overcast,24,59,weak,yes
634,rainy,19,67,weak,yes
635,rainy,36,60,weak,no
636,overcast,15,61,weak,yes
637,rainy,17,36,weak,yes
638,rainy,27,55,strong,no
639,sunny,23,75,strong,yes
640,rainy,36,59,strong,no
641,overcast,17,71,strong,no
642,rainy,31,73,weak,no
643,sunny,23,94,strong,yes
644,sunny,28,70,strong,yes
645,rainy,34,53,weak,yes
646,rainy,22,41,weak,yes
647,sunny,26,71,weak,yes
648,sunny,30,79,strong,yes
649,rainy,21,71,weak,no
650,rainy,26,63,weak,yes
651,rainy,26,73,weak,no
652,sunny,29,32,strong,no
653,overcast,35,64,weak,yes
654,overcast,37,75,weak,yes
655,overcast,37,77,strong,no
656,overcast,22,81,weak,yes
657,rainy,26,46,weak,yes
658,sunny,26,74,weak,yes
659,rainy,28,60,strong,no
660,overcast,33,53,strong,yes
661,overcast,16,76,weak,no
662,sunny,23,43,strong,no
663,sunny,27,82,weak,yes
664,sunny,34,71,strong,no
665,sunny,22,59,weak,yes
666,rainy,26,30,weak,no
667,overcast,23,34,strong,no
668,overcast,23,62,strong,yes
669,overcast,22,88,strong,yes
670,sunny,19,77,weak,yes
671,sunny,19,61,weak,yes
672,rainy,32,32,weak,no
673,rainy,18,34,strong,no
674,overcast,30,37,weak,no
675,sunny,24,60,weak,yes
676,overcast,19,67,strong,yes
677,rainy,32,65,strong,no
678,sunny,17,93,weak,yes
679,sunny,29,61,strong,yes
680,overcast,28,79,weak,yes
681,overcast,15,36,weak,yes
682,sunny,26,83,strong,yes
683,overcast,37,30,weak,yes
684,overcast,23,65,strong,yes
685,sunny,20,55,weak,yes
686,overcast,20,53,weak,yes
687,sunny,18,70,weak,no
688,rainy,20,53,strong,no
689,rainy,21,63,strong,no
690,overcast,26,81,weak,no
691,rainy,31,39,strong,no
692,sunny,24,90,strong,no
693,sunny,28,34,weak,yes
694,sunny,32,50,weak,yes
695,overcast,33,73,weak,yes
696,sunny,32,46,weak,yes
697,sunny,33,92,strong,no
698,sunny,20,76,weak,no
699,rainy,20,48,weak,yes
700,rainy,23,92,weak,yes
701,sunny,18,55,strong,yes
702,overcast,33,91,weak,no
703,sunny,31,64,strong,no
704,sunny,32,56,strong,no
705,rainy,22,31,weak,yes
706,sunny,15,39,strong,yes
707,overcast,20,59,strong,no
708,sunny,20,51,strong,no
709,overcast,24,33,strong,no
710,rainy,17,76,strong,no
711,overcast,34,70,strong,no
712,sunny,23,89,weak,yes
713,overcast,19,43,weak,yes
714,rainy,35,40,weak,yes
715,rainy,24,74,weak,no
716,rainy,30,39,weak,no
717,sunny,17,90,strong,no
718,sunny,16,45,weak,yes
719,overcast,26,76,weak,yes
720,sunny,15,41,weak,yes
721,sunny,16,50,weak,yes
722,overcast,23,38,weak,yes
723,sunny,18,42,weak,yes
724,sunny,15,94,weak,yes
725,rainy,23,51,strong,yes
726,overcast,34,40,weak,yes
727,rainy,26,56,strong,no
728,overcast,31,49,strong,yes
729,rainy,31,80,strong,no
730,rainy,34,77,weak,no
731,rainy,15,37,weak,no
732,rainy,36,51,strong,no
733,sunny,19,87,strong,no
734,sunny,31,59,weak,no
735,rainy,17,85,weak,no
736,sunny,28,53,weak,yes
737,rainy,33,42,weak,yes
738,sunny,16,78,strong,no
739,sunny,35,90,weak,no
740,sunny,25,49,weak,yes
741,sunny,24,32,strong,yes
742,overcast,15,65,strong,no
743,rainy,25,45,weak,yes
744,overcast,23,78,weak,no
745,rainy,34,89,weak,no
746,sunny,24,36,strong,no
747,rainy,16,80,strong,no
748,sunny,18,86,strong,no
749,sunny,15,61,strong,no
750,rainy,35,33,weak,no
751,sunny,20,43,weak,yes
752,rainy,29,90,weak,no
753,sunny,27,40,weak,yes
754,rainy,24,68,strong,no
755,overcast,20,34,strong,yes
756,rainy,30,69,weak,yes
757,rainy,23,33,weak,yes
758,rainy,31,49,strong,no
759,rainy,25,36,weak,no
760,overcast,32,76,strong,no
761,rainy,31,59,strong,no
762,sunny,21,56,strong,no
763,overcast,17,74,strong,yes
764,overcast,21,62,weak,yes
765,overcast,19,77,weak,no
766,overcast,17,76,weak,yes
767,sunny,25,39,weak,yes
768,rainy,36,69,weak,no
769,overcast,19,41,strong,yes
770,sunny,37,79,weak,yes
771,sunny,30,39,weak,yes
772,sunny,36,54,weak,no
773,rainy,21,61,weak,no
774,sunny,19,94,weak,no
775,overcast,37,86,strong,no
776,overcast,23,36,strong,no
777,rainy,22,81,weak,no
778,sunny,18,52,strong,yes
779,sunny,23,43,strong,no
780,sunny,31,84,strong,no
781,sunny,18,45,weak,yes
782,sunny,18,74,weak,yes
783,overcast,34,89,strong,no
784,sunny,27,76,strong,yes
785,sunny,24,55,weak,yes
786,sunny,28,83,weak,yes
787,sunny,15,62,weak,yes
788,rainy,20,58,weak,no
789,overcast,24,55,strong,yes
790,rainy,25,47,strong,no
791,overcast,31,62,weak,yes
792,sunny,18,74,weak,no
793,sunny,37,83,weak,yes
794,overcast,24,61,strong,no
795,rainy,15,76,weak,no
796,sunny,25,67,weak,yes
797,overcast,15,82,strong,no
798,sunny,36,90,strong,yes
799,overcast,24,52,weak,yes
800,rainy,30,86,weak,no
801,overcast,32,62,weak,yes
802,sunny,32,57,weak,yes
803,overcast,35,35,weak,yes
804,rainy,27,39,strong,no
805,overcast,31,64,strong,no
806,sunny,27,92,strong,no
807,rainy,28,32,weak,no
808,sunny,24,52,weak,yes
809,overcast,30,85,strong,no
810,rainy,28,93,weak,no
811,overcast,33,35,strong,yes
812,sunny,28,58,weak,yes
813,sunny,24,62,strong,no
814,sunny,31,93,strong,no
815,rainy,15,66,weak,no
816,rainy,28,62,strong,no
817,overcast,31,90,weak,yes
818,sunny,35,92,weak,no
819,sunny,34,94,weak,no
820,rainy,34,56,weak,yes
821,sunny,24,69,strong,yes
822,sunny,34,71,weak,yes
823,rainy,28,62,weak,no
824,rainy,29,48,weak,yes
825,rainy,37,82,weak,no
826,rainy,32,90,weak,yes
827,overcast,21,59,strong,no
828,rainy,28,73,weak,no
829,overcast,30,71,weak,yes
830,sunny,35,61,weak,no
831,sunny,35,66,weak,yes
832,sunny,23,56,weak,yes
833,sunny,19,52,strong,no
834,sunny,24,53,strong,yes
835,overcast,37,54,strong,yes
836,overcast,24,69,weak,yes
837,rainy,28,48,strong,no
838,sunny,33,56,weak,yes
839,sunny,18,87,weak,yes
840,overcast,29,92,weak,no
841,overcast,16,92,weak,yes
842,overcast,28,64,weak,no
843,rainy,31,48,strong,no
844,overcast,34,54,strong,no
845,rainy,24,90,strong,no
846,rainy,35,84,weak,no
847,overcast,32,39,strong,yes
848,overcast,34,51,weak,yes
849,rainy,23,72,strong,no
850,overcast,17,38,strong,yes
851,sunny,29,72,weak,no
852,sunny,21,86,weak,yes
853,sunny,36,88,strong,no
854,sunny,21,65,weak,yes
855,rainy,26,49,strong,no
856,overcast,30,32,weak,yes
857,sunny,24,35,weak,yes
858,rainy,33,51,weak,no
859,rainy,20,69,weak,no
860,sunny,16,43,weak,yes
861,rainy,23,91,weak,no
862,overcast,30,79,strong,no
863,rainy,19,53,weak,yes
864,overcast,33,35,strong,no
865,rainy,26,67,weak,yes
866,sunny,32,78,weak,yes
867,sunny,26,49,strong,no
868,rainy,23,46,weak,yes
869,rainy,35,43,weak,no
870,overcast,33,85,weak,yes
871,overcast,28,94,strong,no
872,overcast,20,94,strong,yes
873,sunny,34,39,strong,no
874,sunny,28,69,weak,yes
875,overcast,32,90,strong,no
876,sunny,36,71,weak,yes
877,overcast,24,91,weak,no
878,rainy,34,91,weak,no
879,sunny,25,86,strong,yes
880,sunny,17,69,weak,yes
881,overcast,32,64,strong,no
882,sunny,18,88,weak,no
883,overcast,37,53,weak,no
884,overcast,23,41,strong,yes
885,overcast,28,49,weak,yes
886,sunny,16,44,strong,no
887,sunny,33,47,weak,yes
888,rainy,34,30,weak,no
889,rainy,18,56,weak,no
890,overcast,33,40,weak,yes
891,sunny,15,53,strong,yes
892,sunny,35,69,weak,yes
893,overcast,33,42,strong,no
894,sunny,26,76,strong,no
895,sunny,20,37,weak,no
896,overcast,25,89,weak,yes
897,rainy,37,93,strong,no
898,overcast,32,46,strong,yes
899,sunny,28,52,strong,no
900,overcast,19,52,weak,yes
